split_type,cell_line,heldout_drug,observed_library_fraction,seed,ndcg_gain
leave_drug_out,A549,Selisistat (EX 527),1.0,0,0.4220949603708207
leave_drug_out,A549,KW-2449,1.0,0,0.0
leave_drug_out,A549,Lenalidomide (CC-5013),1.0,0,0.0
leave_drug_out,A549,Resminostat,1.0,0,0.1903218857029582
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,0.0
leave_drug_out,A549,Veliparib (ABT-888),1.0,0,-0.1731866333482261
leave_drug_out,A549,Carmofur,1.0,0,-0.1467278441987202
leave_drug_out,A549,AG-490 (Tyrphostin B42),1.0,0,0.0
leave_drug_out,A549,Meprednisone,1.0,0,-0.3071837157818931
leave_drug_out,A549,TGX-221,1.0,0,-0.1845756967795681
leave_drug_out,A549,AZ 960,1.0,0,-0.1463629942166947
leave_drug_out,A549,Givinostat (ITF2357),1.0,0,-0.1480271091058655
leave_drug_out,A549,SRT2104 (GSK2245840),1.0,0,0.1823081585316676
leave_drug_out,A549,PF-573228,1.0,0,0.0
leave_drug_out,A549,Prednisone,1.0,0,-0.1951900249960508
leave_drug_out,A549,M344,1.0,0,-0.15730750585177
leave_drug_out,A549,Hesperadin,1.0,0,-0.3877503857178335
leave_drug_out,A549,SL-327,1.0,0,-0.2346393630113782
leave_drug_out,A549,TG101209,1.0,0,-0.2837125544970318
leave_drug_out,A549,BMS-754807,1.0,0,0.0
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",1.0,0,-0.3597099118518292
leave_drug_out,A549,(+)-JQ1,1.0,0,-0.0774753355068683
leave_drug_out,A549,Decitabine,1.0,0,-0.2489083270225946
leave_drug_out,A549,Costunolide,1.0,0,-0.11004588314904
leave_drug_out,A549,Pirarubicin,1.0,0,0.0947883643695507
leave_drug_out,A549,Lomustine,1.0,0,0.1369847102983117
leave_drug_out,A549,Mercaptopurine (6-MP),1.0,0,0.0
leave_MoA_out,A549,SRT3025 HCl,0.8723404255319149,0,0.0
leave_MoA_out,A549,Zileuton,0.973404255319149,0,0.0
leave_MoA_out,A549,Droxinostat,0.9361702127659576,0,0.0
leave_MoA_out,A549,Celecoxib,0.9787234042553192,0,0.0
leave_MoA_out,A549,Ramelteon,0.9893617021276596,0,0.0
partial_library,A549,batch,0.2,0,0.0
partial_library,A549,batch,0.4,0,0.0
leave_drug_out,A549,Hesperadin,1.0,1,-0.2784805894273037
leave_drug_out,A549,Celecoxib,1.0,1,-0.0143813375711503
leave_drug_out,A549,WHI-P154,1.0,1,-0.113505301440781
leave_drug_out,A549,Givinostat (ITF2357),1.0,1,-0.1787403083511102
leave_drug_out,A549,UNC1999,1.0,1,-0.1626242725404381
leave_drug_out,A549,FLLL32,1.0,1,0.2012028721108483
leave_drug_out,A549,Zileuton,1.0,1,0.0
leave_drug_out,A549,AC480 (BMS-599626),1.0,1,0.1506416394158155
leave_drug_out,A549,Regorafenib (BAY 73-4506),1.0,1,0.0636207881989517
leave_drug_out,A549,"Temsirolimus (CCI-779, NSC 683864)",1.0,1,-0.3868528072345416
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,1,0.0
leave_drug_out,A549,Divalproex Sodium,1.0,1,0.0
leave_drug_out,A549,Aurora A Inhibitor I,1.0,1,-0.3845937724137609
leave_drug_out,A549,Curcumin,1.0,1,0.2298349001984884
leave_drug_out,A549,Tucidinostat (Chidamide),1.0,1,0.1206255448020899
leave_drug_out,A549,SL-327,1.0,1,-0.4692787260227564
leave_drug_out,A549,SNS-314,1.0,1,-0.1268987156944194
leave_drug_out,A549,Azacitidine,1.0,1,0.0
leave_drug_out,A549,G007-LK,1.0,1,0.1369847102983117
leave_drug_out,A549,Ruxolitinib (INCB018424),1.0,1,-0.15139734109601
leave_drug_out,A549,Carmofur,1.0,1,-0.3656990588345804
leave_drug_out,A549,CYC116,1.0,1,-0.5618918191694954
leave_drug_out,A549,Prednisone,1.0,1,0.20812791186186
leave_drug_out,A549,CUDC-101,1.0,1,0.0932134357819765
leave_drug_out,A549,Lenalidomide (CC-5013),1.0,1,0.3391602052736161
leave_drug_out,A549,Lapatinib (GW-572016) Ditosylate,1.0,1,-0.0636207881989517
leave_drug_out,A549,UNC0379,1.0,1,0.3400653159844029
leave_drug_out,A549,SB431542,1.0,1,-0.2184074368181641
leave_drug_out,A549,Mocetinostat (MGCD0103),1.0,1,0.2714533209550053
leave_drug_out,A549,Ki8751,1.0,1,-0.2449945318054993
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",1.0,1,-0.1105002600743945
leave_drug_out,A549,Ofloxacin,1.0,1,0.2232687647804684
leave_drug_out,A549,Daphnetin,1.0,1,0.0694312219367773
leave_drug_out,A549,Filgotinib (GLPG0634),1.0,1,-0.0990034843414862
leave_MoA_out,A549,Fulvestrant,0.973404255319149,1,0.0
leave_MoA_out,A549,PF-3845,0.973404255319149,1,0.0
leave_MoA_out,A549,Trichostatin A (TSA),0.9787234042553192,1,0.0
leave_MoA_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),0.9840425531914894,1,0.0
leave_MoA_out,A549,Tanespimycin (17-AAG),0.9361702127659576,1,0.0
leave_MoA_out,A549,BMS-911543,0.8936170212765957,1,0.0
partial_library,A549,batch,0.2,1,0.0
partial_library,A549,batch,0.4,1,0.0
partial_library,A549,batch,0.6,1,0.0
leave_drug_out,A549,"Patupilone (EPO906, Epothilone B)",1.0,2,-0.0812293224245256
leave_drug_out,A549,Pelitinib (EKB-569),1.0,2,0.0761760705997229
leave_drug_out,A549,CYC116,1.0,2,-0.2712362543232517
leave_drug_out,A549,"Tozasertib (VX-680, MK-0457)",1.0,2,-0.3652878219580955
leave_drug_out,A549,BMS-265246,1.0,2,-0.5868720866710773
leave_drug_out,A549,UNC1999,1.0,2,0.2597704084849972
leave_drug_out,A549,Filgotinib (GLPG0634),1.0,2,-0.066254223454389
leave_drug_out,A549,Tofacitinib (CP-690550) Citrate,1.0,2,-0.1380863570150443
leave_drug_out,A549,PD173074,1.0,2,0.0
leave_drug_out,A549,UNC0379,1.0,2,0.2172796177977173
leave_drug_out,A549,Lomustine,1.0,2,0.0851431176416209
leave_drug_out,A549,WP1066,1.0,2,-0.1342515440249399
leave_drug_out,A549,Danusertib (PHA-739358),1.0,2,-0.5337225282363591
leave_drug_out,A549,Navitoclax (ABT-263),1.0,2,-0.1020973951229115
leave_drug_out,A549,"Fluorouracil (5-Fluoracil, 5-FU)",1.0,2,0.0
leave_drug_out,A549,Quercetin,1.0,2,0.2902597849695646
leave_drug_out,A549,Altretamine,1.0,2,-0.0188888941872319
leave_drug_out,A549,Lapatinib (GW-572016) Ditosylate,1.0,2,-0.0031769984823881
leave_drug_out,A549,Thiotepa,1.0,2,0.0
leave_drug_out,A549,"Fedratinib (SAR302503, TG101348)",1.0,2,0.0346066092840243
leave_drug_out,A549,PF-3845,1.0,2,0.2303612461053624
leave_drug_out,A549,PD98059,1.0,2,0.0
leave_drug_out,A549,Linifanib (ABT-869),1.0,2,0.07336392209936
leave_drug_out,A549,GSK J1,1.0,2,-0.5834330535576522
leave_drug_out,A549,UNC0631,1.0,2,0.1108651100564199
leave_drug_out,A549,Obatoclax Mesylate (GX15-070),1.0,2,0.0
leave_drug_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,2,0.0
leave_drug_out,A549,"Cerdulatinib (PRT062070, PRT2070)",1.0,2,-0.2452507470445877
leave_drug_out,A549,Busulfan,1.0,2,-0.1317527452285836
leave_drug_out,A549,Barasertib (AZD1152-HQPA),1.0,2,-0.5072380780124418
leave_MoA_out,A549,MK-0752,0.9893617021276596,2,0.0
leave_MoA_out,A549,JNJ-26854165 (Serdemetan),0.9680851063829788,2,0.0
leave_MoA_out,A549,Valproic acid sodium salt (Sodium valproate),0.9787234042553192,2,0.0
leave_MoA_out,A549,Ki16425,0.9893617021276596,2,0.0
leave_MoA_out,A549,PD98059,0.9787234042553192,2,0.0
leave_MoA_out,A549,Clevudine,0.8723404255319149,2,0.0
leave_MoA_out,A549,ITSA-1 (ITSA1),0.7978723404255319,2,0.0
partial_library,A549,batch,0.2,2,0.0
partial_library,A549,batch,0.4,2,0.0
partial_library,A549,batch,0.6,2,0.0
leave_drug_out,A549,Selisistat (EX 527),1.0,3,0.0437916596946511
leave_drug_out,A549,PHA-680632,1.0,3,-0.6138312989986647
leave_drug_out,A549,AG-490 (Tyrphostin B42),1.0,3,0.0
leave_drug_out,A549,GSK1070916,1.0,3,-0.2950117120395272
leave_drug_out,A549,Busulfan,1.0,3,0.4499077615510813
leave_drug_out,A549,GSK-LSD1 2HCl,1.0,3,-0.0202918656588045
leave_drug_out,A549,"Fluorouracil (5-Fluoracil, 5-FU)",1.0,3,0.0
leave_drug_out,A549,Barasertib (AZD1152-HQPA),1.0,3,-0.7542686714597937
leave_drug_out,A549,Epothilone A,1.0,3,-0.0812293224245256
leave_drug_out,A549,Resminostat,1.0,3,0.1065675599118117
leave_drug_out,A549,Decitabine,1.0,3,-0.2767642682517245
leave_drug_out,A549,PD173074,1.0,3,0.0440740795040038
leave_drug_out,A549,BMS-536924,1.0,3,0.0597859752088475
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,3,0.0
leave_drug_out,A549,Triamcinolone Acetonide,1.0,3,0.0
leave_drug_out,A549,G007-LK,1.0,3,0.2808815010511816
leave_drug_out,A549,Celecoxib,1.0,3,0.0
leave_drug_out,A549,Tazemetostat (EPZ-6438),1.0,3,0.0371363379750345
leave_drug_out,A549,"Fedratinib (SAR302503, TG101348)",1.0,3,-0.2200917662980801
leave_drug_out,A549,RG108,1.0,3,-0.0865770190078472
leave_drug_out,A549,MK-5108 (VX-689),1.0,3,-0.4378068560756645
leave_drug_out,A549,Ofloxacin,1.0,3,0.2032389337527008
leave_drug_out,A549,Amisulpride,1.0,3,0.0
leave_drug_out,A549,AZD1480,1.0,3,0.1584091525685025
leave_drug_out,A549,Droxinostat,1.0,3,0.0
leave_drug_out,A549,Sirtinol,1.0,3,-0.2295335754436483
leave_drug_out,A549,Danusertib (PHA-739358),1.0,3,-0.3098064936645125
leave_drug_out,A549,XAV-939,1.0,3,0.0
leave_drug_out,A549,BMS-754807,1.0,3,0.0
leave_drug_out,A549,PFI-1 (PF-6405761),1.0,3,-0.03873692763702
leave_drug_out,A549,Quercetin,1.0,3,-0.2394606984850777
leave_MoA_out,A549,Carmofur,0.8723404255319149,3,0.0
leave_MoA_out,A549,"Tozasertib (VX-680, MK-0457)",0.8882978723404256,3,0.0
leave_MoA_out,A549,Celecoxib,0.9787234042553192,3,0.0
leave_MoA_out,A549,SL-327,0.9787234042553192,3,0.0
leave_MoA_out,A549,Divalproex Sodium,0.9893617021276596,3,0.0
leave_MoA_out,A549,Enzastaurin (LY317615),0.9840425531914894,3,0.0
partial_library,A549,batch,0.2,3,0.0
partial_library,A549,batch,0.4,3,0.0
leave_drug_out,A549,SRT3025 HCl,1.0,4,0.1584091525685025
leave_drug_out,A549,Divalproex Sodium,1.0,4,0.0
leave_drug_out,A549,Ruxolitinib (INCB018424),1.0,4,-0.0288165607245144
leave_drug_out,A549,Ofloxacin,1.0,4,0.0979653628519389
leave_drug_out,A549,Sorafenib Tosylate,1.0,4,0.0
leave_drug_out,A549,Epothilone A,1.0,4,0.0
leave_drug_out,A549,Ki8751,1.0,4,0.11004588314904
leave_drug_out,A549,ENMD-2076,1.0,4,-0.11004588314904
leave_drug_out,A549,AT9283,1.0,4,0.2172607128522298
leave_drug_out,A549,CEP-33779,1.0,4,-0.5513310624619329
leave_drug_out,A549,Ramelteon,1.0,4,0.0
leave_drug_out,A549,Motesanib Diphosphate (AMG-706),1.0,4,0.0311675761705989
leave_drug_out,A549,Azacitidine,1.0,4,0.0
leave_drug_out,A549,WP1066,1.0,4,0.0147774807797236
leave_drug_out,A549,Trametinib (GSK1120212),1.0,4,-0.4692787260227564
leave_drug_out,A549,SB431542,1.0,4,-0.2184074368181641
leave_drug_out,A549,Cimetidine,1.0,4,0.2021073465005475
leave_drug_out,A549,G007-LK,1.0,4,0.1605823915066368
leave_drug_out,A549,UNC0379,1.0,4,0.164219586306328
leave_drug_out,A549,Raltitrexed,1.0,4,0.085143117641621
leave_drug_out,A549,Flavopiridol HCl,1.0,4,0.0783982689786754
leave_drug_out,A549,Sodium Phenylbutyrate,1.0,4,0.11004588314904
leave_drug_out,A549,Ivosidenib (AG-120),1.0,4,0.0
leave_drug_out,A549,Quercetin,1.0,4,0.167333059561531
leave_drug_out,A549,NVP-BSK805 2HCl,1.0,4,-0.0569738267084845
leave_drug_out,A549,Tucidinostat (Chidamide),1.0,4,-0.6203974344166848
leave_drug_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,4,0.0
leave_drug_out,A549,S3I-201,1.0,4,0.0883201161240093
leave_drug_out,A549,GSK1070916,1.0,4,-0.1416934973194049
leave_drug_out,A549,INO-1001 (3-Aminobenzamide),1.0,4,0.165154001231448
leave_drug_out,A549,AZD1480,1.0,4,0.0851431176416209
leave_drug_out,A549,Mercaptopurine (6-MP),1.0,4,0.0
leave_drug_out,A549,BMS-911543,1.0,4,-0.2200917662980802
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",1.0,4,-0.2863459897524692
leave_drug_out,A549,MK-5108 (VX-689),1.0,4,-0.2317730746678624
leave_MoA_out,A549,Sorafenib Tosylate,0.9787234042553192,4,0.0
leave_MoA_out,A549,Givinostat (ITF2357),0.9361702127659576,4,0.0
leave_MoA_out,A549,CEP-33779,0.8936170212765957,4,0.0
leave_MoA_out,A549,SNS-314,0.8882978723404256,4,0.0
leave_MoA_out,A549,Celecoxib,0.9787234042553192,4,0.0
leave_MoA_out,A549,Trichostatin A (TSA),0.9787234042553192,4,0.0
leave_MoA_out,A549,Divalproex Sodium,0.9893617021276596,4,0.0
partial_library,A549,batch,0.2,4,0.0
partial_library,A549,batch,0.4,4,0.0
partial_library,A549,batch,0.6,4,0.0
leave_drug_out,K562,MK-0752,1.0,0,0.0
leave_drug_out,K562,Resminostat,1.0,0,0.1864080904858628
leave_drug_out,K562,Alendronate sodium trihydrate,1.0,0,0.0
leave_drug_out,K562,A-366,1.0,0,-0.0039327001625827
leave_drug_out,K562,Veliparib (ABT-888),1.0,0,0.0374376627298745
leave_drug_out,K562,Quercetin,1.0,0,-0.3030616450015669
leave_drug_out,K562,AC480 (BMS-599626),1.0,0,-0.2122263659729145
leave_drug_out,K562,"Baricitinib (LY3009104, INCB028050)",1.0,0,-0.1350072457051346
leave_drug_out,K562,GSK1070916,1.0,0,-0.0062648106631798
leave_drug_out,K562,TGX-221,1.0,0,0.0
leave_drug_out,K562,AZ 960,1.0,0,0.142019057177627
leave_drug_out,K562,AG-14361,1.0,0,0.1755444049232346
leave_drug_out,K562,Givinostat (ITF2357),1.0,0,0.0067448486629456
leave_drug_out,K562,SRT2104 (GSK2245840),1.0,0,-0.0346269944623399
leave_drug_out,K562,Fasudil (HA-1077) HCl,1.0,0,-0.1349486486564592
leave_drug_out,K562,M344,1.0,0,-0.0099276665372824
leave_drug_out,K562,Hesperadin,1.0,0,-0.1395202583812704
leave_drug_out,K562,SL-327,1.0,0,-0.4692787260227564
leave_drug_out,K562,Ofloxacin,1.0,0,-0.0117791955422608
leave_drug_out,K562,TG101209,1.0,0,0.3337690248548629
leave_drug_out,K562,"Roscovitine (Seliciclib,CYC202)",1.0,0,0.1763001066034291
leave_drug_out,K562,Ki16425,1.0,0,0.0
leave_drug_out,K562,(+)-JQ1,1.0,0,-0.1783565534235974
leave_drug_out,K562,Decitabine,1.0,0,0.0944114894383592
leave_drug_out,K562,Costunolide,1.0,0,-0.047908892494108
leave_drug_out,K562,Pirarubicin,1.0,0,-0.3589542101716347
leave_drug_out,K562,Mercaptopurine (6-MP),1.0,0,0.0
leave_MoA_out,K562,SRT3025 HCl,0.8723404255319149,0,0.0
leave_MoA_out,K562,Droxinostat,0.9361702127659576,0,0.0
leave_MoA_out,K562,"Temsirolimus (CCI-779, NSC 683864)",0.9840425531914894,0,0.0
leave_MoA_out,K562,CEP-33779,0.8936170212765957,0,0.0
leave_MoA_out,K562,Sorafenib Tosylate,0.9787234042553192,0,0.0
leave_MoA_out,K562,Celecoxib,0.9787234042553192,0,0.0
leave_MoA_out,K562,Ramelteon,0.9893617021276596,0,0.0
partial_library,K562,batch,0.2,0,0.0
partial_library,K562,batch,0.4,0,0.0
partial_library,K562,batch,0.6,0,0.0
leave_drug_out,K562,Hesperadin,1.0,1,-0.1700988211674344
leave_drug_out,K562,WHI-P154,1.0,1,0.066254223454389
leave_drug_out,K562,Givinostat (ITF2357),1.0,1,-0.0413703628924573
leave_drug_out,K562,FLLL32,1.0,1,0.0783982689786753
leave_drug_out,K562,Zileuton,1.0,1,0.0
leave_drug_out,K562,AC480 (BMS-599626),1.0,1,-0.2240055615151755
leave_drug_out,K562,Andarine,1.0,1,0.1128451413489352
leave_drug_out,K562,Regorafenib (BAY 73-4506),1.0,1,-0.0812104174790381
leave_drug_out,K562,AG-14361,1.0,1,-0.195189000790661
leave_drug_out,K562,Tofacitinib (CP-690550) Citrate,1.0,1,-0.0214244422701906
leave_drug_out,K562,"Temsirolimus (CCI-779, NSC 683864)",1.0,1,-0.1934264036172708
leave_drug_out,K562,Alendronate sodium trihydrate,1.0,1,-0.1815417925373526
leave_drug_out,K562,Divalproex Sodium,1.0,1,0.0
leave_drug_out,K562,GSK-LSD1 2HCl,1.0,1,-0.3120490772217806
leave_drug_out,K562,Aurora A Inhibitor I,1.0,1,-0.1388624438735546
leave_drug_out,K562,Curcumin,1.0,1,0.07336392209936
leave_drug_out,K562,Tucidinostat (Chidamide),1.0,1,0.1068688846666517
leave_drug_out,K562,SL-327,1.0,1,-0.1480409554829326
leave_drug_out,K562,SNS-314,1.0,1,-0.0914335893792122
leave_drug_out,K562,Azacitidine,1.0,1,0.0
leave_drug_out,K562,G007-LK,1.0,1,0.1517621910780353
leave_drug_out,K562,Pracinostat (SB939),1.0,1,0.2224495378730887
leave_drug_out,K562,Ruxolitinib (INCB018424),1.0,1,-0.1330520101357289
leave_drug_out,K562,Carmofur,1.0,1,0.07336392209936
leave_drug_out,K562,Prednisone,1.0,1,0.0
leave_drug_out,K562,CUDC-101,1.0,1,0.0597069929818563
leave_drug_out,K562,Lenalidomide (CC-5013),1.0,1,0.2079259953439193
leave_drug_out,K562,Mocetinostat (MGCD0103),1.0,1,-0.0597069929818562
leave_drug_out,K562,Ki8751,1.0,1,0.1474646409334272
leave_drug_out,K562,Ofloxacin,1.0,1,-0.0694312219367772
leave_drug_out,K562,Filgotinib (GLPG0634),1.0,1,-0.0537193262319336
leave_MoA_out,K562,IOX2,0.9414893617021276,1,0.0
leave_MoA_out,K562,PF-3845,0.973404255319149,1,0.0
leave_MoA_out,K562,Trichostatin A (TSA),0.9787234042553192,1,0.0
leave_MoA_out,K562,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),0.9840425531914894,1,0.0
leave_MoA_out,K562,Tanespimycin (17-AAG),0.9361702127659576,1,0.0
leave_MoA_out,K562,Avagacestat (BMS-708163),0.9893617021276596,1,0.0
leave_MoA_out,K562,BMS-911543,0.8936170212765957,1,0.0
partial_library,K562,batch,0.2,1,0.0
partial_library,K562,batch,0.4,1,0.0
partial_library,K562,batch,0.6,1,0.0
leave_drug_out,K562,"Patupilone (EPO906, Epothilone B)",1.0,2,0.0812293224245256
leave_drug_out,K562,Pelitinib (EKB-569),1.0,2,-0.3098064936645125
leave_drug_out,K562,"Tozasertib (VX-680, MK-0457)",1.0,2,0.3421013776262555
leave_drug_out,K562,BMS-265246,1.0,2,0.0757216936743686
leave_drug_out,K562,Filgotinib (GLPG0634),1.0,2,-0.0851431176416209
leave_drug_out,K562,Entacapone,1.0,2,0.0858213173276526
leave_drug_out,K562,Tofacitinib (CP-690550) Citrate,1.0,2,-0.0636207881989517
leave_drug_out,K562,Alendronate sodium trihydrate,1.0,2,0.1564262420075854
leave_drug_out,K562,PD173074,1.0,2,0.0
leave_drug_out,K562,UNC0379,1.0,2,0.0149750989701364
