pair,drug,cross_cos,rel_a,rel_b
K562+A549,Epothilone A,-0.0462142452597618,0.7120210409164429,0.9342344522476196
K562+A549,Bosutinib (SKI-606),-0.0144437551498413,0.9100373148918152,0.608616304397583
K562+A549,Tacedinaline (CI994),-0.014395740814507,0.6522348880767822,0.587553858757019
K562+A549,JNJ-7706621,-0.0101590417325496,0.5430810451507568,0.6497473359107971
K562+A549,KW-2449,0.0064775529317557,0.5663251161575318,0.7634762048721313
K562+A549,"Patupilone (EPO906, Epothilone B)",0.0085765467956662,0.6062404870986938,0.9019474744796752
K562+A549,Flavopiridol HCl,0.0278898570686578,0.7587158560752869,0.8119552969932556
K562+A549,Decitabine,0.0297643430531024,0.5393793165683747,0.5935938239097596
K562+A549,TG101209,0.0309345126152038,0.646243441104889,0.5529656052589417
K562+A549,"Temsirolimus (CCI-779, NSC 683864)",0.0457725077867507,0.5236294150352478,0.736959946155548
K562+A549,PHA-680632,0.0512673668563365,0.7565669298171998,0.6691500544548035
K562+A549,"Tozasertib (VX-680, MK-0457)",0.05362518876791,0.8071537137031555,0.7909570336341858
K562+A549,Rigosertib (ON-01910),0.0562002323567867,0.5260408222675323,0.7380424976348877
K562+A549,(+)-JQ1,0.0601658709347248,0.903569769859314,0.8822616457939148
K562+A549,YM155 (Sepantronium Bromide),0.0610042735934257,0.8365922331809997,0.9485217332839966
K562+A549,Danusertib (PHA-739358),0.0619444176554679,0.879854166507721,0.744547700881958
K562+A549,"Fedratinib (SAR302503, TG101348)",0.0653046742081642,0.5322923004627228,0.6263710021972656
K562+A549,Dasatinib,0.0662745609879493,0.9433155417442322,0.7204159498214722
K562+A549,Alvespimycin (17-DMAG) HCl,0.0705570355057716,0.8933381795883178,0.8886420130729675
K562+A549,PFI-1 (PF-6405761),0.0736285373568534,0.7812301397323609,0.5138776183128357
K562+A549,Tanespimycin (17-AAG),0.0762871503829956,0.8076756119728088,0.863923704624176
K562+A549,Trametinib (GSK1120212),0.0774269700050354,0.9379822254180908,0.9534614443778991
K562+A549,"Luminespib (AUY-922, NVP-AUY922)",0.0777254849672317,0.908041286468506,0.6290253400802612
K562+A549,AT9283,0.0978064537048339,0.7314863681793213,0.882945454120636
K562+A549,Triamcinolone Acetonide,0.1059183701872825,0.6005854368209839,0.955999994277954
K562+A549,Resminostat,0.1146923452615737,0.7398981809616089,0.8628859758377075
K562+A549,Alisertib (MLN8237),0.11655243486166,0.7009905219078064,0.8746435523033143
K562+A549,Crizotinib (PF-02341066),0.118545763194561,0.7393267273902893,0.6034857988357544
K562+A549,ENMD-2076 L-(+)-Tartaric acid,0.1197715774178505,0.5138647794723511,0.7773436546325684
K562+A549,Belinostat (PXD101),0.1211908683180809,0.8378765940666199,0.9245359778404236
K562+A549,Azacitidine,0.121357224881649,0.816296374797821,0.6557997584342956
K562+A549,TAK-901,0.1217416897416114,0.781158983707428,0.8529199361801147
K562+A549,Mocetinostat (MGCD0103),0.1273552775382995,0.869223690032959,0.870732045173645
K562+A549,AR-42,0.132478728890419,0.9123537302017212,0.9627342939376832
K562+A549,Raltitrexed,0.1389850527048111,0.8060920476913452,0.8987013220787048
K562+A549,Pracinostat (SB939),0.1435806453227996,0.9089749336242676,0.9528378844261168
K562+A549,CUDC-101,0.1439089626073837,0.7068327903747559,0.779485285282135
K562+A549,GSK1070916,0.1457272917032241,0.6173308730125427,0.9051993370056152
K562+A549,ENMD-2076,0.1479703336954116,0.5001058101654052,0.7026771426200866
K562+A549,Givinostat (ITF2357),0.1499713808298111,0.8578520655632019,0.9504381418228148
K562+A549,Trichostatin A (TSA),0.1502795219421386,0.5946191549301147,0.904285728931427
K562+A549,CUDC-907,0.1537817120552063,0.9435574054718018,0.9634374737739564
K562+A549,Hesperadin,0.1647544652223587,0.7957605600357056,0.8503720760345459
K562+A549,SNS-314,0.1652133762836456,0.6601584196090698,0.8784698605537414
K562+A549,Abexinostat (PCI-24781),0.1735535860061645,0.9262177348136902,0.9639251589775084
K562+A549,Cyclocytidine HCl,0.1738673150539398,0.8106385469436646,0.8172074913978576
K562+A549,Dacinostat (LAQ824),0.1751502007246017,0.9703436613082884,0.9812823057174682
K562+A549,M344,0.1800797879695892,0.8087010383605957,0.9001636624336242
K562+A549,Barasertib (AZD1152-HQPA),0.1842380464076995,0.7627413868904114,0.891401469707489
K562+A549,Entinostat (MS-275),0.187774583697319,0.8416675329208374,0.7888820052146912
K562+A549,Panobinostat (LBH589),0.1884512305259704,0.9656150937080384,0.9885777354240416
K562+A549,AMG-900,0.2007151544094085,0.7444444537162781,0.9104051470756532
K562+A549,Quisinostat (JNJ-26481585) 2HCl,0.2051317542791366,0.9782033443450928,0.991450262069702
A549+MCF7,BMS-265246,-0.0013653612695634,0.6684599161148072,0.64262535572052
A549+MCF7,YM155 (Sepantronium Bromide),0.0121542941778898,0.9530619740486144,0.8775189995765686
A549+MCF7,Alendronate sodium trihydrate,0.0200904123485088,0.6291274070739746,0.6226399064064025
A549+MCF7,Momelotinib (CYT387),0.0502927340567112,0.7022092342376709,0.5437234818935395
A549+MCF7,"Patupilone (EPO906, Epothilone B)",0.0573094338178634,0.9141743302345277,0.8243825435638428
A549+MCF7,Epothilone A,0.0725624859333038,0.9344701647758484,0.8188748836517334
A549+MCF7,UNC0631,0.0875886902213096,0.5790400505065918,0.5180278718471527
A549+MCF7,(+)-JQ1,0.1028416827321052,0.8888240694999695,0.9635798573493958
A549+MCF7,Bosutinib (SKI-606),0.1052509695291519,0.5859246015548706,0.6530598521232605
A549+MCF7,PFI-1 (PF-6405761),0.1119740456342697,0.5180257141590119,0.8861785292625427
A549+MCF7,Trametinib (GSK1120212),0.1170957460999488,0.9529550909996032,0.9142767667770386
A549+MCF7,Flavopiridol HCl,0.1225784569978714,0.80914466381073,0.942807412147522
A549+MCF7,Rigosertib (ON-01910),0.1226951330900192,0.7430434465408325,0.7664929866790772
