pair,alpha,mean_cosine_hit@1,global_energy_hit@1,coverage_mean_hit@1,coverage_worst_hit@1
K562+A549,0.5,0.6533333333333333,0.96,0.98,0.9
K562+A549,0.6,0.5933333333333334,0.9533333333333334,0.9533333333333334,0.86
K562+A549,0.7,0.5133333333333333,0.94,0.96,0.7333333333333333
K562+A549,0.8,0.42,0.8866666666666667,0.8333333333333334,0.5933333333333334
K562+A549,0.9,0.3533333333333333,0.8266666666666667,0.5066666666666667,0.3
A549+MCF7,0.5,0.7466666666666667,0.9466666666666668,0.94,0.86
A549+MCF7,0.6,0.6333333333333333,0.94,0.9266666666666666,0.8266666666666667
A549+MCF7,0.7,0.48,0.96,0.9266666666666666,0.6933333333333334
A549+MCF7,0.8,0.4333333333333333,0.96,0.86,0.6133333333333333
A549+MCF7,0.9,0.3533333333333333,1.0,0.6866666666666666,0.3466666666666667
K562+MCF7,0.5,0.4,0.86,0.9066666666666666,0.7933333333333333
K562+MCF7,0.6,0.36,0.9066666666666666,0.9,0.9066666666666666
K562+MCF7,0.7,0.22,0.9266666666666666,0.9266666666666666,0.74
K562+MCF7,0.8,0.2333333333333333,0.9066666666666666,0.8466666666666667,0.5333333333333333
K562+MCF7,0.9,0.28,0.88,0.6866666666666666,0.2533333333333333
