separation_scale,cells_per_source,ari_kmeans_k2
1.0,25,0.06312254214930232
1.0,50,0.07910840553050905
1.0,100,0.07492108338156453
1.0,200,0.06778997813533126
1.0,400,0.07183612891051545
1.5,25,0.31611077270774335
1.5,50,0.27350207181834313
1.5,100,0.19133165143617456
1.5,200,0.1750430417352877
1.5,400,0.17465288106753313
2.0,25,0.9350933537814117
2.0,50,0.6138079601607938
2.0,100,0.3561193922589857
2.0,200,0.30538988229916797
2.0,400,0.3007106008405632
3.0,25,1.0
3.0,50,0.9959996081648648
3.0,100,0.9358993137301044
3.0,200,0.776567170798365
3.0,400,0.6431091232754305
5.0,25,1.0
5.0,50,1.0
5.0,100,1.0
5.0,200,1.0
5.0,400,0.9992499988310619
8.0,25,1.0
8.0,50,1.0
8.0,100,1.0
8.0,200,1.0
8.0,400,1.0
