welfare_type,information_condition,metric,best_method,best_value
mean,observed,hit_at_1,DART_mmd,0.06944444444444445
mean,observed,mrr,DART_mmd,0.23919448666892823
mean,observed,ndcg,DART_mmd,0.2907883336734139
mean,observed,decision_regret,DART_mmd,0.11396676955951585
mean,predicted_mean,hit_at_1,DART_sliced_wasserstein,0.05555555555555555
mean,predicted_mean,mrr,DART_coverage_worst,0.14185299803810575
mean,predicted_mean,ndcg,DART_sliced_wasserstein,0.17632862216472237
mean,predicted_mean,decision_regret,DART_sliced_wasserstein,0.45179544215401
worst,observed,hit_at_1,DART_coverage_worst,0.09722222222222222
worst,observed,mrr,DART_coverage_worst,0.23234062759815474
worst,observed,ndcg,DART_coverage_worst,0.2696606034922071
worst,observed,decision_regret,DART_coverage_worst,0.2931546105278863
worst,predicted_mean,hit_at_1,DART_energy,0.09722222222222222
worst,predicted_mean,mrr,DART_mmd,0.177048944964096
worst,predicted_mean,ndcg,cmap_signature_match,0.21728282938855448
worst,predicted_mean,decision_regret,DART_mmd,0.9609445995754666
