context,query_ko,response_divergence,mean_top_ko,dart_top_ko,same_pick,mean_top_minority_cov,dart_top_minority_cov,dart_minority_rescue,seed
Co-culture,TPRKB,0.1329815473357988,PABPC1,PABPC1,True,0.9621306139581935,0.9621306139581935,0.0,0
Co-culture,ROMO1,0.1160835586461521,TPRKB,ILF2,False,0.986154068284961,0.9879798558137668,0.0018257875288059,0
Co-culture,MYC,0.1076882769867602,CTPS1,PABPC1,False,0.9860285153404392,0.9856094121927694,-0.0004191031476699,0
Co-culture,TMED10,0.1052907185315831,RNASEH2A,RNASEH2A,True,0.9875837719844416,0.9875837719844416,0.0,0
Co-culture,UQCRH,0.1011157103190527,WBP2,HLA-H,False,0.9914686814700135,0.992685836511098,0.0012171550410845,0
Co-culture,HNRNPC,0.0982553141158381,CTPS1,NPC2,False,0.9922802155140098,0.985636723760961,-0.0066434917530487,0
Co-culture,PUF60,0.0953267296342509,PET100,AGA,False,0.9913274177124864,0.991997782468118,0.0006703647556316,0
Co-culture,FBL,0.0903295442790768,TP53,CDKN2A,False,0.995322189038618,0.9936878594976164,-0.0016343295410016,0
IFNγ,POLD2,0.0983663714586441,MYC,GAS5,False,0.9738742495258088,0.976373595425587,0.002499345899778,0
IFNγ,JAK1,0.0969590391558605,IFNGR1,IFNGR2,False,0.9844563216639372,0.986447204521386,0.0019908828574487,0
IFNγ,TPRKB,0.0965108584393316,FARSA,EEF1G,False,0.9763911782690456,0.9807812916371688,0.0043901133681232,0
IFNγ,EIF4A1,0.0933351504016882,FARSA,NOLC1,False,0.9760058112131624,0.9850604350879112,0.0090546238747488,0
IFNγ,MYC,0.0857001944099555,POLD2,ATP1B1,False,0.989958005150246,0.9904713408003816,0.0005133356501356,0
IFNγ,FTH1,0.0855638249956216,IDH2,KCNN4,False,0.9632412329293154,0.9658253585994228,0.0025841256701074,0
IFNγ,FOXM1,0.0854030997123422,CGAS,IDI2-AS1,False,0.9908186449297116,0.9892520224237952,-0.0015666225059163,0
IFNγ,PPA1,0.083909687769675,GSEC,KCNN4,False,0.9863870034715552,0.9847275482490871,-0.001659455222468,0
