task,method,hit@1,hit@5,mrr,ndcg@10,rank,n_queries
controlled,mean_cosine,0.28888888888888886,1.0,0.6425925925925926,0.7360952719444648,1.7222222222222223,90
controlled,mean_l2,0.8111111111111111,1.0,0.9055555555555556,0.9302867312301641,1.1888888888888889,90
controlled,global_energy,0.8444444444444444,1.0,0.9222222222222223,0.9425890727777824,1.1555555555555554,90
controlled,coverage_mean,0.7555555555555555,1.0,0.8759259259259259,0.9083280536111178,1.2555555555555555,90
controlled,coverage_worst,0.7333333333333333,1.0,0.8601851851851853,0.8964466820341557,1.3111111111111111,90
controlled,cmap_cosine,0.28888888888888886,1.0,0.6425925925925926,0.7360952719444648,1.7222222222222223,90
controlled,cmap_wtcs,0.4444444444444444,1.0,0.7166666666666667,0.7905966490873167,1.5888888888888888,90
controlled,pca_mean,0.5777777777777777,1.0,0.787037037037037,0.8427155653571548,1.4333333333333333,90
controlled,pca_dist,0.8111111111111111,1.0,0.9055555555555556,0.9302867312301641,1.1888888888888889,90
crossline,mean_cosine,0.41759259259259257,0.9925925925925926,0.6746781305114637,0.7578889623555726,1.8388888888888888,1080
crossline,mean_l2,0.8231481481481482,0.9722222222222222,0.8943243484220146,0.9154256631578561,1.5796296296296297,1080
crossline,global_energy,0.912962962962963,0.9648148148148148,0.9385368425516922,0.9457616265363659,1.8398148148148148,1080
crossline,coverage_mean,0.8175925925925925,0.9324074074074075,0.8702900446555342,0.8908243772103155,2.151851851851852,1080
crossline,coverage_worst,0.85,0.924074074074074,0.8863208187084508,0.899634715578384,2.45,1080
crossline,cmap_cosine,0.41759259259259257,0.9925925925925926,0.6746781305114637,0.7578889623555726,1.8388888888888888,1080
crossline,cmap_wtcs,0.5148148148148148,0.9814814814814815,0.7149876828824198,0.7864578630565385,1.8518518518518519,1080
crossline,pca_mean,0.475,0.9805555555555555,0.7026671245421245,0.7775681242930598,1.8444444444444446,1080
crossline,pca_dist,0.8453703703703703,0.9629629629629629,0.8989706644502441,0.9198257655858616,1.5509259259259258,1080
frangieh,mean_cosine,0.6,0.8888888888888888,0.7283282458282458,0.7842014387602287,2.4555555555555557,90
frangieh,mean_l2,0.6111111111111112,0.8777777777777778,0.72424535341202,0.7777621953622538,2.6555555555555554,90
frangieh,global_energy,0.5777777777777777,0.9111111111111111,0.7239278930945597,0.7788619610255012,2.4444444444444446,90
frangieh,coverage_mean,0.5222222222222223,0.8444444444444444,0.6610044682413103,0.726045755251199,3.1222222222222222,90
frangieh,coverage_worst,0.4777777777777778,0.8222222222222222,0.6399159065335536,0.7103157105754602,3.0555555555555554,90
frangieh,cmap_cosine,0.6,0.8888888888888888,0.7283282458282458,0.7842014387602287,2.4555555555555557,90
frangieh,cmap_wtcs,0.36666666666666664,0.7444444444444445,0.5353954841454841,0.609095151616112,4.733333333333333,90
frangieh,pca_mean,0.4666666666666667,0.7333333333333333,0.5937252145095282,0.6514142703404798,4.333333333333333,90
frangieh,pca_dist,0.4777777777777778,0.8333333333333334,0.6137018017083377,0.6929667424132263,3.533333333333333,90
