split_type,cell_line,heldout_drug,observed_library_fraction,seed,classA_regret_reduction,classB_moa_ndcg_gain
leave_drug_out,A549,Selisistat (EX 527),1.0,0,0.4454936981201172,0.4220949603708207
leave_drug_out,A549,KW-2449,1.0,0,0.5308914184570312,0.0
leave_drug_out,A549,Lenalidomide (CC-5013),1.0,0,0.10784721374511719,0.0
leave_drug_out,A549,Resminostat,1.0,0,-0.025321960449218806,0.19032188570295827
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,0.10183525085449219,0.0
leave_drug_out,A549,Veliparib (ABT-888),1.0,0,0.19434928894042977,-0.1731866333482261
leave_drug_out,A549,Carmofur,1.0,0,0.16070365905761722,-0.1467278441987202
leave_drug_out,A549,AG-490 (Tyrphostin B42),1.0,0,0.0,0.0
leave_drug_out,A549,Meprednisone,1.0,0,0.1121463775634766,-0.3071837157818931
leave_drug_out,A549,TGX-221,1.0,0,-0.040403366088867104,-0.1845756967795681
leave_drug_out,A549,AZ 960,1.0,0,0.5070476531982422,-0.1463629942166947
leave_drug_out,A549,Givinostat (ITF2357),1.0,0,1.3463897705078125,-0.14802710910586553
leave_drug_out,A549,SRT2104 (GSK2245840),1.0,0,0.21941757202148443,0.1823081585316676
leave_drug_out,A549,PF-573228,1.0,0,0.021881103515625,0.0
leave_drug_out,A549,Prednisone,1.0,0,0.049367904663086,-0.1951900249960508
leave_drug_out,A549,M344,1.0,0,0.2394161224365235,-0.15730750585177006
leave_drug_out,A549,Hesperadin,1.0,0,0.0007724761962890903,-0.38775038571783355
leave_drug_out,A549,SL-327,1.0,0,-0.0805263519287109,-0.2346393630113782
leave_drug_out,A549,TG101209,1.0,0,-0.03288841247558601,-0.2837125544970318
leave_drug_out,A549,BMS-754807,1.0,0,0.0993003845214844,0.0
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",1.0,0,0.0688400268554688,-0.3597099118518292
leave_drug_out,A549,(+)-JQ1,1.0,0,0.9590816497802734,-0.07747533550686839
leave_drug_out,A549,Decitabine,1.0,0,2.609577178955078,-0.2489083270225946
leave_drug_out,A549,Costunolide,1.0,0,-0.053924560546875,-0.11004588314904
leave_drug_out,A549,Pirarubicin,1.0,0,0.17248344421386722,0.0947883643695507
leave_drug_out,A549,Lomustine,1.0,0,0.4727954864501953,0.1369847102983117
leave_drug_out,A549,Mercaptopurine (6-MP),1.0,0,0.2045269012451172,0.0
leave_drug_out,A549,Hesperadin,1.0,1,0.7735977172851562,-0.2784805894273037
leave_drug_out,A549,Celecoxib,1.0,1,0.098724365234375,-0.014381337571150399
leave_drug_out,A549,WHI-P154,1.0,1,0.41725921630859375,-0.11350530144078103
leave_drug_out,A549,Givinostat (ITF2357),1.0,1,2.181476593017578,-0.1787403083511102
leave_drug_out,A549,UNC1999,1.0,1,1.2184734344482422,-0.1626242725404381
leave_drug_out,A549,FLLL32,1.0,1,0.1452445983886719,0.2012028721108483
leave_drug_out,A549,Zileuton,1.0,1,0.1456642150878907,0.0
leave_drug_out,A549,AC480 (BMS-599626),1.0,1,0.7809314727783203,0.1506416394158155
leave_drug_out,A549,Regorafenib (BAY 73-4506),1.0,1,0.2181053161621093,0.0636207881989517
leave_drug_out,A549,"Temsirolimus (CCI-779, NSC 683864)",1.0,1,0.012628555297851507,-0.3868528072345416
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,1,0.1960563659667969,0.0
