split_type,cell_line,heldout_drug,observed_library_fraction,seed,recommendation_mode,regret_reduction
leave_drug_out,A549,Selisistat (EX 527),1.0,0,DART_recommended,0.4454936981201172
leave_drug_out,A549,KW-2449,1.0,0,DART_recommended,0.5308914184570312
leave_drug_out,A549,Lenalidomide (CC-5013),1.0,0,DART_recommended,0.10784721374511719
leave_drug_out,A549,MK-0752,1.0,0,mean_or_no_call,0.0008106231689452986
leave_drug_out,A549,Resminostat,1.0,0,DART_recommended,-0.025321960449218806
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,0,DART_recommended,0.10183525085449219
leave_drug_out,A549,A-366,1.0,0,mean_or_no_call,0.4736576080322266
leave_drug_out,A549,Veliparib (ABT-888),1.0,0,DART_recommended,0.19434928894042977
leave_drug_out,A549,Quercetin,1.0,0,mean_or_no_call,0.0245952606201171
leave_drug_out,A549,Carmofur,1.0,0,DART_recommended,0.16070365905761722
leave_drug_out,A549,AG-490 (Tyrphostin B42),1.0,0,DART_recommended,0.0
leave_drug_out,A549,Meprednisone,1.0,0,DART_recommended,0.1121463775634766
leave_drug_out,A549,AC480 (BMS-599626),1.0,0,mean_or_no_call,8.392333984380551e-05
leave_drug_out,A549,"Baricitinib (LY3009104, INCB028050)",1.0,0,mean_or_no_call,0.0007858276367187916
leave_drug_out,A549,GSK1070916,1.0,0,mean_or_no_call,0.18705177307128912
leave_drug_out,A549,TGX-221,1.0,0,DART_recommended,-0.040403366088867104
leave_drug_out,A549,AZ 960,1.0,0,DART_recommended,0.5070476531982422
leave_drug_out,A549,AG-14361,1.0,0,mean_or_no_call,-0.019767761230468698
leave_drug_out,A549,Altretamine,1.0,0,mean_or_no_call,-0.010978698730468806
leave_drug_out,A549,Givinostat (ITF2357),1.0,0,DART_recommended,1.3463897705078125
leave_drug_out,A549,MC1568,1.0,0,mean_or_no_call,-0.0770549774169921
leave_drug_out,A549,SRT2104 (GSK2245840),1.0,0,DART_recommended,0.21941757202148443
leave_drug_out,A549,PF-573228,1.0,0,DART_recommended,0.021881103515625
leave_drug_out,A549,Prednisone,1.0,0,DART_recommended,0.049367904663086
leave_drug_out,A549,Fasudil (HA-1077) HCl,1.0,0,mean_or_no_call,1.1312713623046875
leave_drug_out,A549,Clevudine,1.0,0,mean_or_no_call,-0.01348876953125
leave_drug_out,A549,M344,1.0,0,DART_recommended,0.2394161224365235
leave_drug_out,A549,Hesperadin,1.0,0,DART_recommended,0.0007724761962890903
leave_drug_out,A549,SL-327,1.0,0,DART_recommended,-0.0805263519287109
leave_drug_out,A549,Ofloxacin,1.0,0,mean_or_no_call,-0.007383346557617215
leave_drug_out,A549,TG101209,1.0,0,DART_recommended,-0.03288841247558601
leave_drug_out,A549,BMS-754807,1.0,0,DART_recommended,0.0993003845214844
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",1.0,0,DART_recommended,0.0688400268554688
leave_drug_out,A549,Ki16425,1.0,0,mean_or_no_call,-0.03167533874511719
leave_drug_out,A549,(+)-JQ1,1.0,0,DART_recommended,0.9590816497802734
leave_drug_out,A549,Decitabine,1.0,0,DART_recommended,2.609577178955078
leave_drug_out,A549,Costunolide,1.0,0,DART_recommended,-0.053924560546875
leave_drug_out,A549,Pirarubicin,1.0,0,DART_recommended,0.17248344421386722
leave_drug_out,A549,Lomustine,1.0,0,DART_recommended,0.4727954864501953
leave_drug_out,A549,Mercaptopurine (6-MP),1.0,0,DART_recommended,0.2045269012451172
leave_MoA_out,A549,SRT3025 HCl,0.8723404255319149,0,DART_recommended,0.0586700439453125
leave_MoA_out,A549,Zileuton,0.973404255319149,0,DART_recommended,0.20389366149902338
leave_MoA_out,A549,Droxinostat,0.9361702127659576,0,DART_recommended,0.3324146270751953
leave_MoA_out,A549,"Temsirolimus (CCI-779, NSC 683864)",0.9840425531914894,0,mean_or_no_call,0.580251693725586
leave_MoA_out,A549,CEP-33779,0.8936170212765957,0,mean_or_no_call,0.11485862731933599
leave_MoA_out,A549,Sorafenib Tosylate,0.9787234042553192,0,mean_or_no_call,0.1741657257080078
leave_MoA_out,A549,Celecoxib,0.9787234042553192,0,DART_recommended,-0.026769638061523396
leave_MoA_out,A549,Ramelteon,0.9893617021276596,0,DART_recommended,-0.2109565734863281
partial_library,A549,batch,0.2,0,DART_recommended,-0.007080078125
partial_library,A549,batch,0.4,0,DART_recommended,0.08043479919433602
partial_library,A549,batch,0.6,0,mean_or_no_call,-0.0440998077392578
leave_drug_out,A549,Hesperadin,1.0,1,DART_recommended,0.7735977172851562
leave_drug_out,A549,Celecoxib,1.0,1,DART_recommended,0.098724365234375
leave_drug_out,A549,WHI-P154,1.0,1,DART_recommended,0.41725921630859375
leave_drug_out,A549,Givinostat (ITF2357),1.0,1,DART_recommended,2.181476593017578
leave_drug_out,A549,UNC1999,1.0,1,DART_recommended,1.2184734344482422
leave_drug_out,A549,FLLL32,1.0,1,DART_recommended,0.1452445983886719
leave_drug_out,A549,Zileuton,1.0,1,DART_recommended,0.1456642150878907
leave_drug_out,A549,S3I-201,1.0,1,mean_or_no_call,0.0
leave_drug_out,A549,AC480 (BMS-599626),1.0,1,DART_recommended,0.7809314727783203
leave_drug_out,A549,Andarine,1.0,1,mean_or_no_call,0.7283115386962891
leave_drug_out,A549,Regorafenib (BAY 73-4506),1.0,1,DART_recommended,0.2181053161621093
leave_drug_out,A549,AG-14361,1.0,1,mean_or_no_call,0.2640457153320313
leave_drug_out,A549,Tofacitinib (CP-690550) Citrate,1.0,1,mean_or_no_call,0.1358432769775391
leave_drug_out,A549,"Temsirolimus (CCI-779, NSC 683864)",1.0,1,DART_recommended,0.012628555297851507
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,1,DART_recommended,0.1960563659667969
leave_drug_out,A549,Divalproex Sodium,1.0,1,DART_recommended,0.9889354705810548
leave_drug_out,A549,GSK-LSD1 2HCl,1.0,1,mean_or_no_call,0.12352180480957031
leave_drug_out,A549,Aurora A Inhibitor I,1.0,1,DART_recommended,0.2765541076660157
leave_drug_out,A549,Curcumin,1.0,1,DART_recommended,0.16704368591308588
leave_drug_out,A549,Tucidinostat (Chidamide),1.0,1,DART_recommended,0.0676460266113281
leave_drug_out,A549,SL-327,1.0,1,DART_recommended,0.5343837738037109
leave_drug_out,A549,SNS-314,1.0,1,DART_recommended,-0.05018997192382811
leave_drug_out,A549,Azacitidine,1.0,1,DART_recommended,2.220701217651367
leave_drug_out,A549,G007-LK,1.0,1,DART_recommended,2.1747169494628906
