dataset,task_id,information_condition_mode,structure_reliability_score,preference_conflict,mean_vs_DART_disagreement,subpop_variance_ratio,response_diversity,bootstrap_rank_stability,observed_best_method,observed_dart_minority_cov,observed_mean_minority_cov,seed,HIR_predicted_regime,prediction_correct
sciplex3_within_line,A549:Sirtinol:s0,observed,0.3424447646532922,0.6248587570621469,0.325570697487206,0.029358618148221948,0.6041916608810425,0.2,mean_sufficient,0.988292396068573,0.9887770116329193,0,mean_sufficient,True
sciplex3_within_line,A549:Zileuton:s0,observed,0.5725915618413084,0.7005649717514124,0.4525904203323558,0.038432636624229695,0.5888700485229492,0.6,mean_sufficient,0.9887274205684662,0.9877985119819641,0,DART_recommended,False
sciplex3_within_line,A549:Ofloxacin:s0,observed,0.43133806184700973,0.5745762711864406,0.37533423415680534,0.027165232918729115,0.5847538113594055,0.4,mean_sufficient,0.9928760826587677,0.9915628433227539,0,DART_recommended,False
sciplex3_within_line,A549:Lapatinib (GW-572016) Ditosylate:s0,observed,0.46340647799988244,0.5683615819209039,0.4291300097751711,0.030883054218197294,0.6056181192398071,0.4,mean_sufficient,0.9919529557228088,0.9919529557228088,0,DART_recommended,False
sciplex3_within_line,A549:Curcumin:s0,observed,0.3511690625174473,0.5468926553672316,0.38361461712794004,0.025864914696678624,0.5930920243263245,0.2,mean_sufficient,0.9883206188678741,0.9870215952396393,0,mean_sufficient,True
sciplex3_within_line,A549:AICAR (Acadesine):s0,observed,0.4368765782148295,0.6045197740112994,0.36438387671784256,0.029718711092803354,0.6018608808517456,0.4,mean_sufficient,0.9856044352054596,0.9846560657024384,0,DART_recommended,False
sciplex3_within_line,A549:ABT-737:s0,observed,0.3580854521455873,0.5966101694915255,0.38493717829694074,0.027864272033230077,0.5976462364196777,0.2,mean_sufficient,0.991317868232727,0.991317868232727,0,mean_sufficient,True
sciplex3_within_line,A549:Disulfiram:s0,observed,0.39305466760095226,0.6096045197740113,0.24432177563107355,0.029557609101260846,0.5886921882629395,0.4,mean_sufficient,0.9887661039829254,0.9877767264842987,0,mean_sufficient,True
sciplex3_within_line,A549:Belinostat (PXD101):s0,observed,0.4451126658382496,0.5107344632768361,0.1958484273474786,0.09018563694988768,0.6656571626663208,0.4,mean_sufficient,0.8802110254764557,0.8791126012802124,0,DART_recommended,False
sciplex3_within_line,A549:Abexinostat (PCI-24781):s0,observed,0.6652203545514989,0.3536723163841808,0.13225231441550228,0.08165299635123072,0.68932044506073,1.0,DART_recommended,0.9775093793869019,0.9277312457561493,0,DART_recommended,True
sciplex3_within_line,A549:Droxinostat:s1,observed,0.5835174018963505,0.619774011299435,0.29601518026565465,0.03346571236581289,0.5951495170593262,0.8,mean_sufficient,0.9886108934879303,0.9860008060932159,1,DART_recommended,False
sciplex3_within_line,A549:ITSA-1 (ITSA1):s1,observed,0.35614765751749144,0.5751412429378531,0.3795066413662239,0.027768621535946753,0.6001446843147278,0.2,mean_sufficient,0.9884017109870911,0.9891908168792725,1,mean_sufficient,True
sciplex3_within_line,A549:Sirtinol:s1,observed,0.43832322661177836,0.596045197740113,0.38401713574459245,0.028185662403739115,0.5936024188995361,0.4,mean_sufficient,0.9900688529014587,0.9892812669277191,1,DART_recommended,False
sciplex3_within_line,A549:AG-490 (Tyrphostin B42):s1,observed,0.3573153223787435,0.5915254237288136,0.34704292567209516,0.03202654361352073,0.59770667552948,0.2,mean_sufficient,0.9889199137687683,0.9889199137687683,1,mean_sufficient,True
sciplex3_within_line,A549:UNC0379:s1,observed,0.6296407605955993,0.47570621468926555,0.26398711977459605,0.02547002866923737,0.6083518266677856,1.0,mean_sufficient,0.9887061417102814,0.9887061417102814,1,DART_recommended,False
sciplex3_within_line,A549:Lapatinib (GW-572016) Ditosylate:s1,observed,0.5231365241696029,0.5751412429378531,0.3890518084066471,0.028090517616123405,0.6269683837890625,0.6,mean_sufficient,0.9913117289543152,0.9903068244457245,1,DART_recommended,False
sciplex3_within_line,A549:BMS-536924:s1,observed,0.36968310855127073,0.6,0.442987752285665,0.02476777358468837,0.603340744972229,0.2,mean_sufficient,0.9894096255302429,0.9882927536964417,1,mean_sufficient,True
sciplex3_within_line,A549:Resveratrol:s1,observed,0.42196306647569837,0.5745762711864406,0.33609338163417857,0.028148412890010747,0.5988514423370361,0.4,mean_sufficient,0.991582065820694,0.9923973977565765,1,DART_recommended,False
sciplex3_within_line,A549:Triamcinolone Acetonide:s1,observed,0.48261350269338066,0.5096045197740113,0.2649071358748778,0.030286595339049267,0.5903621912002563,0.6,mean_sufficient,0.962721973657608,0.9606487154960632,1,DART_recommended,False
sciplex3_within_line,A549:Clevudine:s1,observed,0.3237068758965715,0.5632768361581921,0.30078776378586625,0.02619230843553174,0.598542332649231,0.2,mean_sufficient,0.992675244808197,0.9925023913383484,1,mean_sufficient,True
sciplex3_within_line,A549:Nintedanib (BIBF 1120):s2,observed,0.3845270231939212,0.6039548022598871,0.42539244436777646,0.031824086558565806,0.6016740798950195,0.2,mean_sufficient,0.9855652153491974,0.9839763641357422,2,mean_sufficient,True
