grid_id,seed,A,B,alpha_star,d_M,d_C,actual_alpha,observed_flip,information_condition
a0.50_c0.00_n15_s0.5_L100_Iobserved,0,0.0,4.76837158203125e-07,1.0,balanced_28,maj_specialist_62,0.5,0,observed
a0.50_c0.00_n15_s0.5_L100_Ipredicted_mean,0,0.0,4.76837158203125e-07,1.0,balanced_28,maj_specialist_62,0.5,0,predicted_mean
a0.50_c0.50_n15_s0.5_L20_Iobserved,0,4.499999284744263,4.499999284744263,0.5,maj_specialist_15,min_specialist_0,0.5,0,observed
a0.50_c0.50_n15_s0.5_L20_Iobserved,1,4.500000476837158,4.499999761581421,0.4999999602635712,maj_specialist_15,min_specialist_0,0.5,0,observed
a0.50_c0.50_n15_s0.5_L20_Iobserved,2,4.499999523162842,4.499999761581421,0.5000000132454777,maj_specialist_15,min_specialist_0,0.5,0,observed
a0.50_c0.50_n15_s0.5_L100_Iobserved,0,4.4999988079071045,4.500000238418579,0.5000000794728682,maj_specialist_79,min_specialist_0,0.5,0,observed
a0.50_c0.50_n15_s0.5_L100_Iobserved,1,4.500000238418579,4.499999761581421,0.4999999735090468,maj_specialist_79,min_specialist_0,0.5,0,observed
a0.50_c0.50_n15_s0.5_L100_Iobserved,2,4.499999761581421,4.499999284744263,0.49999997350904396,maj_specialist_79,min_specialist_0,0.5,0,observed
a0.50_c0.50_n15_s0.5_L20_Ipredicted_mean,0,4.499999284744263,4.499999284744263,0.5,maj_specialist_15,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n15_s0.5_L20_Ipredicted_mean,1,4.500000476837158,4.499999761581421,0.4999999602635712,maj_specialist_15,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n15_s0.5_L20_Ipredicted_mean,2,4.499999523162842,4.499999761581421,0.5000000132454777,maj_specialist_15,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n15_s0.5_L100_Ipredicted_mean,0,4.4999988079071045,4.500000238418579,0.5000000794728682,maj_specialist_79,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n15_s0.5_L100_Ipredicted_mean,1,4.500000238418579,4.499999761581421,0.4999999735090468,maj_specialist_79,min_specialist_0,0.5,0,predicted_mean
a0.50_c0.50_n15_s0.5_L100_Ipredicted_mean,2,4.499999761581421,4.499999284744263,0.49999997350904396,maj_specialist_79,min_specialist_0,0.5,0,predicted_mean
