scorer,reference,n_paired,dMRR,dMRR_lo,dMRR_hi,dHit@1,dHit@1_lo,dHit@1_hi,dHit@5,dHit@5_lo,dHit@5_hi,dHit@10,dHit@10_lo,dHit@10_hi,mean_delta_rank,frac_delta_rank_positive,frac_delta_rank_zero
mean_l2,mean_cosine,19960,0.020117291031188967,0.014880325987607215,0.026392471469619056,0.029859719438877757,0.023197101632307506,0.037648782428072645,0.0070140280561122245,0.0030999612693653174,0.012218787057215711,0.003356713426853707,0.000750731981981982,0.007047955103451175,0.131312625250501,0.06523046092184369,0.9098196392785571
energy,mean_cosine,19960,0.030347333106062628,0.022541211663359095,0.039794148020040096,0.044789579158316634,0.03495565049675929,0.05616633252432368,0.012374749498997997,0.006035845868969712,0.020590296857604377,0.005811623246492986,0.0022009632560791373,0.010378068784872864,0.20976953907815632,0.07284569138276553,0.9117735470941883
energy_v_statistic,mean_cosine,19960,0.020709381929045517,0.014756092145201391,0.027947850599898277,0.03221442885771543,0.02462937082700526,0.04084001877183638,0.006012024048096192,0.001656969753029322,0.01184801267155578,0.0016032064128256513,-0.0017583742682239253,0.006080580894311269,0.08837675350701403,0.06743486973947896,0.9056613226452905
mmd,mean_cosine,19960,0.030194018603288336,0.022410845808605043,0.039637808120563486,0.04438877755511022,0.03467400638429964,0.055757659084576236,0.01217434869739479,0.005939913805615254,0.020197032790288543,0.005761523046092184,0.0021922722933644637,0.010457260150132014,0.20901803607214428,0.07294589178356714,0.9115731462925851
sliced_wasserstein,mean_cosine,19960,-0.022987583213897173,-0.03014480263534207,-0.016588102596762144,-0.033066132264529056,-0.04208486123146228,-0.02477493913346723,-0.007915831663326654,-0.013145950544146825,-0.0034921209075092262,-0.003256513026052104,-0.007760434815695981,0.0007994195500969577,-0.15325651302605212,0.053557114228456916,0.8558617234468938
mean_cosine,mean_l2,19960,-0.020117291031188967,-0.02639247146961906,-0.014880325987607216,-0.029859719438877757,-0.03764878242807265,-0.023197101632307506,-0.0070140280561122245,-0.012218787057215713,-0.0030999612693653174,-0.003356713426853707,-0.007047955103451187,-0.0007507319819819821,-0.131312625250501,0.024949899799599197,0.9098196392785571
energy,mean_l2,19960,0.01023004207487366,0.006524454039994457,0.014484797448303338,0.014929859719438878,0.00997723543409402,0.020693729412472342,0.005360721442885771,0.002341745404275677,0.00894439941873396,0.0024549098196392787,0.0009511533255609753,0.004333422947343645,0.07845691382765531,0.033767535070140284,0.9576653306613226
energy_v_statistic,mean_l2,19960,0.0005920908978565503,-0.0018512202293949126,0.002840539077267396,0.0023547094188376754,-0.00035466525115603623,0.0049781607765057205,-0.001002004008016032,-0.0031266153322413066,0.00099601593625498,-0.0017535070140280561,-0.004095736230765672,0.00019980894761980573,-0.042935871743486974,0.021092184368737475,0.961372745490982
mmd,mean_l2,19960,0.010076727572099368,0.006451004936686545,0.014348453184200064,0.014529058116232466,0.009677742132728123,0.020192153035734954,0.005160320641282565,0.0022454250691442226,0.008621396269348321,0.002404809619238477,0.0009448413527151926,0.004276783382169264,0.07770541082164328,0.03361723446893788,0.957565130260521
sliced_wasserstein,mean_l2,19960,-0.04310487424508614,-0.05087251962024855,-0.03588521450908758,-0.06292585170340681,-0.07212349377007359,-0.05423956484511711,-0.014929859719438878,-0.020949362474095685,-0.009556874661040245,-0.006613226452905812,-0.011015267956722273,-0.0028884282387502515,-0.2845691382765531,0.016633266533066134,0.8824148296593186
