phase,predictor,population,reference,n,delta_rank,delta_rank_lo,delta_rank_hi,flip@1,flip@1_lo,flip@1_hi,corrected_flip@1,corrected_flip@1_lo,corrected_flip@1_hi,reverse_flip@1,reverse_flip@1_lo,reverse_flip@1_hi,d_reciprocal_rank,d_reciprocal_rank_lo,d_reciprocal_rank_hi,frac_delta_rank_positive,frac_delta_rank_negative
oracle,oracle,energy,mean_cosine,19960,0.20976953907815632,0.11480544870713409,0.3333504446350671,0.08316633266533066,0.06221677995043968,0.1069748184041288,0.055561122244488975,0.0436858183138892,0.06913275727373878,0.010771543086172345,0.00812310964851975,0.013707012121580752,0.030347333106062628,0.022541211663359095,0.039794148020040096,0.07284569138276553,0.015380761523046092
predicted,average_effect,energy,mean_cosine,19960,-0.9793086172344689,-1.87162481055889,-0.32526731963209293,0.156563126252505,0.10883516919526103,0.20872579026192753,0.03316633266533066,0.024238305458603428,0.042990811406913736,0.0748496993987976,0.04742186905952976,0.10643469958527205,-0.03559416429925221,-0.062017458597852015,-0.011528420358814418,0.07580160320641283,0.1217935871743487
predicted,linear_latent,energy,mean_cosine,19960,-0.9798597194388777,-1.8799115615602604,-0.31708420563679235,0.1653306613226453,0.11698733571307207,0.2180360094688079,0.03692384769539078,0.028205292779917353,0.046197299554734124,0.07575150300601202,0.049287102967675196,0.10638678051865906,-0.03414651943170226,-0.06014012683875401,-0.010042008452043253,0.08491983967935872,0.12625250501002003
predicted,nearest_context,energy,mean_cosine,19960,-12.457765531062124,-15.040725236263613,-9.78473996789364,0.6671342685370741,0.612679032838589,0.7174246215448304,0.03892785571142285,0.03181900397348688,0.046371271453161236,0.35816633266533066,0.32377065559127177,0.39329655450076945,-0.3159370666307046,-0.3544072241231933,-0.27538164084685957,0.10160320641282565,0.6068637274549098
predicted,nearest_context_cells,energy,mean_cosine,19960,-12.500475951903807,-14.817527406735238,-10.15766893017742,0.6899799599198396,0.6484930677910495,0.7277205447731326,0.03336673346693387,0.026260235345052684,0.041714381906941676,0.3746993987975952,0.34310998144404914,0.4071186207214149,-0.3398513524968185,-0.37364994407532637,-0.3027080465989949,0.0905811623246493,0.6658817635270541
predicted,ot_map,energy,mean_cosine,19960,-0.4094689378757515,-1.4276855055152944,0.39136701718517514,0.33947895791583166,0.29350781015871824,0.3866077428393524,0.08932865731462926,0.08051020183376525,0.09870042730117573,0.08642284569138277,0.06748153066467266,0.10826757744718667,0.002717315780446049,-0.021516225400175944,0.024320831356380176,0.2680360721442886,0.1905310621242485
oracle,oracle,energy,mean_l2,19960,0.07845691382765531,0.03889392623310637,0.12590463940514865,0.032364729458917836,0.021439057134776743,0.04455202236853352,0.019839679358717433,0.013651993040749565,0.02680179228636248,0.004909819639278557,0.0034168073022261317,0.006628294624011344,0.010230042074873658,0.006524454039994457,0.01448479744830334,0.033767535070140284,0.008567134268537073
predicted,average_effect,energy,mean_l2,19960,-0.07670340681362725,-0.14946593632253202,-0.019209371268859275,0.018937875751503006,0.013093371500609925,0.025696755446992264,0.004959919839679358,0.003681947013905059,0.006386844195594218,0.006813627254509018,0.004789104902705519,0.008958471169818245,-0.002049016307684214,-0.003593266015525359,-0.0005306724762306501,0.020591182364729458,0.048046092184368734
predicted,linear_latent,energy,mean_l2,19960,-0.0784318637274549,-0.15229865278174945,-0.018568088973005572,0.021392785571142284,0.015445752794011234,0.02778785780187399,0.005711422845691383,0.004364156238467094,0.00709822544363909,0.006813627254509018,0.004825344000717134,0.008992897513187641,-0.0015522623257700108,-0.003337696596165024,7.724494782181228e-05,0.02414829659318637,0.05060120240480962
predicted,nearest_context,energy,mean_l2,19960,-0.20172845691382765,-0.25522353374147555,-0.14747798119758135,0.0312625250501002,0.026966053311080578,0.035845798658688505,0.0028056112224448897,0.0018035170340681363,0.0038995149479397265,0.006262525050100201,0.004644737192653498,0.008103006465875886,-0.0031907975368642362,-0.0044722224215322,-0.0020282909644447305,0.052304609218436875,0.16112224448897797
predicted,nearest_context_cells,energy,mean_l2,19960,-0.4093436873747495,-1.0089644881395394,0.1361044095414285,0.38336673346693384,0.3326325491873019,0.4361212668376821,0.040480961923847696,0.032321741305979486,0.04863582465146459,0.07750501002004008,0.059665729181720153,0.09690331636728824,-0.03210759353431749,-0.05005219891805406,-0.015075219263992393,0.3159318637274549,0.35796593186372744
predicted,ot_map,energy,mean_l2,19960,0.09914829659318637,0.052421071544423554,0.14463417027860356,0.07645290581162324,0.06811471889711558,0.08492972753463437,0.02600200400801603,0.023226740966582955,0.028872709013306554,0.01217434869739479,0.01015411622580259,0.014120049211487427,0.011041508425055902,0.00866584810427457,0.013415811556310862,0.13642284569138277,0.08026052104208417
