cell_line,drug,RR_ref_oracle_vs_cos,RR_pop_oracle_vs_cos,G_oracle_vs_cos
A-172,4EGI-1,1.0,1.0,0.0
A-172,9-ING-41,1.0,1.0,0.0
A-172,APTO-253,1.0,1.0,0.0
A-172,AT7519,1.0,1.0,0.0
A-172,AZD-7648,1.0,1.0,0.0
A-172,AZD-8055,1.0,1.0,0.0
A-172,AZD1390,1.0,1.0,0.0
A-172,AZD2858,1.0,1.0,0.0
A-172,Abemaciclib,1.0,1.0,0.0
A-172,Adagrasib,1.0,1.0,0.0
A-172,Afatinib,1.0,1.0,0.0
A-172,Alpelisib,1.0,1.0,0.0
A-172,Anastrozole,0.8,0.9,0.1
A-172,BAY1125976,1.0,1.0,0.0
A-172,BI-3406,1.0,1.0,0.0
A-172,BI-78D3,0.9,1.0,0.1
A-172,Belumosudil (mesylate),1.0,1.0,0.0
A-172,Belzutifan,1.0,1.0,0.0
A-172,Bentamapimod,1.0,1.0,0.0
A-172,Bimiralisib,1.0,1.0,0.0
A-172,Binimetinib,1.0,1.0,0.0
A-172,Bortezomib,1.0,1.0,0.0
A-172,Brivudine,1.0,1.0,0.0
A-172,CP21R7,0.9,1.0,0.1
A-172,Capivasertib,1.0,1.0,0.0
A-172,Capmatinib,1.0,1.0,0.0
A-172,Celecoxib,1.0,1.0,0.0
A-172,DT-061,1.0,1.0,0.0
A-172,DTP3,1.0,1.0,0.0
A-172,Dabrafenib,1.0,1.0,0.0
A-172,ERK5-IN-2,1.0,1.0,0.0
A-172,ETC-206,0.9,1.0,0.1
A-172,EX229,1.0,1.0,0.0
A-172,Elimusertib hydrochloride,1.0,1.0,0.0
A-172,Encorafenib,1.0,1.0,0.0
A-172,Erdafitinib ,1.0,1.0,0.0
A-172,Everolimus,1.0,1.0,0.0
A-172,Futibatinib,1.0,1.0,0.0
A-172,GSK1059615,1.0,1.0,0.0
A-172,Gemcitabine,0.9,1.0,0.1
A-172,HI-TOPK-032,1.0,1.0,0.0
A-172,Hydroxyfasudil,1.0,1.0,0.0
