scorer,reference,n_paired,dMRR,dMRR_lo,dMRR_hi,dHit@1,dHit@1_lo,dHit@1_hi,dHit@5,dHit@5_lo,dHit@5_hi,dHit@10,dHit@10_lo,dHit@10_hi,mean_delta_rank,frac_delta_rank_positive,frac_delta_rank_zero,predictor
mean_l2,mean_cosine,19960,-0.033545147991568006,-0.058805525443159416,-0.010503196350264966,-0.03982965931863727,-0.06825939746167378,-0.013868820407140312,-0.02755511022044088,-0.053127098753304375,-0.007249491346553797,-0.02309619238476954,-0.045049274978669104,-0.006228348673142362,-0.9026052104208416,0.0748496993987976,0.806813627254509,average_effect
energy,mean_cosine,19960,-0.03559416429925222,-0.062017458597852015,-0.011528420358814422,-0.04168336673346693,-0.07106255951675461,-0.014706106467105315,-0.030410821643286574,-0.05683375504204359,-0.008516793844421793,-0.024749498997995993,-0.04752665666418474,-0.0071618395324028385,-0.9793086172344689,0.07580160320641283,0.8024048096192384,average_effect
energy_v_statistic,mean_cosine,19960,-0.03559416429925222,-0.062017458597852015,-0.011528420358814422,-0.04168336673346693,-0.07106255951675461,-0.014706106467105315,-0.030410821643286574,-0.05683375504204359,-0.008516793844421793,-0.024749498997995993,-0.04752665666418474,-0.0071618395324028385,-0.9793086172344689,0.07580160320641283,0.8024048096192384,average_effect
mmd,mean_cosine,19960,-0.03574011659684291,-0.06211492252503643,-0.01162253042126067,-0.041783567134268534,-0.07093607252135213,-0.015066025552914298,-0.031012024048096193,-0.05779957955412307,-0.008682526468260487,-0.025100200400801603,-0.0479395674167829,-0.007144104236846196,-0.987875751503006,0.07560120240480962,0.80250501002004,average_effect
sliced_wasserstein,mean_cosine,19960,-0.1581438512107815,-0.1859198535367681,-0.13140831487566645,-0.2061122244488978,-0.23475245080860302,-0.17833072629800983,-0.0967434869739479,-0.12850130414502298,-0.06913133464752926,-0.062875751503006,-0.09337383608132682,-0.03899298526274356,-2.286523046092184,0.05911823647294589,0.6194889779559118,average_effect
mean_cosine,mean_l2,19960,0.033545147991568006,0.01050319635026496,0.05880552544315939,0.03982965931863727,0.0138688204071403,0.06825939746167378,0.02755511022044088,0.007249491346553785,0.053127098753304354,0.02309619238476954,0.006228348673142355,0.0450492749786691,0.9026052104208416,0.11833667334669339,0.806813627254509,average_effect
energy,mean_l2,19960,-0.0020490163076842143,-0.0035932660155253583,-0.00053067247623065,-0.0018537074148296593,-0.0034518339184618605,-0.00019793604113311472,-0.0028557114228456915,-0.005446568699025089,-0.000796251379311685,-0.001653306613226453,-0.002807017543859649,-0.0006486985495210626,-0.07670340681362725,0.020591182364729458,0.9313627254509018,average_effect
energy_v_statistic,mean_l2,19960,-0.0020490163076842143,-0.0035932660155253583,-0.00053067247623065,-0.0018537074148296593,-0.0034518339184618605,-0.00019793604113311472,-0.0028557114228456915,-0.005446568699025089,-0.000796251379311685,-0.001653306613226453,-0.002807017543859649,-0.0006486985495210626,-0.07670340681362725,0.020591182364729458,0.9313627254509018,average_effect
mmd,mean_l2,19960,-0.002194968605274902,-0.003820487080463729,-0.0006832817456779395,-0.0019539078156312626,-0.0035186206722837244,-0.0003010067772731864,-0.0034569138276553104,-0.006476066325603924,-0.000995391037454565,-0.002004008016032064,-0.0034060885707248786,-0.0007981841504509199,-0.08527054108216432,0.02094188376753507,0.9299599198396794,average_effect
sliced_wasserstein,mean_l2,19960,-0.12459870321921349,-0.13779428158969273,-0.11197652647882421,-0.16628256513026052,-0.18194326178145537,-0.15031364608073394,-0.06918837675350702,-0.08381205673758865,-0.055715745304349244,-0.039779559118236475,-0.05201595607289124,-0.02898463910405791,-1.3839178356713426,0.06808617234468937,0.6255511022044088,average_effect
mean_l2,mean_cosine,19960,-0.008324192644609853,-0.032033170173092165,0.01297709548514203,-0.01092184368737475,-0.03539340866097951,0.012109029877175449,-0.004659318637274549,-0.03131808702447416,0.01981523323263604,-0.006713426853707414,-0.03020418398592157,0.0146146667631729,-0.5086172344689379,0.25400801603206413,0.5475450901803607,ot_map
energy,mean_cosine,19960,0.0027173157804460456,-0.02151622540017595,0.024320831356380176,0.002905811623246493,-0.022090587632130523,0.02648393912564607,0.00375751503006012,-0.022939172528882404,0.027981483207868172,-0.0037074148296593187,-0.02713819914722849,0.01769556999587959,-0.4094689378757515,0.2680360721442886,0.5414328657314629,ot_map
energy_v_statistic,mean_cosine,19960,0.003512530611457095,-0.020322626071604056,0.024706490329022873,0.00375751503006012,-0.021193559658046725,0.027538376761888566,0.003907815631262525,-0.02207554790908968,0.028014813554892704,-0.0029559118236472948,-0.025498031673687097,0.017927893408761542,-0.3872745490981964,0.27054108216432865,0.540380761523046,ot_map
mmd,mean_cosine,19960,0.003066073304850563,-0.02122400518129516,0.02454057497722845,0.0032064128256513026,-0.022105139115937384,0.02699832807061832,0.0035571142284569137,-0.022649926922856476,0.02784411937746699,-0.0038577154308617233,-0.027314801351478953,0.017593994973614625,-0.40811623246492984,0.26908817635270543,0.5403306613226453,ot_map
sliced_wasserstein,mean_cosine,19960,-0.12613824718249347,-0.14728493617512284,-0.10756052512785737,-0.14478957915831664,-0.16776423429370538,-0.12396541291513169,-0.106312625250501,-0.130981625926705,-0.08260569990323832,-0.07039078156312625,-0.09425700360668185,-0.04884951942418909,-2.5306613226452908,0.20866733466933868,0.3658316633266533,ot_map
mean_cosine,mean_l2,19960,0.008324192644609853,-0.012977095485142044,0.032033170173092165,0.01092184368737475,-0.012109029877175473,0.0353934086609795,0.004659318637274549,-0.019815233232636044,0.031318087024474146,0.006713426853707414,-0.014614666763172914,0.030204183985921555,0.5086172344689379,0.19844689378757516,0.5475450901803607,ot_map
energy,mean_l2,19960,0.011041508425055902,0.00866584810427457,0.013415811556310863,0.013827655310621242,0.010518238701749104,0.017339172451741908,0.008416833667334669,0.005917679102470318,0.010750134442221108,0.003006012024048096,0.0006008451439943652,0.005508435001461831,0.09914829659318637,0.13642284569138277,0.7833166332665331,ot_map
energy_v_statistic,mean_l2,19960,0.011836723256066951,0.009488310264690812,0.01415073508717032,0.01467935871743487,0.011328249840336245,0.018159245588703826,0.008567134268537073,0.006199845154845155,0.010933502459329938,0.00375751503006012,0.0016932806964038963,0.006116897968032606,0.12134268537074148,0.13947895791583168,0.7844188376753507,ot_map
mmd,mean_l2,19960,0.011390265949460415,0.009071321464218735,0.01369850082402639,0.014128256513026053,0.010796560580692316,0.0177111063464837,0.008216432865731463,0.005799782825761358,0.010510912629381237,0.0028557114228456915,0.0005497011409486078,0.0052763819095477385,0.10050100200400802,0.1406312625250501,0.7771042084168337,ot_map
sliced_wasserstein,mean_l2,19960,-0.11781405453788361,-0.1331238823696622,-0.10355235627188264,-0.13386773547094188,-0.15452097961011432,-0.1143856341207131,-0.10165330661322645,-0.11524584378134403,-0.08855249122245791,-0.06367735470941883,-0.07416311693399531,-0.053396190064317256,-2.0220440881763526,0.17289579158316634,0.3877755511022044,ot_map
mean_l2,mean_cosine,19960,-0.029520311378537396,-0.055324599084250733,-0.007132972760654265,-0.03502004008016032,-0.06389945143562269,-0.009147134336223162,-0.023947895791583167,-0.04941062722341595,-0.003648723735270122,-0.02124248496993988,-0.04305261848512314,-0.004909918963014168,-0.7976452905811623,0.07670340681362725,0.8129258517034068,state_conditioned_average_effect
energy,mean_cosine,19960,-0.03143506352285737,-0.058438715620256015,-0.007588121077856324,-0.036773547094188376,-0.06675126254705145,-0.009914327115980994,-0.02555110220440882,-0.05189658997352014,-0.0041465522923227706,-0.022595190380761524,-0.046089050680129764,-0.005253645363828165,-0.8609719438877755,0.0782064128256513,0.8079158316633267,state_conditioned_average_effect
energy_v_statistic,mean_cosine,19960,-0.031323585607779016,-0.058383065736771024,-0.007571944861016774,-0.03662324649298597,-0.06670139125403411,-0.009718467900754748,-0.025400801603206413,-0.05169460909444901,-0.0039567021523047655,-0.022645290581162325,-0.046139329353650116,-0.005253645363828165,-0.86062124248497,0.07835671342685371,0.8077655310621242,state_conditioned_average_effect
mmd,mean_cosine,19960,-0.0318908179251037,-0.05906680471572253,-0.00788920881128916,-0.037374749498997994,-0.0674019314328188,-0.010516133564294323,-0.02560120240480962,-0.05180319729594392,-0.004157869303677649,-0.022845691382765532,-0.046240544700523946,-0.005397166618887262,-0.8710420841683367,0.0781062124248497,0.8074148296593187,state_conditioned_average_effect
sliced_wasserstein,mean_cosine,19960,-0.15607699022951002,-0.18540257688380962,-0.1296789301386207,-0.2033066132264529,-0.2327809748427673,-0.17566609718499315,-0.09509018036072145,-0.12704120495485316,-0.06730655255179384,-0.06092184368737475,-0.0906141277818456,-0.03766530241580533,-2.2095190380761522,0.061322645290581165,0.6187374749498998,state_conditioned_average_effect
mean_cosine,mean_l2,19960,0.029520311378537396,0.007132972760654261,0.0553245990842507,0.03502004008016032,0.00914713433622311,0.06389945143562267,0.023947895791583167,0.00364872373527012,0.04941062722341595,0.02124248496993988,0.0049099189630141616,0.04305261848512313,0.7976452905811623,0.11037074148296593,0.8129258517034068,state_conditioned_average_effect
energy,mean_l2,19960,-0.001914752144319973,-0.0037397460114591543,-0.0002480798712525635,-0.0017535070140280561,-0.0037131354212104175,0.00015019715673450027,-0.0016032064128256513,-0.0036092492537877358,0.0001516470543682951,-0.0013527054108216433,-0.00290741419092684,-0.00014961848738035452,-0.06332665330661323,0.022545090180360723,0.9330160320641283,state_conditioned_average_effect
energy_v_statistic,mean_l2,19960,-0.0018032742292416267,-0.0035465597557824873,-0.0001542761202162028,-0.0016032064128256513,-0.0035132847424071425,0.0002520466459729989,-0.0014529058116232465,-0.003375613486385505,0.0002992556035062045,-0.0014028056112224449,-0.0029656625188631863,-0.00014973515798723805,-0.06297595190380761,0.022795591182364728,0.9328657314629258,state_conditioned_average_effect
mmd,mean_l2,19960,-0.002370506546566304,-0.004260691692299843,-0.0006286030694422048,-0.0023547094188376754,-0.0042954095260439975,-0.0003513858212715627,-0.001653306613226453,-0.003771924892812269,0.00019960827969248902,-0.0016032064128256513,-0.0032552712716874053,-0.0001999987503124219,-0.07339679358717435,0.022845691382765532,0.9302104208416834,state_conditioned_average_effect
sliced_wasserstein,mean_l2,19960,-0.1265566788509726,-0.14019305102781496,-0.11338188954966938,-0.16828657314629258,-0.184814541908746,-0.15190361761447044,-0.07114228456913828,-0.08625364155441545,-0.05710509893095946,-0.039679358717434866,-0.05151900915808792,-0.0290157002823134,-1.41187374749499,0.06653306613226453,0.6254008016032064,state_conditioned_average_effect
