exp,key,scorer,recomputed,findings,abs_diff,pass
exp01,K562,mean_cosine,0.11,0.11,0.0,True
exp01,K562,global_energy,0.76,0.76,0.0,True
exp01,K562,coverage_mean,0.84,0.84,0.0,True
exp01,K562,coverage_worst,0.63,0.63,0.0,True
exp01,A549,mean_cosine,0.36,0.36,0.0,True
exp01,A549,global_energy,0.97,0.97,0.0,True
exp01,A549,coverage_mean,0.87,0.87,0.0,True
exp01,A549,coverage_worst,0.68,0.68,0.0,True
exp01,MCF7,mean_cosine,0.34,0.34,0.0,True
exp01,MCF7,global_energy,0.95,0.95,0.0,True
exp01,MCF7,coverage_mean,0.86,0.86,0.0,True
exp01,MCF7,coverage_worst,0.65,0.65,0.0,True
exp03,K562+A549,mean_cosine,0.507,0.51,0.003,True
exp03,K562+A549,global_energy,0.913,0.91,0.003,True
exp03,K562+A549,coverage_mean,0.847,0.85,0.003,True
exp03,K562+A549,coverage_worst,0.677,0.68,0.003,True
exp03,A549+MCF7,mean_cosine,0.529,0.53,0.001,True
exp03,A549+MCF7,global_energy,0.961,0.96,0.001,True
exp03,A549+MCF7,coverage_mean,0.868,0.87,0.002,True
exp03,A549+MCF7,coverage_worst,0.668,0.67,0.002,True
exp03,K562+MCF7,mean_cosine,0.299,0.3,0.001,True
exp03,K562+MCF7,global_energy,0.896,0.9,0.004,True
exp03,K562+MCF7,coverage_mean,0.853,0.85,0.003,True
exp03,K562+MCF7,coverage_worst,0.645,0.65,0.005,True
exp04,self-retrieval,mean_cosine,0.514,0.53,0.016,True
exp04,self-retrieval,global_energy,0.344,0.38,0.036,True
exp04,self-retrieval,coverage_mean,0.351,0.37,0.019,True
exp04,self-retrieval,coverage_worst,0.201,0.2,0.001,True
exp05,IFNGR1/Control+IFNγ,mean_cosine,0.2,0.2,0.0,True
exp05,IFNGR1/Control+IFNγ,global_energy,0.8,0.8,0.0,True
exp05,IFNGR1/Control+Co-culture,mean_cosine,0.1,0.1,0.0,True
exp05,IFNGR1/Control+Co-culture,global_energy,0.65,0.65,0.0,True
exp05,IFNGR1/IFNγ+Co-culture,mean_cosine,0.95,0.95,0.0,True
exp05,IFNGR1/IFNγ+Co-culture,global_energy,0.95,0.95,0.0,True
exp06,degenerate_limits,props,1.0,1.0,0.0,True
