split_type,cell_line,heldout_drug,observed_library_fraction,information_condition_mode,seed
leave_drug_out,A549,(+)-JQ1,1.0,observed,0
leave_drug_out,A549,A-366,1.0,observed,0
leave_drug_out,A549,AC480 (BMS-599626),1.0,observed,0
leave_drug_out,A549,AC480 (BMS-599626),1.0,observed,1
leave_drug_out,A549,AG-14361,1.0,observed,0
leave_drug_out,A549,AG-14361,1.0,observed,1
leave_drug_out,A549,AG-14361,1.0,observed,3
leave_drug_out,A549,AG-490 (Tyrphostin B42),1.0,observed,0
leave_drug_out,A549,AG-490 (Tyrphostin B42),1.0,observed,3
leave_drug_out,A549,AICAR (Acadesine),1.0,observed,2
leave_drug_out,A549,AR-42,1.0,observed,2
leave_drug_out,A549,AT9283,1.0,observed,4
leave_drug_out,A549,AZ 960,1.0,observed,0
leave_drug_out,A549,AZD1480,1.0,observed,3
leave_drug_out,A549,AZD1480,1.0,observed,4
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,observed,0
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,observed,1
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,observed,2
leave_drug_out,A549,Alendronate sodium trihydrate,1.0,observed,3
leave_drug_out,A549,Altretamine,1.0,observed,0
leave_drug_out,A549,Altretamine,1.0,observed,2
leave_drug_out,A549,Amisulpride,1.0,observed,3
leave_drug_out,A549,Andarine,1.0,observed,1
leave_drug_out,A549,Aurora A Inhibitor I,1.0,observed,1
leave_drug_out,A549,Azacitidine,1.0,observed,1
leave_drug_out,A549,Azacitidine,1.0,observed,4
leave_drug_out,A549,BMS-265246,1.0,observed,2
leave_drug_out,A549,BMS-536924,1.0,observed,3
leave_drug_out,A549,BMS-754807,1.0,observed,0
leave_drug_out,A549,BMS-754807,1.0,observed,3
leave_drug_out,A549,BMS-911543,1.0,observed,4
leave_drug_out,A549,Barasertib (AZD1152-HQPA),1.0,observed,2
leave_drug_out,A549,Barasertib (AZD1152-HQPA),1.0,observed,3
leave_drug_out,A549,"Baricitinib (LY3009104, INCB028050)",1.0,observed,0
leave_drug_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,observed,2
leave_drug_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,observed,4
leave_drug_out,A549,Busulfan,1.0,observed,2
leave_drug_out,A549,Busulfan,1.0,observed,3
leave_drug_out,A549,CEP-33779,1.0,observed,4
leave_drug_out,A549,CUDC-101,1.0,observed,1
leave_drug_out,A549,CYC116,1.0,observed,1
leave_drug_out,A549,CYC116,1.0,observed,2
leave_drug_out,A549,Carmofur,1.0,observed,0
leave_drug_out,A549,Carmofur,1.0,observed,1
leave_drug_out,A549,Celecoxib,1.0,observed,1
leave_drug_out,A549,Celecoxib,1.0,observed,3
leave_drug_out,A549,"Cerdulatinib (PRT062070, PRT2070)",1.0,observed,2
