split_type,cell_line,heldout_drug,heldout_MoA,observed_library_fraction,seed,method,reference,n_candidates,top1,top1_is_mean_top1,decision_regret,population_minus_mean_regret_reduction,minority_state_coverage,population_minus_mean_minority_coverage,moa_ndcg,population_minus_mean_moa_ndcg,target_mrr,batch_coverage,candidate_assignment_changed_fraction,raw_vs_referenced_top1_changed,batch_coverage_minus_mean
leave_drug_out,A549,Selisistat (EX 527),Epigenetics,1.0,0,DART_coverage_mean,raw_normalized_expression,187,PF-573228,0,0.1809597015380859,0.2949638366699219,0.9876950122651242,0.0026203410488296885,0.0947883643695507,0.0947883643695507,0.0555555555555555,,1.0,1,
leave_drug_out,A549,Selisistat (EX 527),Epigenetics,1.0,0,DART_coverage_mean,matched_control_referenced,187,Andarine,0,0.15592193603515625,0.32000160217285156,0.9900601506233215,0.0049854794070269826,0.24655055544758614,0.24655055544758614,0.04,,1.0,1,
leave_drug_out,A549,Selisistat (EX 527),Epigenetics,1.0,0,DART_coverage_worst,raw_normalized_expression,187,PF-573228,0,0.1809597015380859,0.2949638366699219,0.9876950122651242,0.0026203410488296885,0.158507039740981,0.158507039740981,0.0384615384615384,,1.0,1,
leave_drug_out,A549,Selisistat (EX 527),Epigenetics,1.0,0,DART_coverage_worst,matched_control_referenced,187,Andarine,0,0.15592193603515625,0.32000160217285156,0.9900601506233215,0.0049854794070269826,0.1884441521277154,0.1884441521277154,0.038461538461538464,,1.0,1,
leave_drug_out,A549,KW-2449,Angiogenesis,1.0,0,DART_coverage_mean,raw_normalized_expression,187,MK-5108 (VX-689),0,0.2484893798828125,0.2548065185546875,0.9799482145080576,0.0018062564057920172,0.0,0.0,0.1428571428571428,,1.0,0,
leave_drug_out,A549,KW-2449,Angiogenesis,1.0,0,DART_coverage_mean,matched_control_referenced,187,MK-5108 (VX-689),0,0.2484893798828125,0.2548065185546875,0.9799482822418213,0.0018063241395557261,0.06625422345438903,0.06625422345438903,0.07142857142857142,,1.0,0,
leave_drug_out,A549,KW-2449,Angiogenesis,1.0,0,DART_coverage_worst,raw_normalized_expression,187,SNS-314,1,0.5032958984375,0.0,0.9781419581022656,0.0,0.0,0.0,0.0476190476190476,,1.0,1,
leave_drug_out,A549,KW-2449,Angiogenesis,1.0,0,DART_coverage_worst,matched_control_referenced,187,MK-5108 (VX-689),0,0.2484893798828125,0.2548065185546875,0.9799482822418213,0.0018063241395557261,0.0,0.0,0.06666666666666667,,1.0,1,
leave_drug_out,A549,Lenalidomide (CC-5013),Apoptosis,1.0,0,DART_coverage_mean,raw_normalized_expression,187,Tie2 kinase inhibitor,0,0.0804080963134765,0.012657165527343806,0.9881746833987786,0.001055146542277341,0.0,0.0,-1.0,,1.0,1,
leave_drug_out,A549,Lenalidomide (CC-5013),Apoptosis,1.0,0,DART_coverage_mean,matched_control_referenced,187,Disulfiram,0,0.08423995971679688,0.008825302124023424,0.9874099493026733,0.0002904124461721169,0.0,0.0,,,1.0,1,
