split_type,cell_line,method,assignment_changed_fraction_matched_control_referenced,assignment_changed_fraction_raw_normalized_expression,mean_batch_coverage_gain_matched_control_referenced,mean_batch_coverage_gain_raw_normalized_expression,mean_minority_gain_matched_control_referenced,mean_minority_gain_raw_normalized_expression,mean_moa_gain_matched_control_referenced,mean_moa_gain_raw_normalized_expression,mean_regret_reduction_matched_control_referenced,mean_regret_reduction_raw_normalized_expression,median_minority_gain_matched_control_referenced,median_minority_gain_raw_normalized_expression,median_moa_gain_matched_control_referenced,median_moa_gain_raw_normalized_expression,median_regret_reduction_matched_control_referenced,median_regret_reduction_raw_normalized_expression,top1_mean_agreement_matched_control_referenced,top1_mean_agreement_raw_normalized_expression
leave_MoA_out,A549,DART_coverage_mean,1.0,1.0,,,-0.000673294320383705,-0.006320909575412023,,,0.1526374340057373,0.07332649230957033,2.47661364194407e-08,0.0,,,0.06497383117675778,0.00257778167724605,0.075,0.075
leave_MoA_out,A549,DART_coverage_worst,1.0,1.0,,,0.00011133451791699999,-0.006132269645622787,,,0.2045057773590088,0.0831995487213135,6.402782025127784e-05,-3.480390243337794e-05,,,0.07843780517578125,0.005936622619628898,0.05,0.075
leave_MoA_out,K562,DART_coverage_mean,1.0,1.0,,,0.0042435328028226724,0.0010608244737318278,,,0.252259349822998,0.21431441307067872,0.0005391399174756728,5.9152635104198215e-05,,,0.047861099243164035,0.045215606689453146,0.075,0.025
leave_MoA_out,K562,DART_coverage_worst,1.0,1.0,,,0.0038544709346319066,0.0031933669244527283,,,0.2207072257995605,0.2074575901031494,0.00048350033371102885,0.00026535885544398674,,,0.030561447143554653,0.05812931060791014,0.05,0.05
leave_MoA_out,MCF7,DART_coverage_mean,1.0,1.0,,,0.010302085298167054,0.0023648968469233865,,,0.11797955036163328,0.1494726896286011,0.001953028366911691,4.3353088193975875e-05,,,0.015250205993652344,0.08752346038818365,0.125,0.15
leave_MoA_out,MCF7,DART_coverage_worst,1.0,1.0,,,0.010790326315031832,0.002622532949053888,,,0.10676488876342771,0.12526705265045168,0.0034370337402185314,2.2580702720209622e-05,,,0.059165477752685526,0.03773450851440431,0.125,0.125
leave_drug_out,A549,DART_coverage_mean,1.0,1.0,,,0.005199810653950505,0.0008145061759887684,-0.03502069353876931,-0.052159858115800685,0.24306751251220698,0.12805169105529784,0.0009393144177534118,0.0,0.0,0.0,0.060952186584472656,0.021592140197753892,0.155,0.085
leave_drug_out,A549,DART_coverage_worst,1.0,1.0,,,0.005256317496325307,0.0016361833217742566,-0.03369683415246654,-0.03884221868298035,0.24592879295349118,0.15508709907531737,0.000918607512912617,0.0,0.0,0.0,0.07084274291992182,0.012689590454101549,0.15,0.1
leave_drug_out,K562,DART_coverage_mean,1.0,1.0,,,0.004108099622190359,0.00253978546879243,-0.0011895651912626028,-0.037438552725915696,0.2513041114807129,0.13514883995056154,0.0015523561568406286,0.0007948245477662486,0.0,0.0,0.1512832641601562,0.10182762145996094,0.105,0.02
leave_drug_out,K562,DART_coverage_worst,1.0,1.0,,,0.003979025465906026,0.003183196987135885,-0.011700449194780825,-0.02450600228161519,0.23059820175170898,0.1548266410827637,0.001295954032503932,0.0009379252925656445,0.0,0.0,0.13663864135742188,0.0661888122558594,0.1,0.045
leave_drug_out,MCF7,DART_coverage_mean,0.9999465240641712,0.9999465240641712,,,0.0058753290229029646,0.0008746819729604449,0.0017761275609652254,-0.010523062516639895,0.1545629262924194,0.07345580101013184,0.0011520821655773839,0.001055520814075006,0.0,0.0,0.02898645401000969,0.014667510986328135,0.15,0.075
leave_drug_out,MCF7,DART_coverage_worst,0.9999465240641712,0.9999465240641712,,,0.0049116494708247175,0.0011034849574183036,-0.00157394852362849,-0.008221419638923652,0.1640566253662109,0.09417432785034181,0.0011395398883427,0.0012145798411706266,0.0,0.0,0.03783702850341795,0.022404670715332,0.175,0.08
partial_library,A549,DART_coverage_mean,1.0,1.0,0.0022387929957099705,0.0013899874487924772,0.01807207752769153,0.016592013620533568,,,0.09690907796223955,0.0352214813232422,0.005449387416359253,0.0044628570220391905,,,0.0824508666992187,0.0338573455810547,0.0,0.0
partial_library,A549,DART_coverage_worst,1.0,1.0,0.0021845895251619766,0.0016043785054936346,0.01809895803039233,0.016811158414621597,,,0.08824246724446612,0.039107004801432296,0.005528132078830961,0.0044628570220391905,,,0.05878257751464841,0.05790710449218749,0.0,0.0
partial_library,K562,DART_coverage_mean,1.0,1.0,0.0027937864973407224,0.0025101015622985686,0.020327471862528954,0.020270851683387825,,,0.12363408406575518,0.10948689778645833,0.010651505382651694,0.010647361272076217,,,0.13810157775878906,0.149374008178711,0.0,0.0
partial_library,K562,DART_coverage_worst,1.0,1.0,0.00275034861904991,0.0026100255709172885,0.020206015875234438,0.020173457719050984,,,0.1046571095784505,0.10574150085449219,0.010712123306388266,0.010949834937559966,,,0.12260246276855469,0.07554817199707031,0.0,0.0
partial_library,MCF7,DART_coverage_mean,1.0,1.0,0.005906549173108703,0.005184371846552997,0.02417438221961737,0.02183885581000044,,,0.14373874664306638,0.0889727274576823,0.010456184478990771,0.007754377020600556,,,0.034305572509765556,0.0310564041137695,0.06666666666666667,0.0
partial_library,MCF7,DART_coverage_worst,1.0,1.0,0.00557078230133848,0.005288644907099416,0.024028811385139636,0.02156490793364063,,,0.15424359639485674,0.09095230102539062,0.010811738106004887,0.00826333869091378,,,0.048126220703125,0.0185260772705078,0.0,0.0
