setting,alpha,method,population_minus_mean_hit@1_matched_control_referenced,population_minus_mean_hit@1_raw_normalized_expression,population_minus_mean_mrr_matched_control_referenced,population_minus_mean_mrr_raw_normalized_expression,qualitative_change_hit@1,qualitative_change_mrr
crossline:A549+MCF7,0.5,coverage_mean,0.2,0.2,0.10766666666666666,0.10766666666666666,False,False
crossline:A549+MCF7,0.5,coverage_worst,0.18,0.18,0.0973968253968254,0.0973968253968254,False,False
crossline:A549+MCF7,0.5,global_energy,0.17333333333333334,0.17333333333333334,0.09316161616161617,0.09316161616161617,False,False
crossline:A549+MCF7,0.5,mmd_rbf,0.18,0.18,0.09705050505050505,0.09705050505050505,False,False
crossline:A549+MCF7,0.5,sliced_wasserstein,0.12,0.12,0.050809523809523804,0.050809523809523804,False,False
crossline:A549+MCF7,0.6,coverage_mean,0.2866666666666667,0.2866666666666667,0.15244444444444444,0.15244444444444444,False,False
crossline:A549+MCF7,0.6,coverage_worst,0.24666666666666667,0.24666666666666667,0.12396296296296297,0.12396296296296297,False,False
crossline:A549+MCF7,0.6,global_energy,0.2866666666666667,0.2866666666666667,0.15355555555555556,0.15355555555555556,False,False
crossline:A549+MCF7,0.6,mmd_rbf,0.3,0.3,0.16133333333333333,0.16133333333333333,False,False
crossline:A549+MCF7,0.6,sliced_wasserstein,0.19333333333333333,0.19333333333333333,0.08237962962962962,0.08237962962962962,False,False
crossline:A549+MCF7,0.7,coverage_mean,0.41333333333333333,0.41333333333333333,0.21141414141414142,0.21141414141414142,False,False
crossline:A549+MCF7,0.7,coverage_worst,0.4533333333333333,0.4533333333333333,0.22438126361655775,0.22438126361655775,False,False
crossline:A549+MCF7,0.7,global_energy,0.4866666666666667,0.4866666666666667,0.24972222222222223,0.24972222222222223,False,False
crossline:A549+MCF7,0.7,mmd_rbf,0.4866666666666667,0.4866666666666667,0.24955555555555559,0.24955555555555559,False,False
crossline:A549+MCF7,0.7,sliced_wasserstein,0.3933333333333333,0.3933333333333333,0.1854949494949495,0.1854949494949495,False,False
crossline:A549+MCF7,0.8,coverage_mean,0.41333333333333333,0.41333333333333333,0.19895238095238094,0.19895238095238094,False,False
crossline:A549+MCF7,0.8,coverage_worst,0.46,0.46,0.21650777000777002,0.21650777000777002,False,False
crossline:A549+MCF7,0.8,global_energy,0.5266666666666666,0.5266666666666666,0.26666666666666666,0.26666666666666666,False,False
crossline:A549+MCF7,0.8,mmd_rbf,0.5333333333333333,0.5333333333333333,0.27,0.27,False,False
crossline:A549+MCF7,0.8,sliced_wasserstein,0.44666666666666666,0.44666666666666666,0.2136801346801347,0.2136801346801347,False,False
crossline:A549+MCF7,0.9,coverage_mean,0.3466666666666667,0.3466666666666667,0.11104634483226436,0.11104634483226436,False,False
crossline:A549+MCF7,0.9,coverage_worst,0.49333333333333335,0.49333333333333335,0.2085548795074657,0.2085548795074657,False,False
crossline:A549+MCF7,0.9,global_energy,0.62,0.6466666666666666,0.31777777777777777,0.3311111111111111,False,False
crossline:A549+MCF7,0.9,mmd_rbf,0.64,0.64,0.3277777777777778,0.3277777777777778,False,False
crossline:A549+MCF7,0.9,sliced_wasserstein,0.4866666666666667,0.52,0.23728571428571427,0.2552222222222222,False,False
crossline:K562+A549,0.5,coverage_mean,0.32,0.32,0.18455555555555556,0.18455555555555556,False,False
crossline:K562+A549,0.5,coverage_worst,0.31333333333333335,0.31333333333333335,0.1801111111111111,0.1801111111111111,False,False
crossline:K562+A549,0.5,global_energy,0.30666666666666664,0.30666666666666664,0.1743968253968254,0.1743968253968254,False,False
crossline:K562+A549,0.5,mmd_rbf,0.31333333333333335,0.31333333333333335,0.1801111111111111,0.1801111111111111,False,False
crossline:K562+A549,0.5,sliced_wasserstein,0.09333333333333334,0.09333333333333334,0.03501058201058201,0.03501058201058201,False,False
crossline:K562+A549,0.6,coverage_mean,0.36,0.36,0.20677777777777778,0.20677777777777778,False,False
crossline:K562+A549,0.6,coverage_worst,0.3466666666666667,0.3466666666666667,0.1928888888888889,0.1928888888888889,False,False
crossline:K562+A549,0.6,global_energy,0.34,0.34,0.1971111111111111,0.1971111111111111,False,False
crossline:K562+A549,0.6,mmd_rbf,0.36,0.36,0.20600000000000002,0.20600000000000002,False,False
crossline:K562+A549,0.6,sliced_wasserstein,0.18666666666666668,0.18666666666666668,0.09438888888888888,0.09438888888888888,False,False
crossline:K562+A549,0.7,coverage_mean,0.44,0.44,0.24622222222222226,0.24622222222222226,False,False
crossline:K562+A549,0.7,coverage_worst,0.42,0.42,0.23099999999999998,0.23099999999999998,False,False
crossline:K562+A549,0.7,global_energy,0.4266666666666667,0.4266666666666667,0.23852777777777778,0.23852777777777778,False,False
crossline:K562+A549,0.7,mmd_rbf,0.4266666666666667,0.4266666666666667,0.23960606060606063,0.23960606060606063,False,False
crossline:K562+A549,0.7,sliced_wasserstein,0.23333333333333334,0.23333333333333334,0.10876940035273369,0.10876940035273369,False,False
crossline:K562+A549,0.8,coverage_mean,0.4,0.4,0.20680856180856183,0.20680856180856183,False,False
crossline:K562+A549,0.8,coverage_worst,0.37333333333333335,0.37333333333333335,0.1774091460845847,0.17739327306871167,False,False
crossline:K562+A549,0.8,global_energy,0.47333333333333333,0.47333333333333333,0.2528425213675214,0.2528425213675214,False,False
crossline:K562+A549,0.8,mmd_rbf,0.47333333333333333,0.47333333333333333,0.2498217555432437,0.2498217555432437,False,False
crossline:K562+A549,0.8,sliced_wasserstein,0.3333333333333333,0.3333333333333333,0.157716203889591,0.157716203889591,False,False
crossline:K562+A549,0.9,coverage_mean,0.15333333333333332,0.15333333333333332,-0.01686752556507284,-0.01686752556507284,False,False
crossline:K562+A549,0.9,coverage_worst,0.2866666666666667,0.2866666666666667,0.05040003299914648,0.05040003299914648,False,False
crossline:K562+A549,0.9,global_energy,0.46,0.47333333333333333,0.20403463185530774,0.21076190458258048,False,False
crossline:K562+A549,0.9,mmd_rbf,0.47333333333333333,0.47333333333333333,0.20964890014108736,0.20964890014108736,False,False
crossline:K562+A549,0.9,sliced_wasserstein,0.31333333333333335,0.34,0.10037856523244641,0.11589066592232015,False,False
crossline:K562+MCF7,0.5,coverage_mean,0.5133333333333333,0.5133333333333333,0.28840740740740745,0.28840740740740745,False,False
crossline:K562+MCF7,0.5,coverage_worst,0.46,0.46,0.25066666666666665,0.25066666666666665,False,False
crossline:K562+MCF7,0.5,global_energy,0.4666666666666667,0.4666666666666667,0.26217282064340885,0.26217282064340885,False,False
crossline:K562+MCF7,0.5,mmd_rbf,0.48,0.48,0.2664790764790765,0.2664790764790765,False,False
crossline:K562+MCF7,0.5,sliced_wasserstein,0.4,0.4,0.21483333333333335,0.21483333333333335,False,False
crossline:K562+MCF7,0.6,coverage_mean,0.54,0.54,0.32145238095238093,0.32145238095238093,False,False
crossline:K562+MCF7,0.6,coverage_worst,0.56,0.56,0.3334761904761905,0.3334761904761905,False,False
crossline:K562+MCF7,0.6,global_energy,0.54,0.54,0.32022222222222224,0.32022222222222224,False,False
crossline:K562+MCF7,0.6,mmd_rbf,0.54,0.54,0.32066666666666666,0.32066666666666666,False,False
crossline:K562+MCF7,0.6,sliced_wasserstein,0.48,0.48,0.2830899470899471,0.2830899470899471,False,False
crossline:K562+MCF7,0.7,coverage_mean,0.6866666666666666,0.6866666666666666,0.38342592592592595,0.38342592592592595,False,False
crossline:K562+MCF7,0.7,coverage_worst,0.6933333333333334,0.6933333333333334,0.3867037037037037,0.3867037037037037,False,False
crossline:K562+MCF7,0.7,global_energy,0.7066666666666667,0.7066666666666667,0.3973333333333333,0.3973333333333333,False,False
crossline:K562+MCF7,0.7,mmd_rbf,0.7133333333333334,0.7133333333333334,0.4011746031746032,0.4011746031746032,False,False
crossline:K562+MCF7,0.7,sliced_wasserstein,0.62,0.62,0.34361904761904766,0.34361904761904766,False,False
crossline:K562+MCF7,0.8,coverage_mean,0.6066666666666667,0.6066666666666667,0.33321514868573693,0.33321514868573693,False,False
crossline:K562+MCF7,0.8,coverage_worst,0.6133333333333333,0.6133333333333333,0.3342833333333333,0.3342833333333333,False,False
crossline:K562+MCF7,0.8,global_energy,0.68,0.68,0.392,0.392,False,False
crossline:K562+MCF7,0.8,mmd_rbf,0.6733333333333333,0.6733333333333333,0.38755555555555554,0.38755555555555554,False,False
crossline:K562+MCF7,0.8,sliced_wasserstein,0.6533333333333333,0.6533333333333333,0.37533333333333335,0.37533333333333335,False,False
crossline:K562+MCF7,0.9,coverage_mean,0.4,0.4,0.17516216907053844,0.17516216907053844,False,False
crossline:K562+MCF7,0.9,coverage_worst,0.4666666666666667,0.4666666666666667,0.21057162325926207,0.21057162325926207,False,False
crossline:K562+MCF7,0.9,global_energy,0.5933333333333334,0.6,0.3126906272286944,0.3178173376829911,False,False
crossline:K562+MCF7,0.9,mmd_rbf,0.6,0.6,0.31716959384298093,0.31716959384298093,False,False
crossline:K562+MCF7,0.9,sliced_wasserstein,0.5133333333333333,0.5266666666666666,0.26862541571041265,0.27564392747453853,False,False
frangieh:Control+Co-culture,0.7,coverage_mean,0.7,0.7,0.4166666666666667,0.4166666666666667,False,False
frangieh:Control+Co-culture,0.7,coverage_worst,0.6,0.6,0.35,0.35,False,False
frangieh:Control+Co-culture,0.7,global_energy,0.6,0.6,0.3666666666666667,0.3666666666666667,False,False
frangieh:Control+Co-culture,0.7,mmd_rbf,0.4,0.4,0.225,0.225,False,False
frangieh:Control+Co-culture,0.7,sliced_wasserstein,0.7,0.7,0.4,0.4,False,False
frangieh:Control+IFNγ,0.7,coverage_mean,0.4,0.4,0.2666666666666667,0.2666666666666667,False,False
frangieh:Control+IFNγ,0.7,coverage_worst,0.1,0.1,0.1,0.1,False,False
frangieh:Control+IFNγ,0.7,global_energy,0.6,0.6,0.3833333333333334,0.3833333333333334,False,False
frangieh:Control+IFNγ,0.7,mmd_rbf,0.3,0.3,0.2166666666666667,0.2166666666666667,False,False
frangieh:Control+IFNγ,0.7,sliced_wasserstein,0.2,0.2,0.18333333333333335,0.18333333333333335,False,False
frangieh:IFNγ+Co-culture,0.7,coverage_mean,0.0,0.0,0.0,0.0,False,False
frangieh:IFNγ+Co-culture,0.7,coverage_worst,0.0,0.0,0.0,0.0,False,False
frangieh:IFNγ+Co-culture,0.7,global_energy,0.0,0.0,0.0,0.0,False,False
frangieh:IFNγ+Co-culture,0.7,mmd_rbf,0.0,0.0,0.0,0.0,False,False
frangieh:IFNγ+Co-culture,0.7,sliced_wasserstein,-0.1,-0.1,-0.05,-0.05,False,False
