panel,metric,scope,statistic,old_point_estimate,old_ci_low,old_ci_high,old_query_level_p,corrected_point_estimate,corrected_cluster_ci_low,corrected_cluster_ci_high,corrected_drug_level_p,one_row_per_drug_point,n_queries,n_drugs,conclusion_changed,divergence_value_median,effect_median,frac_positive,frac_negative,frac_tied,corrected_bh_q,point_sign_changed_vs_drug,cluster_ci_excludes_zero,direction_of_conclusion,manuscript_consequence
Fig3c/current-divergence-coverage,minority_coverage_difference,Q1,mean,-0.0034667331340335864,-0.00745548493355407,0.00021754532337749062,0.8859133423255384,-0.0034667331340335864,-0.009119567468673363,0.0012526145815659096,0.441855887543275,0.0003110798147016314,190,71,False,1.335438125150524,0.0,0.4105263157894737,0.3894736842105263,0.2,0.441855887543275,True,False,includes_zero,NUMERIC UPDATE ONLY
Fig3c/current-divergence-coverage,minority_coverage_difference,Q2,mean,0.003014135349136215,0.0016022532675203259,0.004619262498916951,0.0022936030351128813,0.003014135349136215,0.0016849956815907009,0.004523679955430594,0.010837399349452537,0.0003516759874544473,181,91,False,1.6194843244531607,0.0002395825476132485,0.5303867403314917,0.4143646408839779,0.055248618784530384,0.01444986579927005,False,True,positive,NUMERIC UPDATE ONLY
Fig3c/current-divergence-coverage,minority_coverage_difference,Q3,mean,0.0038022993287611076,0.00240562733017236,0.005336421872075445,3.5778954421360202e-06,0.0038022993287611076,0.002468794669985406,0.005237631687583055,0.00039758373795606254,0.0005688485159855983,174,87,False,1.693683884101035,0.0007863849473743745,0.5919540229885057,0.3850574712643678,0.022988505747126436,0.0010197045702031139,False,True,positive,NUMERIC UPDATE ONLY
Fig3c/current-divergence-coverage,minority_coverage_difference,Q4,mean,0.0035625084368533485,0.0022111646033415684,0.005199982943736248,1.3606824369319065e-07,0.0035625084368533485,0.002056320702206735,0.005229442393415446,0.0005098522851015569,0.0016362002315791768,175,78,False,1.7593505012734951,0.0015038581297444065,0.6342857142857142,0.3485714285714286,0.017142857142857144,0.0010197045702031139,False,True,positive,NUMERIC UPDATE ONLY
Fig3c/current-divergence-coverage,spearman_rho,all_formal_rows,rho,0.11517815021245194,,,0.001964869045493333,0.11517815021245194,0.014665112620281756,0.2143311383824333,,0.03267332964378985,720,143,False,,,,,,,False,True,positive,NUMERIC UPDATE ONLY
Fig3d/current-divergence-MoA,moa_ndcg_difference,Q1,mean,-0.049684293702720914,-0.07648784193838039,-0.02367344625514041,0.0004922991448318959,-0.049684293702720914,-0.08491300152279732,-0.016782970374278276,0.07016055247281158,-0.008275475178726684,166,64,False,1.3396242698834653,-0.0061708318573496235,0.3192771084337349,0.5060240963855421,0.1746987951807229,0.14032110494562317,False,True,negative,NUMERIC UPDATE ONLY
Fig3d/current-divergence-MoA,moa_ndcg_difference,Q2,mean,-0.03909479659504194,-0.07001346967087126,-0.009412828864133114,0.012341056961906596,-0.03909479659504194,-0.07326429068957802,-0.004809319446030235,0.057944801619679825,-0.0003584753415565474,150,82,False,1.6195780899002776,0.0,0.31333333333333335,0.4666666666666667,0.22,0.14032110494562317,False,True,negative,NUMERIC UPDATE ONLY
Fig3d/current-divergence-MoA,moa_ndcg_difference,Q3,mean,-0.015842942827610357,-0.04520768148245445,0.012743747664825427,0.6425745820968951,-0.015842942827610357,-0.04474716521134357,0.011393840176349,0.7399053628732605,0.0,141,76,False,1.6936216905397117,0.0,0.3404255319148936,0.3404255319148936,0.3191489361702128,0.7399053628732605,True,False,includes_zero,NUMERIC UPDATE ONLY
Fig3d/current-divergence-MoA,moa_ndcg_difference,Q4,mean,0.014207965467812483,-0.015189693267477255,0.04058169268036661,0.09425100785568541,0.014207965467812483,-0.016473509271888297,0.04246720966744574,0.450528968765075,0.0,143,73,False,1.7555359465494698,0.0,0.46153846153846156,0.3006993006993007,0.23776223776223776,0.6007052916867667,True,False,includes_zero,NUMERIC UPDATE ONLY
Fig3d/current-divergence-MoA,spearman_rho,all_formal_rows,rho,0.15484590126627307,,,0.00014008604205289034,0.15484590126627307,0.07216155807131482,0.23493524396809154,,0.2658630029248599,600,130,False,,,,,,,False,True,positive,NUMERIC UPDATE ONLY
