panel,metric,scope,statistic,old_point_estimate,old_ci_low,old_ci_high,old_query_level_p,corrected_point_estimate,corrected_cluster_ci_low,corrected_cluster_ci_high,corrected_drug_level_p,one_row_per_drug_point,n_queries,n_drugs,n_biological_drugs_excluding_pooled,n_pooled_rows,cluster_inference_status,conclusion_changed,scorer,reference_scorer,point_sign_changed_vs_drug,cluster_ci_excludes_zero,direction_of_conclusion,manuscript_consequence,divergence_value_median,effect_median,frac_positive,frac_negative,frac_tied,corrected_bh_q,n_recommended_queries,n_no_call_queries
Fig2c,response_regret_difference,all_eligible_descriptive,median,0.0310564041137695,0.0167694091796875,0.048980712890625,1.6006365711761153e-12,0.0310564041137695,,,,,765,144,143.0,45.0,descriptive_only_pooled_rows_not_clustered,False,,,False,True,includes_zero,UNCHANGED,,,,,,,,
Fig2c,response_regret_difference,individual_drug_formal,median,0.03041934967041015,0.015980100631713914,0.049510955810546875,2.6185962505938366e-11,0.03041934967041015,0.015469551086425788,0.04953289031982423,1.1948415472570759e-05,0.04436969757080078,720,143,,,,False,,,False,True,positive,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_all_descriptive,median,0.05909729003906249,0.0449962615966797,0.08526420593261719,,0.05909729003906249,,,,,627,142,141.0,43.0,descriptive_only_pooled_rows_not_clustered,False,DART_energy,mean_cosine,False,True,includes_zero,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_individual_formal,median,0.060015678405761705,0.04281616210937504,0.08924150466918945,,0.060015678405761705,0.041631174087524425,0.08890151977539062,1.6445834729970496e-14,0.06421089172363285,584,141,,,,False,DART_energy,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_all_descriptive,median,0.0647115707397461,0.04832444190979008,0.08773994445800781,,0.0647115707397461,,,,,627,142,141.0,43.0,descriptive_only_pooled_rows_not_clustered,False,DART_mmd,mean_cosine,False,True,includes_zero,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_individual_formal,median,0.0663399696350098,0.046567916870117194,0.08924150466918945,,0.0663399696350098,0.0449962615966797,0.0902872085571289,3.4649184173457384e-14,0.08292579650878906,584,141,,,,False,DART_mmd,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_all_descriptive,median,0.06703376770019528,0.0414276123046875,0.0892124176025391,,0.06703376770019528,,,,,627,142,141.0,43.0,descriptive_only_pooled_rows_not_clustered,False,DART_sliced_wasserstein,mean_cosine,False,True,includes_zero,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_individual_formal,median,0.06763648986816405,0.040805816650390625,0.0896873474121094,,0.06763648986816405,0.0403404235839844,0.0924320220947266,1.4441251297020723e-12,0.07153177261352542,584,141,,,,False,DART_sliced_wasserstein,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_all_descriptive,median,0.0444498062133789,0.0235548019409179,0.0647115707397461,,0.0444498062133789,,,,,627,142,141.0,43.0,descriptive_only_pooled_rows_not_clustered,False,DART_coverage_mean,mean_cosine,False,True,includes_zero,UNCHANGED,,,,,,,,
Fig2e,response_regret_difference,recommended_individual_formal,median,0.04465532302856445,0.02095413208007807,0.0647115707397461,,0.04465532302856445,0.01983070373535148,0.06481504440307614,3.44057481054899e-07,0.060915946960449205,584,141,,,,False,DART_coverage_mean,mean_cosine,False,True,positive,UNCHANGED,,,,,,,,
