split_type,n_queries,recommendation_mode,cell_line
leave_MoA_out,120,,
leave_drug_out,600,,
partial_library,45,,
leave_MoA_out,98,DART_recommended,
leave_MoA_out,22,mean_or_no_call,
leave_drug_out,486,DART_recommended,
leave_drug_out,103,mean_or_no_call,
leave_drug_out,11,mean_sufficient,
partial_library,43,DART_recommended,
partial_library,2,mean_or_no_call,
leave_MoA_out,40,,A549
leave_MoA_out,40,,K562
leave_MoA_out,40,,MCF7
leave_drug_out,200,,A549
leave_drug_out,200,,K562
leave_drug_out,200,,MCF7
partial_library,15,,A549
partial_library,15,,K562
partial_library,15,,MCF7
