file,row,column,arm_v,arm_u,delta,rel,max_abs_cell_delta,sign_flips,n,keyed
all_existing_results_recomputed.csv,K562 | mean_cosine,recomputed,0.11,0.11,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562 | mean_cosine,findings,0.11,0.11,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562 | mean_cosine,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,K562 | global_energy,recomputed,0.76,0.76,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562 | global_energy,findings,0.76,0.76,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562 | global_energy,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,K562 | coverage_mean,recomputed,0.84,0.84,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562 | coverage_mean,findings,0.84,0.84,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562 | coverage_mean,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,K562 | coverage_worst,recomputed,0.63,0.63,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562 | coverage_worst,findings,0.63,0.63,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562 | coverage_worst,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,A549 | mean_cosine,recomputed,0.36,0.36,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549 | mean_cosine,findings,0.36,0.36,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549 | mean_cosine,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,A549 | global_energy,recomputed,0.97,0.97,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549 | global_energy,findings,0.97,0.97,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549 | global_energy,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,A549 | coverage_mean,recomputed,0.87,0.87,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549 | coverage_mean,findings,0.87,0.87,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549 | coverage_mean,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,A549 | coverage_worst,recomputed,0.68,0.68,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549 | coverage_worst,findings,0.68,0.68,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549 | coverage_worst,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,MCF7 | mean_cosine,recomputed,0.34,0.34,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,MCF7 | mean_cosine,findings,0.34,0.34,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,MCF7 | mean_cosine,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,MCF7 | global_energy,recomputed,0.95,0.95,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,MCF7 | global_energy,findings,0.95,0.95,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,MCF7 | global_energy,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,MCF7 | coverage_mean,recomputed,0.86,0.86,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,MCF7 | coverage_mean,findings,0.86,0.86,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,MCF7 | coverage_mean,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,MCF7 | coverage_worst,recomputed,0.65,0.65,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,MCF7 | coverage_worst,findings,0.65,0.65,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,MCF7 | coverage_worst,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,K562+A549 | mean_cosine,recomputed,0.507,0.507,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+A549 | mean_cosine,findings,0.51,0.51,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+A549 | mean_cosine,abs_diff,0.003,0.003,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+A549 | global_energy,recomputed,0.913,0.913,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+A549 | global_energy,findings,0.91,0.91,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+A549 | global_energy,abs_diff,0.003,0.003,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+A549 | coverage_mean,recomputed,0.847,0.847,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+A549 | coverage_mean,findings,0.85,0.85,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+A549 | coverage_mean,abs_diff,0.003,0.003,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+A549 | coverage_worst,recomputed,0.677,0.677,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+A549 | coverage_worst,findings,0.68,0.68,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+A549 | coverage_worst,abs_diff,0.003,0.003,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549+MCF7 | mean_cosine,recomputed,0.529,0.529,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549+MCF7 | mean_cosine,findings,0.53,0.53,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549+MCF7 | mean_cosine,abs_diff,0.001,0.001,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549+MCF7 | global_energy,recomputed,0.961,0.961,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549+MCF7 | global_energy,findings,0.96,0.96,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549+MCF7 | global_energy,abs_diff,0.001,0.001,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549+MCF7 | coverage_mean,recomputed,0.868,0.868,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549+MCF7 | coverage_mean,findings,0.87,0.87,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549+MCF7 | coverage_mean,abs_diff,0.002,0.002,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549+MCF7 | coverage_worst,recomputed,0.668,0.668,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549+MCF7 | coverage_worst,findings,0.67,0.67,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,A549+MCF7 | coverage_worst,abs_diff,0.002,0.002,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+MCF7 | mean_cosine,recomputed,0.299,0.299,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+MCF7 | mean_cosine,findings,0.3,0.3,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+MCF7 | mean_cosine,abs_diff,0.001,0.001,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+MCF7 | global_energy,recomputed,0.896,0.896,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+MCF7 | global_energy,findings,0.9,0.9,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+MCF7 | global_energy,abs_diff,0.004,0.004,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+MCF7 | coverage_mean,recomputed,0.853,0.853,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+MCF7 | coverage_mean,findings,0.85,0.85,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+MCF7 | coverage_mean,abs_diff,0.003,0.003,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+MCF7 | coverage_worst,recomputed,0.645,0.645,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+MCF7 | coverage_worst,findings,0.65,0.65,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,K562+MCF7 | coverage_worst,abs_diff,0.005,0.005,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,self-retrieval | mean_cosine,recomputed,0.514,0.514,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,self-retrieval | mean_cosine,findings,0.53,0.53,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,self-retrieval | mean_cosine,abs_diff,0.016,0.016,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,self-retrieval | global_energy,recomputed,0.344,0.344,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,self-retrieval | global_energy,findings,0.38,0.38,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,self-retrieval | global_energy,abs_diff,0.036,0.036,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,self-retrieval | coverage_mean,recomputed,0.351,0.351,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,self-retrieval | coverage_mean,findings,0.37,0.37,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,self-retrieval | coverage_mean,abs_diff,0.019,0.019,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,self-retrieval | coverage_worst,recomputed,0.201,0.201,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,self-retrieval | coverage_worst,findings,0.2,0.2,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,self-retrieval | coverage_worst,abs_diff,0.001,0.001,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/Control+IFNγ | mean_cosine,recomputed,0.2,0.2,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/Control+IFNγ | mean_cosine,findings,0.2,0.2,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/Control+IFNγ | mean_cosine,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/Control+IFNγ | global_energy,recomputed,0.8,0.8,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/Control+IFNγ | global_energy,findings,0.8,0.8,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/Control+IFNγ | global_energy,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/Control+Co-culture | mean_cosine,recomputed,0.1,0.1,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/Control+Co-culture | mean_cosine,findings,0.1,0.1,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/Control+Co-culture | mean_cosine,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/Control+Co-culture | global_energy,recomputed,0.65,0.65,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/Control+Co-culture | global_energy,findings,0.65,0.65,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/Control+Co-culture | global_energy,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/IFNγ+Co-culture | mean_cosine,recomputed,0.95,0.95,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/IFNγ+Co-culture | mean_cosine,findings,0.95,0.95,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/IFNγ+Co-culture | mean_cosine,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/IFNγ+Co-culture | global_energy,recomputed,0.95,0.95,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/IFNγ+Co-culture | global_energy,findings,0.95,0.95,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,IFNGR1/IFNγ+Co-culture | global_energy,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
all_existing_results_recomputed.csv,degenerate_limits | props,recomputed,1.0,1.0,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,degenerate_limits | props,findings,1.0,1.0,0.0,0.0,0.0,0,1,True
all_existing_results_recomputed.csv,degenerate_limits | props,abs_diff,0.0,0.0,0.0,,0.0,0,1,True
audit/moa_defined_query_set.csv,<column mean>,observed_library_fraction,1.0,1.0,0.0,0.0,0.0,0,600,False
