dim,n_candidate,candidate_sd,energy_u,energy_v,energy_u_se,energy_v_se
32,100,1.0,-0.00355607271194458,0.11584689219792683,0.0029531461903574002,0.0029960630085631005
32,100,1.1,0.01589945952097575,0.14326870441436768,0.00376558204945515,0.0039152398668787555
32,100,1.3,0.15294996897379556,0.29625145594278973,0.006611478092006416,0.006873674735537774
32,100,1.6,0.5428598721822103,0.7100592056910197,0.011569416604084446,0.011931406170214086
32,200,1.0,-0.0023526549339294434,0.0772822896639506,0.0017511568542590988,0.0017574018716291786
32,200,1.1,0.015875558058420818,0.0994882583618164,0.0019029075377243732,0.0019141478021910178
32,200,1.3,0.15067197879155478,0.24224011103312174,0.003734615570873795,0.003762517141522504
32,200,1.6,0.537736157576243,0.6412380139032999,0.0070620994908660575,0.007115046297852244
32,400,1.0,0.0013722777366638184,0.06084672609965006,0.001175751089063675,0.0012043840264595377
32,400,1.1,0.020974596341451008,0.08243429660797119,0.0013487335492103336,0.0013355462289817996
32,400,1.3,0.15807835261027017,0.22350875536600748,0.0027437717514324253,0.002705561524109838
32,400,1.6,0.5476175546646118,0.6190030972162882,0.0050558606174737186,0.005017961782440474
256,100,1.0,-0.001722415288289388,0.33713722229003906,0.0026332303983943556,0.00264939670525358
256,100,1.1,0.05119554201761881,0.41263945897420246,0.0031015225571563525,0.0031617065613492785
256,100,1.3,0.43597229321797687,0.84259033203125,0.004698459595985941,0.0048248481510358284
256,100,1.6,1.5373733043670654,2.011747439702352,0.00759201736345855,0.0077872601161585635
256,200,1.0,6.5962473551432294e-06,0.22608033816019693,0.001876209249952867,0.0018622951589892856
256,200,1.1,0.053679704666137695,0.2910555998484294,0.002096370237541346,0.0021014206826302706
256,200,1.3,0.4401312669118245,0.7001129786173502,0.0032843499072001546,0.0033229682222013206
256,200,1.6,1.5442960262298584,1.8381853898366292,0.005595544102461126,0.005667741159191124
256,400,1.0,-0.0027861595153808594,0.1666278044382731,0.0011492195780661988,0.0011785077069914585
256,400,1.1,0.051053126653035484,0.22611443201700845,0.0011978834024197315,0.001181064487502801
256,400,1.3,0.4375921885172526,0.6239485740661621,0.0024116116447575496,0.002365425659041406
256,400,1.6,1.5413934389750164,1.7446918487548828,0.004495506287739772,0.0044500837277842474
2304,100,1.0,-0.0048809051513671875,1.0131947199503581,0.002522649923358772,0.0025977039061931577
2304,100,1.1,0.1568600336710612,1.2428051630655925,0.002886678301051479,0.0030169063430005422
2304,100,1.3,1.3182010650634766,2.539907773335775,0.004421988678521882,0.0046242664647075955
2304,100,1.6,4.634550412495931,6.059866269429524,0.007352632153840753,0.007623624167182049
2304,200,1.0,0.0021734237670898438,0.6808741887410482,0.0021764703136920942,0.002165959451773458
2304,200,1.1,0.16505050659179688,0.8776874542236328,0.002491024406724843,0.0024837507804881032
2304,200,1.3,1.3285751342773438,2.109095255533854,0.003629705038606893,0.003636724713958848
2304,200,1.6,4.64799149831136,5.530336062113444,0.005672751608782738,0.005703824372952907
2304,400,1.0,0.001522064208984375,0.5106105804443359,0.001547806445216633,0.0015475912315394552
2304,400,1.1,0.1620779037475586,0.6881326039632162,0.001469488594090052,0.0014537290784840443
2304,400,1.3,1.3211345672607422,1.881121317545573,0.002348617760182228,0.002330144913917659
2304,400,1.6,4.634415944417317,5.245306968688965,0.004363370439590457,0.004359939137563835
