dim,shift,energy_u,energy_v
32,0.0,-0.001283864180246989,0.0582237442334493
32,0.02,-0.00013337532679239908,0.05937419335047404
32,0.05,0.007542828718821208,0.06705035765965779
32,0.1,0.03617453575134277,0.09568212429682414
32,0.2,0.15238457918167114,0.21189222733179727
32,0.4,0.6137136220932007,0.6732211311658224
256,0.0,-0.0015505154927571614,0.16795667012532553
256,0.02,0.0030330816904703775,0.17254042625427246
256,0.05,0.0268552303314209,0.19636249542236328
256,0.1,0.11165086428324382,0.2811581293741862
256,0.2,0.44896165529886883,0.6184686024983724
256,0.4,1.7735531330108643,1.943059762318929
2304,0.0,0.0002727508544921875,0.5094016393025717
2304,0.02,0.013345082600911459,0.5224726994832357
2304,0.05,0.0838177998860677,0.5929438273111979
2304,0.1,0.3366454442342122,0.8457740147908529
2304,0.2,1.345807393391927,1.8549350102742512
2304,0.4,5.315188090006511,5.8243147532145185
