cell_line,alpha,mean_cosine_hit@1,mean_cosine_rank_med,global_energy_hit@1,global_energy_rank_med,coverage_mean_hit@1,coverage_mean_rank_med,coverage_worst_hit@1,coverage_worst_rank_med
K562,0.5,0.0,2.0,1.0,1.0,0.75,1.0,0.65,1.0
K562,0.6,0.1,2.0,1.0,1.0,0.9,1.0,0.75,1.0
K562,0.7,0.05,2.0,0.85,1.0,1.0,1.0,0.9,1.0
K562,0.8,0.1,2.0,0.6,1.0,0.9,1.0,0.85,1.0
K562,0.9,0.3,2.0,0.35,2.0,0.65,1.0,0.0,2.0
A549,0.5,0.6,1.0,1.0,1.0,0.95,1.0,0.85,1.0
A549,0.6,0.35,2.0,1.0,1.0,1.0,1.0,0.8,1.0
A549,0.7,0.3,2.0,1.0,1.0,0.85,1.0,0.55,1.0
A549,0.8,0.35,2.0,1.0,1.0,0.85,1.0,0.6,1.0
A549,0.9,0.2,2.0,0.85,1.0,0.7,1.0,0.6,1.0
MCF7,0.5,0.65,1.0,1.0,1.0,0.95,1.0,0.75,1.0
MCF7,0.6,0.35,2.0,1.0,1.0,0.9,1.0,0.55,1.0
MCF7,0.7,0.3,2.0,1.0,1.0,0.95,1.0,0.7,1.0
MCF7,0.8,0.1,2.0,1.0,1.0,0.9,1.0,0.65,1.0
MCF7,0.9,0.3,2.0,0.75,1.0,0.6,1.0,0.6,1.0
