N,scorer,hit@1
15,mean_cosine,0.0
15,global_energy,1.0
15,coverage_mean,1.0
15,coverage_worst,1.0
15,mean_cosine,1.0
15,global_energy,1.0
15,coverage_mean,0.0
15,coverage_worst,0.0
15,mean_cosine,1.0
15,global_energy,0.0
15,coverage_mean,1.0
15,coverage_worst,1.0
15,mean_cosine,0.0
15,global_energy,1.0
15,coverage_mean,1.0
15,coverage_worst,1.0
15,mean_cosine,0.0
15,global_energy,0.0
15,coverage_mean,1.0
15,coverage_worst,0.0
15,mean_cosine,0.0
15,global_energy,0.0
15,coverage_mean,1.0
15,coverage_worst,1.0
15,mean_cosine,0.0
15,global_energy,1.0
15,coverage_mean,1.0
15,coverage_worst,1.0
15,mean_cosine,0.0
15,global_energy,1.0
15,coverage_mean,1.0
15,coverage_worst,1.0
15,mean_cosine,0.0
15,global_energy,0.0
15,coverage_mean,0.0
15,coverage_worst,1.0
15,mean_cosine,0.0
15,global_energy,0.0
15,coverage_mean,1.0
15,coverage_worst,1.0
15,mean_cosine,0.0
15,global_energy,0.0
15,coverage_mean,0.0
15,coverage_worst,0.0
15,mean_cosine,0.0
15,global_energy,1.0
15,coverage_mean,0.0
15,coverage_worst,0.0
15,mean_cosine,0.0
15,global_energy,1.0
15,coverage_mean,1.0
15,coverage_worst,1.0
15,mean_cosine,1.0
15,global_energy,0.0
15,coverage_mean,1.0
15,coverage_worst,1.0
15,mean_cosine,0.0
15,global_energy,1.0
15,coverage_mean,1.0
15,coverage_worst,0.0
15,mean_cosine,0.0
15,global_energy,1.0
15,coverage_mean,1.0
15,coverage_worst,1.0
15,mean_cosine,0.0
15,global_energy,0.0
15,coverage_mean,0.0
15,coverage_worst,1.0
15,mean_cosine,0.0
15,global_energy,1.0
15,coverage_mean,1.0
15,coverage_worst,1.0
15,mean_cosine,0.0
15,global_energy,1.0
15,coverage_mean,1.0
15,coverage_worst,1.0
15,mean_cosine,0.0
15,global_energy,1.0
15,coverage_mean,1.0
15,coverage_worst,1.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,0.0
30,coverage_worst,0.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,1.0
30,coverage_worst,1.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,1.0
30,coverage_worst,1.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,1.0
30,coverage_worst,1.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,1.0
30,coverage_worst,1.0
30,mean_cosine,0.0
30,global_energy,0.0
30,coverage_mean,1.0
30,coverage_worst,1.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,1.0
30,coverage_worst,1.0
30,mean_cosine,1.0
30,global_energy,0.0
30,coverage_mean,0.0
30,coverage_worst,0.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,1.0
30,coverage_worst,1.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,1.0
30,coverage_worst,1.0
30,mean_cosine,1.0
30,global_energy,1.0
30,coverage_mean,1.0
30,coverage_worst,1.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,1.0
30,coverage_worst,0.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,1.0
30,coverage_worst,1.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,1.0
30,coverage_worst,0.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,0.0
30,coverage_worst,1.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,1.0
30,coverage_worst,1.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,1.0
30,coverage_worst,0.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,0.0
30,coverage_worst,0.0
30,mean_cosine,0.0
30,global_energy,0.0
30,coverage_mean,0.0
30,coverage_worst,0.0
30,mean_cosine,0.0
30,global_energy,1.0
30,coverage_mean,1.0
30,coverage_worst,1.0
60,mean_cosine,0.0
60,global_energy,1.0
60,coverage_mean,1.0
60,coverage_worst,1.0
60,mean_cosine,0.0
60,global_energy,1.0
60,coverage_mean,1.0
60,coverage_worst,0.0
60,mean_cosine,0.0
60,global_energy,1.0
60,coverage_mean,1.0
60,coverage_worst,1.0
60,mean_cosine,1.0
60,global_energy,1.0
60,coverage_mean,1.0
60,coverage_worst,1.0
60,mean_cosine,0.0
60,global_energy,1.0
60,coverage_mean,0.0
60,coverage_worst,1.0
60,mean_cosine,0.0
60,global_energy,1.0
60,coverage_mean,0.0
60,coverage_worst,0.0
60,mean_cosine,0.0
60,global_energy,1.0
60,coverage_mean,1.0
60,coverage_worst,1.0
60,mean_cosine,0.0
60,global_energy,1.0
60,coverage_mean,1.0
