lam,subpop_cos,scorer,hit@1
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,1.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,1.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,1.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,1.0
0.0,1.0,coverage_worst,1.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,0.0
0.0,1.0,mean_cosine,1.0
0.0,1.0,global_energy,1.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,1.0
0.0,1.0,coverage_worst,1.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,1.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,1.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,global_energy,0.0
0.0,1.0,coverage_mean,0.0
0.0,1.0,coverage_worst,0.0
0.25,0.997,mean_cosine,0.0
