lam,subpop_cos,metric,hit@1
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,0.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,1.0
0.0,1.0,mmd,1.0
0.0,1.0,sliced_w,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,0.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,0.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,1.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,1.0
0.0,1.0,mmd,1.0
0.0,1.0,sliced_w,1.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,0.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,1.0
0.0,1.0,mmd,1.0
0.0,1.0,sliced_w,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,0.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,1.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,0.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,0.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,0.0
0.0,1.0,mean_cosine,1.0
0.0,1.0,energy,1.0
0.0,1.0,mmd,1.0
0.0,1.0,sliced_w,1.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,0.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,0.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,0.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,0.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,1.0
0.0,1.0,mmd,1.0
0.0,1.0,sliced_w,1.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,0.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,0.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,1.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,0.0
0.0,1.0,mean_cosine,0.0
0.0,1.0,energy,0.0
0.0,1.0,mmd,0.0
0.0,1.0,sliced_w,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,0.0
0.5,0.979,mmd,0.0
0.5,0.979,sliced_w,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,0.0
0.5,0.979,mmd,0.0
0.5,0.979,sliced_w,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,0.0
0.5,0.979,mmd,0.0
0.5,0.979,sliced_w,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,0.0
0.5,0.979,mmd,0.0
0.5,0.979,sliced_w,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,1.0
0.5,0.979,mmd,1.0
0.5,0.979,sliced_w,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,0.0
0.5,0.979,mmd,0.0
0.5,0.979,sliced_w,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,0.0
0.5,0.979,mmd,0.0
0.5,0.979,sliced_w,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,1.0
0.5,0.979,mmd,1.0
0.5,0.979,sliced_w,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,0.0
0.5,0.979,mmd,0.0
0.5,0.979,sliced_w,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,0.0
0.5,0.979,mmd,0.0
0.5,0.979,sliced_w,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,1.0
0.5,0.979,mmd,1.0
0.5,0.979,sliced_w,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,0.0
0.5,0.979,mmd,0.0
0.5,0.979,sliced_w,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,1.0
0.5,0.979,mmd,1.0
0.5,0.979,sliced_w,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,0.0
0.5,0.979,mmd,0.0
0.5,0.979,sliced_w,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,0.0
0.5,0.979,mmd,0.0
0.5,0.979,sliced_w,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,1.0
0.5,0.979,mmd,1.0
0.5,0.979,sliced_w,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,0.0
0.5,0.979,mmd,0.0
0.5,0.979,sliced_w,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,1.0
0.5,0.979,mmd,1.0
0.5,0.979,sliced_w,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,1.0
0.5,0.979,mmd,1.0
0.5,0.979,sliced_w,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,energy,0.0
0.5,0.979,mmd,0.0
0.5,0.979,sliced_w,0.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,1.0
0.75,0.884,mmd,0.0
0.75,0.884,sliced_w,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,1.0
0.75,0.884,mmd,0.0
0.75,0.884,sliced_w,0.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,0.0
0.75,0.884,mmd,0.0
0.75,0.884,sliced_w,0.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,0.0
0.75,0.884,mmd,0.0
0.75,0.884,sliced_w,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,1.0
0.75,0.884,mmd,1.0
0.75,0.884,sliced_w,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,1.0
0.75,0.884,mmd,1.0
0.75,0.884,sliced_w,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,1.0
0.75,0.884,mmd,0.0
0.75,0.884,sliced_w,0.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,1.0
0.75,0.884,mmd,1.0
0.75,0.884,sliced_w,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,1.0
0.75,0.884,mmd,1.0
0.75,0.884,sliced_w,0.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,0.0
0.75,0.884,mmd,0.0
0.75,0.884,sliced_w,0.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,1.0
0.75,0.884,mmd,1.0
0.75,0.884,sliced_w,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,0.0
0.75,0.884,mmd,0.0
0.75,0.884,sliced_w,0.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,1.0
0.75,0.884,mmd,1.0
0.75,0.884,sliced_w,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,1.0
0.75,0.884,mmd,1.0
0.75,0.884,sliced_w,0.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,0.0
0.75,0.884,mmd,0.0
0.75,0.884,sliced_w,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,1.0
0.75,0.884,mmd,1.0
0.75,0.884,sliced_w,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,0.0
0.75,0.884,mmd,0.0
0.75,0.884,sliced_w,0.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,1.0
0.75,0.884,mmd,1.0
0.75,0.884,sliced_w,0.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,1.0
0.75,0.884,mmd,1.0
0.75,0.884,sliced_w,0.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,energy,0.0
0.75,0.884,mmd,0.0
0.75,0.884,sliced_w,0.0
