drug,n_a,n_b,eff_a,eff_b,cross_cos,rel_a,rel_b,reliable,clears_gate,pair
Filgotinib (GLPG0634),480,480,1.033642292022705,0.8229195475578308,-0.08287829160690308,0.1713263623416424,0.19938864707946777,False,False,K562+A549
PJ34,480,480,1.0467939376831055,0.9096761345863342,-0.06257165968418121,0.2017882838845253,0.2936022371053696,False,False,K562+A549
Veliparib (ABT-888),480,480,1.057702660560608,0.7558352947235107,-0.05461699888110161,0.20872851312160492,0.16116671711206437,False,False,K562+A549
Quercetin,480,480,0.8752813339233398,0.8169390559196472,-0.05168993026018143,0.010710136219859123,0.21848543882369995,False,False,K562+A549
Ki16425,480,480,0.958134114742279,0.7367209196090698,-0.05036470666527748,0.10517040491104127,0.12364147156476975,False,False,K562+A549
EED226,480,480,0.9992212653160095,0.7474206686019897,-0.0485122874379158,0.13170235604047775,0.13714938163757323,False,False,K562+A549
Curcumin,480,480,1.0063860416412354,0.7901268005371094,-0.04838503524661064,0.19758855700492858,0.13590149506926535,False,False,K562+A549
Epothilone A,363,345,2.368783950805664,3.9140396118164062,-0.04621424525976181,0.7120210409164429,0.9342344522476196,True,True,K562+A549
"Roscovitine (Seliciclib,CYC202)",480,480,0.9809038639068604,0.9499006271362305,-0.03583362698554993,0.15445551872253419,0.3747231483459473,False,False,K562+A549
AZD1480,473,480,1.1705553531646729,1.4721453189849854,-0.030260561034083366,0.2878235071897507,0.6691139817237854,False,False,K562+A549
PD98059,480,480,0.9777188301086426,0.852107584476471,-0.0284956656396389,0.12013048678636551,0.21877914816141128,False,False,K562+A549
Streptozotocin (STZ),480,480,0.9638540744781494,0.7605630159378052,-0.027928100898861885,0.11869743093848228,0.15287790317088365,False,False,K562+A549
Alendronate sodium trihydrate,480,480,1.0197724103927612,1.3500310182571411,-0.02663576789200306,0.18369011729955673,0.6129769325256348,False,False,K562+A549
Aurora A Inhibitor I,480,480,0.9567872881889343,0.9825153946876526,-0.02484671212732792,0.07954846490174532,0.3947454929351807,False,False,K562+A549
INO-1001 (3-Aminobenzamide),480,480,1.01939857006073,1.0060869455337524,-0.02457108162343502,0.18802250027656556,0.3958932042121887,False,False,K562+A549
Selisistat (EX 527),480,480,0.9976196885108948,0.8162702322006226,-0.02085987851023674,0.16340575516223907,0.2106768310070038,False,False,K562+A549
Fasudil (HA-1077) HCl,480,480,0.9669429063796997,0.7636141180992126,-0.01899770088493824,0.11909595876932144,0.17808776795864106,False,False,K562+A549
Lomustine,480,480,1.0240576267242432,0.8578500151634216,-0.018736423924565315,0.173650261759758,0.24339845776557922,False,False,K562+A549
Gandotinib (LY2784544),480,480,0.9750900268554688,1.053615927696228,-0.018430685624480247,0.15576724708080292,0.4396462500095367,False,False,K562+A549
Momelotinib (CYT387),480,480,1.1388639211654663,1.4739258289337158,-0.017234403640031815,0.25720402896404265,0.6855753064155579,False,False,K562+A549
Sodium Phenylbutyrate,480,480,1.0467873811721802,0.8063008785247803,-0.016839923337101936,0.20271818488836288,0.22386307418346404,False,False,K562+A549
Bosutinib (SKI-606),410,480,4.150937557220459,1.2697511911392212,-0.014443755149841309,0.9100373148918152,0.608616304397583,True,True,K562+A549
Tacedinaline (CI994),480,480,1.9387701749801636,1.302019476890564,-0.014395740814507008,0.6522348880767822,0.587553858757019,True,True,K562+A549
JNJ-26854165 (Serdemetan),480,480,1.2291581630706787,1.0625420808792114,-0.014267761260271072,0.3761975049972534,0.47204338312149047,False,False,K562+A549
Nilotinib (AMN-107),480,480,4.000321388244629,0.8062450289726257,-0.014176275581121445,0.9151978969573975,0.15559790432453155,False,False,K562+A549
AG-14361,480,480,0.9758194088935852,0.8966658115386963,-0.013139083050191402,0.08455802723765374,0.29307355284690856,False,False,K562+A549
S-Ruxolitinib (INCB018424),480,480,0.9756014347076416,1.0789012908935547,-0.012763268314301968,0.11140677109360694,0.4697092533111572,False,False,K562+A549
"Baricitinib (LY3009104, INCB028050)",480,480,1.050437569618225,0.9597743153572083,-0.011796187609434128,0.18952158093452454,0.3687840700149536,False,False,K562+A549
GSK-LSD1 2HCl,480,480,2.3820407390594482,0.8293973207473755,-0.01092592068016529,0.7518481135368347,0.20493573248386382,False,False,K562+A549
Celecoxib,480,480,1.0273144245147705,0.8149276971817017,-0.010173490270972252,0.12627358436584474,0.18872215151786803,False,False,K562+A549
JNJ-7706621,460,476,1.5284233093261719,1.4158552885055542,-0.010159041732549667,0.5430810451507568,0.6497473359107971,True,True,K562+A549
Costunolide,480,480,0.9990795254707336,0.7858462929725647,-0.009530434384942055,0.1811911940574646,0.1645676851272583,False,False,K562+A549
Zileuton,480,480,0.9637033343315125,0.7643939852714539,-0.009383158758282661,0.09261148869991302,0.15731960386037827,False,False,K562+A549
AC480 (BMS-599626),480,480,1.018428087234497,0.9803189039230347,-0.008176510222256184,0.1613680362701416,0.30810666680335996,False,False,K562+A549
BRD4770,480,480,0.9338314533233643,0.7503954172134399,-0.007749101612716913,0.07033671140670776,0.1185558296740055,False,False,K562+A549
Tubastatin A HCl,480,480,0.97803795337677,0.8738008737564087,-0.006164261605590582,0.15946740061044692,0.31304373145103453,False,False,K562+A549
Busulfan,480,480,1.2148842811584473,0.8215558528900146,-0.005668658297508955,0.36894270181655886,0.23886900246143342,False,False,K562+A549
Navitoclax (ABT-263),421,480,1.291643500328064,1.2364486455917358,-0.001669913879595697,0.32730553150177,0.5329836189746857,False,False,K562+A549
Glesatinib?(MGCD265),480,480,1.7012866735458374,0.8656592965126038,-0.0015056633856147528,0.5756804704666137,0.2591724097728729,False,False,K562+A549
Thalidomide,480,480,0.9270193576812744,0.9164210557937622,-0.0009821448475122452,0.06696898937225342,0.33163812160491946,False,False,K562+A549
MK-0752,480,480,1.112329363822937,0.8497070074081421,-0.0003917387512046844,0.21877793073654175,0.25746139883995056,False,False,K562+A549
Tranylcypromine (2-PCPA) HCl,480,480,1.378363847732544,0.7417365908622742,0.000582573062274605,0.45548821091651914,0.1293162889778614,False,False,K562+A549
Pirarubicin,480,480,1.338850975036621,1.8065214157104492,0.0016575328772887588,0.42859491109848025,0.7778776407241821,False,False,K562+A549
Tofacitinib (CP-690550) Citrate,480,480,0.975385844707489,1.0697109699249268,0.0017339057521894574,0.10026230663061142,0.4641049146652222,False,False,K562+A549
Carmofur,480,480,0.9952417612075806,1.4987668991088867,0.0024845022708177567,0.13567025812808425,0.6968182563781739,False,False,K562+A549
UNC1999,480,480,1.0301915407180786,0.8804808259010315,0.003801284357905388,0.154230934381485,0.2985206186771393,False,False,K562+A549
PD173074,480,480,1.110136866569519,0.7513121962547302,0.0040560150519013405,0.24603193998336792,0.1641914963722229,False,False,K562+A549
Droxinostat,480,480,1.17340087890625,0.9011736512184143,0.00422722939401865,0.27007412910461426,0.3313969522714615,False,False,K562+A549
2-Methoxyestradiol (2-MeOE2),443,480,1.3333442211151123,1.0894910097122192,0.004334367346018553,0.4000040769577026,0.4357176244258881,False,False,K562+A549
Regorafenib (BAY 73-4506),473,480,1.4802252054214478,1.0243237018585205,0.006182985380291939,0.4728449821472168,0.365987503528595,False,False,K562+A549
KW-2449,480,479,1.6668176651000977,1.7292619943618774,0.006477552931755781,0.5663251161575318,0.7634762048721313,True,True,K562+A549
Amisulpride,480,480,1.1208797693252563,0.6958229541778564,0.00812428817152977,0.2637820214033127,0.10955153778195381,False,False,K562+A549
Ivosidenib (AG-120),480,480,0.9058772921562195,0.7152419090270996,0.008280650712549686,0.016253695264458655,0.0738877329044044,False,False,K562+A549
"Patupilone (EPO906, Epothilone B)",323,437,2.1600749492645264,2.8928234577178955,0.008576546795666218,0.6062404870986938,0.9019474744796753,True,True,K562+A549
Thiotepa,480,480,0.9654220342636108,1.044079303741455,0.009385734796524048,0.12264977991580964,0.4222128391265869,False,False,K562+A549
Anacardic Acid,480,480,0.9348704814910889,0.750410258769989,0.010190382599830627,0.06628508120775223,0.14327341914176941,False,False,K562+A549
