pair,alpha,mean_cosine_hit@1,global_energy_hit@1,coverage_mean_hit@1,coverage_worst_hit@1
K562+A549,0.5,0.6533333333333333,0.96,0.9733333333333334,0.9666666666666667
K562+A549,0.6,0.5933333333333334,0.9333333333333333,0.9533333333333334,0.94
K562+A549,0.7,0.5133333333333333,0.94,0.9533333333333334,0.9333333333333333
K562+A549,0.8,0.42,0.8933333333333333,0.82,0.7933333333333333
K562+A549,0.9,0.35333333333333333,0.8266666666666667,0.5066666666666667,0.64
A549+MCF7,0.5,0.7466666666666667,0.92,0.9466666666666667,0.9266666666666666
A549+MCF7,0.6,0.6333333333333333,0.92,0.92,0.88
A549+MCF7,0.7,0.48,0.9666666666666667,0.8933333333333333,0.9333333333333333
A549+MCF7,0.8,0.43333333333333335,0.96,0.8466666666666667,0.8933333333333333
A549+MCF7,0.9,0.35333333333333333,1.0,0.7,0.8466666666666667
K562+MCF7,0.5,0.4,0.8666666666666667,0.9133333333333333,0.86
K562+MCF7,0.6,0.36,0.9,0.9,0.92
K562+MCF7,0.7,0.22,0.9266666666666666,0.9066666666666666,0.9133333333333333
K562+MCF7,0.8,0.23333333333333334,0.9133333333333333,0.84,0.8466666666666667
K562+MCF7,0.9,0.28,0.88,0.68,0.7466666666666667
