drug,n_pairs,median_lineage_cos
AT9283,6,0.18206383287906647
Apicidin,6,0.1766357421875
BI 2536,6,0.14504598081111908
BMS-536924,6,0.27822840213775635
BRD-K76674262,6,0.48151175677776337
Bisindolylmaleimide II,6,0.18838617950677872
Bortezomib,6,0.09984324499964714
Brefeldin A,6,0.18308880925178528
Chaetocin,6,0.04362501297146082
Crizotinib,6,0.04274929128587246
Dabrafenib,6,0.18990298360586166
Decitabine,6,0.2955882102251053
Dexamethasone,6,0.27437372505664825
Dorsomorphin,6,0.32482367753982544
EX-527,6,0.07238676398992538
Etomoxir,6,0.0678871925920248
GW-843682X,6,0.05744163691997528
Geldanamycin,6,0.05896265245974064
JNK-9L (JNK Inhibitor),6,0.08848366886377335
NFkB Activation Inhibitor II,6,0.10238252207636833
NVP-AUY922,6,0.10125763341784477
Neratinib,6,0.19910550862550735
Niclosamide,6,0.11973786354064941
PHA-793887,6,0.28854841738939285
Penfluridol,6,0.22115161269903183
Pevonedistat,6,0.4022044837474823
Purmorphamine,6,0.0011575659736990929
Rucaparib,6,0.058367447927594185
Sapanisertib,6,0.6528585851192474
Sorafenib,6,0.19875754415988922
belinostat,6,0.2708227336406708
camptothecin,6,0.2706962376832962
digoxin,6,0.012645604088902473
navitoclax,6,0.2570642977952957
panobinostat,6,0.5533811151981354
ruxolitinib,6,0.5173736214637756
