ko,cross_cos,eff_min,mean_cosine,global_energy,advantage,bootstrap
IFNGR1,0.14728255569934845,5.034204959869385,0.2,0.8,0.6000000000000001,see frangieh_ifngr1_case.csv
JAK1,0.362707257270813,4.81352424621582,0.95,1.0,0.050000000000000044,see frangieh_ifngr1_case.csv
CTSL,0.6050959229469299,1.2563228607177734,0.4,0.35,-0.050000000000000044,see frangieh_ifngr1_case.csv
AEBP1,0.6238651871681213,0.879935622215271,0.15,0.3,0.15,see frangieh_ifngr1_case.csv
EIF3K,0.6972307562828064,1.2076818943023682,0.9,0.4,-0.5,see frangieh_ifngr1_case.csv
CTSD,0.7199655175209045,0.8882725238800049,0.7,1.0,0.30000000000000004,see frangieh_ifngr1_case.csv
CD63,0.7504539489746094,1.2708641290664673,0.75,0.7,-0.050000000000000044,see frangieh_ifngr1_case.csv
CCND1,0.7516108751296997,1.3350930213928223,0.85,0.4,-0.44999999999999996,see frangieh_ifngr1_case.csv
B2M,0.7605911493301392,1.0487720966339111,0.7,1.0,0.30000000000000004,see frangieh_ifngr1_case.csv
CDKN1A,0.8363156318664551,1.302197813987732,0.95,0.25,-0.7,see frangieh_ifngr1_case.csv
