ko,n_a,n_b,eff_a,eff_b,cross_cos,rel_a,rel_b,reliable,clears_gate,contrast
CCT3,52,73,1.3308167457580566,1.287062644958496,-0.05766666680574417,-0.15972420424222947,-0.008465132786659524,False,False,Control+IFNγ
UQCRH,64,77,1.2477397918701172,1.424802541732788,-0.02495211735367775,0.02337303161621094,0.09987355954945087,False,False,Control+IFNγ
NOLC1,82,108,1.2545956373214722,1.0939067602157593,0.014558334834873676,0.0887848723679781,0.03939848691225052,False,False,Control+IFNγ
HNRNPC,67,96,1.262723684310913,1.1432088613510132,0.04039935767650604,-0.008423968777060508,-0.037700367718935014,False,False,Control+IFNγ
POLD2,44,69,1.5029962062835693,1.490733027458191,0.08446550369262695,-0.0596770478412509,0.15306769236922263,False,False,Control+IFNγ
JAK2,252,340,0.9711374044418335,4.925150394439697,0.09477337449789047,0.36391735076904297,0.9687766075134278,False,False,Control+IFNγ
HLA-F,229,350,0.7407807111740112,0.9237321019172668,0.11972235888242722,0.03910653600469231,0.4191182404756546,False,False,Control+IFNγ
PYGB,172,230,0.8898026347160339,0.9861845374107361,0.12653802335262299,0.17905358076095582,0.3316579759120941,False,False,Control+IFNγ
JPT1,150,198,0.920412003993988,1.0990400314331055,0.13176630437374115,0.11619675010442734,0.25177595019340515,False,False,Control+IFNγ
TPP1,138,218,1.0196044445037842,0.8377799391746521,0.14007718861103058,0.18845540657639503,0.031105589494109152,False,False,Control+IFNγ
SDC3,166,317,0.9510049223899841,0.7398772835731506,0.1426400989294052,0.19664353877305984,0.23396294116973876,False,False,Control+IFNγ
IFNGR1,202,291,1.200027346611023,5.034204959869385,0.14728255569934845,0.5491061091423035,0.9711530923843383,True,True,Control+IFNγ
ST6GALNAC2,117,200,1.1117069721221924,0.8655700087547302,0.14985668659210205,0.20290387272834778,0.10250597447156906,False,False,Control+IFNγ
FBL,96,136,1.0689880847930908,1.0376975536346436,0.15202277898788452,0.06994684413075447,0.07894055610522628,False,False,Control+IFNγ
PUF60,55,109,1.4050647020339966,1.1477826833724976,0.155735045671463,0.099406548589468,0.07569914571940899,False,False,Control+IFNγ
NGFR,165,239,0.9653642773628235,0.8183706998825073,0.15922148525714874,0.18156063854694365,0.19261160492897034,False,False,Control+IFNγ
SERPINA3,151,232,1.0194402933120728,0.8032529354095459,0.1627046912908554,0.19319642782211305,0.10503349304199219,False,False,Control+IFNγ
LGALS3BP,175,253,0.9896940588951111,0.7962053418159485,0.16934236884117126,0.29524884223937986,0.16692005097866058,False,False,Control+IFNγ
NME1,157,263,1.0814961194992065,0.8694238662719727,0.18063309788703918,0.2969326704740524,0.18897103220224382,False,False,Control+IFNγ
SNHG6,135,202,0.9829241633415222,0.9734972715377808,0.18424579501152039,0.18573951721191406,0.1742882549762726,False,False,Control+IFNγ
SLC19A1,105,198,1.135028600692749,0.981124758720398,0.18895825743675232,0.13520907312631608,0.16717534512281418,False,False,Control+IFNγ
STAT1,124,209,1.1319085359573364,6.035348892211914,0.18964490294456482,0.16716573759913445,0.96911461353302,False,False,Control+IFNγ
CDK4,242,344,0.819354236125946,0.9316807985305786,0.1931665688753128,0.2646771460771561,0.4569443702697754,False,False,Control+IFNγ
