t_spread,energy,two_dmu,prop,beta,coverage_K1,global_energy
1.0,34.111454010009766,98.50164031982422,prop1_spread,,,
0.5,53.98805236816406,98.50164031982422,prop1_spread,,,
0.25,71.93505859375,98.50164031982422,prop1_spread,,,
0.1,86.70838928222656,98.50164031982422,prop1_spread,,,
0.01,97.24986267089844,98.50164031982422,prop1_spread,,,
0.0,98.50160217285156,98.50164031982422,prop1_spread,,,
,,,prop2_K1,0.0,8.229259490966797,8.229259490966797
,,,prop2_K1,0.1,8.229259490966797,8.229259490966797
,,,prop2_K1,1.0,8.229259490966797,8.229259490966797
,,,prop2_K1,10.0,8.229259490966797,8.229259490966797
,,,prop2_K1,1000.0,8.229259490966797,8.229259490966797
