pair,d_star,delta_rank,top1_flip_rate,incumbent_hit1,ours_hit1,cross_cos
A549+MCF7,(+)-JQ1,0.12,0.12,0.88,1.0,0.1028416827321052
A549+MCF7,Alendronate sodium trihydrate,0.78,0.66,0.34,0.98,0.0200904123485088
A549+MCF7,Alvespimycin (17-DMAG) HCl,0.38,0.38,0.6,0.98,0.1263496130704879
A549+MCF7,BMS-265246,0.46,0.5,0.52,0.98,-0.0013653612695634
A549+MCF7,Bosutinib (SKI-606),0.64,0.6,0.4,1.0,0.1052509695291519
A549+MCF7,Epothilone A,0.14,0.2,0.82,0.96,0.0725624859333038
A549+MCF7,Flavopiridol HCl,0.1,0.1,0.9,1.0,0.1225784569978714
A549+MCF7,Momelotinib (CYT387),0.94,0.76,0.24,0.98,0.0502927340567112
A549+MCF7,PFI-1 (PF-6405761),0.62,0.56,0.42,0.96,0.1119740456342697
A549+MCF7,"Patupilone (EPO906, Epothilone B)",0.72,0.6,0.4,1.0,0.0573094338178634
A549+MCF7,Rigosertib (ON-01910),0.6,0.44,0.48,0.92,0.1226951330900192
A549+MCF7,Tanespimycin (17-AAG),0.36,0.34,0.66,1.0,0.1305364221334457
A549+MCF7,Trametinib (GSK1120212),0.2,0.2,0.8,1.0,0.1170957460999488
A549+MCF7,Triamcinolone Acetonide,0.74,0.74,0.26,1.0,0.1236989796161651
A549+MCF7,UNC0631,0.2,0.82,0.22,0.66,0.0875886902213096
K562+A549,(+)-JQ1,0.28,0.28,0.72,1.0,0.0601658709347248
K562+A549,Bosutinib (SKI-606),1.46,0.98,0.02,1.0,-0.0144437551498413
K562+A549,Decitabine,0.52,0.52,0.48,1.0,0.0297643430531024
K562+A549,Epothilone A,0.0,0.0,0.88,0.88,-0.0462142452597618
K562+A549,Flavopiridol HCl,-6.96,0.42,0.74,0.6,0.0278898570686578
K562+A549,JNJ-7706621,0.34,0.64,0.38,0.92,-0.0101590417325496
K562+A549,KW-2449,0.96,0.62,0.36,0.84,0.0064775529317557
K562+A549,PHA-680632,1.14,0.8,0.16,0.82,0.0512673668563365
K562+A549,"Patupilone (EPO906, Epothilone B)",-4.84,0.28,0.76,0.78,0.0085765467956662
K562+A549,Rigosertib (ON-01910),0.12,0.12,0.88,1.0,0.0562002323567867
K562+A549,TG101209,0.98,0.7,0.28,0.9,0.0309345126152038
K562+A549,Tacedinaline (CI994),1.96,0.88,0.12,1.0,-0.014395740814507
K562+A549,"Temsirolimus (CCI-779, NSC 683864)",0.36,0.36,0.64,1.0,0.0457725077867507
K562+A549,"Tozasertib (VX-680, MK-0457)",0.86,0.68,0.28,0.96,0.05362518876791
K562+A549,YM155 (Sepantronium Bromide),0.1,0.1,0.9,1.0,0.0610042735934257
K562+MCF7,Alisertib (MLN8237),0.42,0.78,0.32,0.8,0.0461067222058773
K562+MCF7,Bosutinib (SKI-606),1.42,0.94,0.06,1.0,0.0093746371567249
K562+MCF7,Danusertib (PHA-739358),1.08,0.98,0.02,1.0,0.028596306219697
K562+MCF7,Dasatinib,0.66,0.66,0.34,1.0,0.0210181660950183
K562+MCF7,Epothilone A,0.46,0.34,0.38,0.72,0.0054143564775586
K562+MCF7,KW-2449,0.92,0.9,0.1,0.56,-0.017207158729434
K562+MCF7,Nilotinib (AMN-107),1.04,0.94,0.06,0.98,-0.0165484007447958
K562+MCF7,PHA-680632,1.08,0.88,0.1,0.8,0.0320148840546608
K562+MCF7,"Patupilone (EPO906, Epothilone B)",-5.22,0.24,0.84,0.76,0.0028098383918404
K562+MCF7,Rigosertib (ON-01910),0.2,0.16,0.82,0.98,0.0138199031352996
K562+MCF7,Tacedinaline (CI994),1.86,0.84,0.16,0.98,0.0064181545749306
K562+MCF7,"Tozasertib (VX-680, MK-0457)",1.32,0.92,0.06,0.98,0.0148721365258097
K562+MCF7,Trametinib (GSK1120212),0.48,0.48,0.52,1.0,0.0265788808465003
K562+MCF7,Triamcinolone Acetonide,0.32,0.32,0.68,1.0,0.0448275618255138
K562+MCF7,Vandetanib (ZD6474),2.5,0.98,0.02,0.88,0.0203582011163234
