divergence_stratum,task,hit@1_mean,n,method,metric,hit@5_mean
high(<0.3),controlled,0.18333333333333332,60,mean_cosine,hit@1,
mid(0.3-0.6),controlled,0.5,30,mean_cosine,hit@1,
high(<0.3),crossline,0.41759259259259257,1080,mean_cosine,hit@1,
low(0.6-0.9),frangieh,1.0,5,mean_cosine,hit@1,
mid(0.3-0.6),frangieh,1.0,5,mean_cosine,hit@1,
high(<0.3),frangieh,0.55,80,mean_cosine,hit@1,
high(<0.3),controlled,,60,mean_cosine,hit@5,1.0
mid(0.3-0.6),controlled,,30,mean_cosine,hit@5,1.0
high(<0.3),crossline,,1080,mean_cosine,hit@5,0.9925925925925926
low(0.6-0.9),frangieh,,5,mean_cosine,hit@5,1.0
mid(0.3-0.6),frangieh,,5,mean_cosine,hit@5,1.0
high(<0.3),frangieh,,80,mean_cosine,hit@5,0.875
high(<0.3),controlled,0.8,60,global_energy,hit@1,
mid(0.3-0.6),controlled,0.9333333333333333,30,global_energy,hit@1,
high(<0.3),crossline,0.9157407407407407,1080,global_energy,hit@1,
low(0.6-0.9),frangieh,1.0,5,global_energy,hit@1,
mid(0.3-0.6),frangieh,1.0,5,global_energy,hit@1,
high(<0.3),frangieh,0.525,80,global_energy,hit@1,
high(<0.3),controlled,,60,global_energy,hit@5,1.0
mid(0.3-0.6),controlled,,30,global_energy,hit@5,1.0
high(<0.3),crossline,,1080,global_energy,hit@5,0.9657407407407408
low(0.6-0.9),frangieh,,5,global_energy,hit@5,1.0
mid(0.3-0.6),frangieh,,5,global_energy,hit@5,1.0
high(<0.3),frangieh,,80,global_energy,hit@5,0.9
high(<0.3),controlled,0.8,60,coverage_mean,hit@1,
mid(0.3-0.6),controlled,0.8333333333333334,30,coverage_mean,hit@1,
high(<0.3),crossline,0.8268518518518518,1080,coverage_mean,hit@1,
low(0.6-0.9),frangieh,0.6,5,coverage_mean,hit@1,
mid(0.3-0.6),frangieh,1.0,5,coverage_mean,hit@1,
high(<0.3),frangieh,0.4625,80,coverage_mean,hit@1,
high(<0.3),controlled,,60,coverage_mean,hit@5,1.0
mid(0.3-0.6),controlled,,30,coverage_mean,hit@5,1.0
high(<0.3),crossline,,1080,coverage_mean,hit@5,0.9361111111111111
low(0.6-0.9),frangieh,,5,coverage_mean,hit@5,1.0
mid(0.3-0.6),frangieh,,5,coverage_mean,hit@5,1.0
high(<0.3),frangieh,,80,coverage_mean,hit@5,0.825
high(<0.3),controlled,0.55,60,coverage_worst,hit@1,
mid(0.3-0.6),controlled,0.7,30,coverage_worst,hit@1,
high(<0.3),crossline,0.600925925925926,1080,coverage_worst,hit@1,
low(0.6-0.9),frangieh,0.8,5,coverage_worst,hit@1,
mid(0.3-0.6),frangieh,1.0,5,coverage_worst,hit@1,
high(<0.3),frangieh,0.475,80,coverage_worst,hit@1,
high(<0.3),controlled,,60,coverage_worst,hit@5,1.0
mid(0.3-0.6),controlled,,30,coverage_worst,hit@5,1.0
high(<0.3),crossline,,1080,coverage_worst,hit@5,0.812962962962963
low(0.6-0.9),frangieh,,5,coverage_worst,hit@5,1.0
mid(0.3-0.6),frangieh,,5,coverage_worst,hit@5,1.0
high(<0.3),frangieh,,80,coverage_worst,hit@5,0.6625
high(<0.3),controlled,0.18333333333333332,60,cmap_cosine,hit@1,
mid(0.3-0.6),controlled,0.5,30,cmap_cosine,hit@1,
high(<0.3),crossline,0.41759259259259257,1080,cmap_cosine,hit@1,
low(0.6-0.9),frangieh,1.0,5,cmap_cosine,hit@1,
mid(0.3-0.6),frangieh,1.0,5,cmap_cosine,hit@1,
high(<0.3),frangieh,0.55,80,cmap_cosine,hit@1,
high(<0.3),controlled,,60,cmap_cosine,hit@5,1.0
mid(0.3-0.6),controlled,,30,cmap_cosine,hit@5,1.0
