task,setting,method,top1_flip_rate,mean_topk_overlap,mean_delta_rank,n_queries
controlled,A549,cmap_cosine,0.6666666666666666,0.3029100529100529,-0.6666666666666666,30
controlled,A549,cmap_wtcs,0.5,0.291005291005291,-0.36666666666666664,30
controlled,A549,coverage_mean,0.2,0.39285714285714285,-0.13333333333333333,30
controlled,A549,coverage_worst,0.36666666666666664,0.36111111111111105,-0.3,30
controlled,A549,mean_cosine,0.6666666666666666,0.3029100529100529,-0.6666666666666666,30
controlled,A549,pca_dist,0.03333333333333333,0.6555555555555554,0.03333333333333333,30
controlled,A549,pca_mean,0.23333333333333334,0.3194444444444444,-0.16666666666666666,30
controlled,K562,cmap_cosine,0.5666666666666667,0.3055555555555555,-0.6,30
controlled,K562,cmap_wtcs,0.6,0.4186507936507936,-0.43333333333333335,30
controlled,K562,coverage_mean,0.26666666666666666,0.6095238095238095,0.1,30
controlled,K562,coverage_worst,0.5666666666666667,0.5777777777777777,-0.36666666666666664,30
controlled,K562,mean_cosine,0.5666666666666667,0.3055555555555555,-0.6,30
controlled,K562,pca_dist,0.06666666666666667,0.6476190476190475,-0.06666666666666667,30
controlled,K562,pca_mean,0.4666666666666667,0.35317460317460314,-0.5,30
controlled,MCF7,cmap_cosine,0.43333333333333335,0.49007936507936506,-0.43333333333333335,30
controlled,MCF7,cmap_wtcs,0.5,0.5,-0.5,30
controlled,MCF7,coverage_mean,0.16666666666666666,0.5682539682539682,-0.1,30
controlled,MCF7,coverage_worst,0.3,0.5492063492063491,-0.26666666666666666,30
controlled,MCF7,mean_cosine,0.43333333333333335,0.49007936507936506,-0.43333333333333335,30
controlled,MCF7,pca_dist,0.06666666666666667,0.8253968253968254,-0.06666666666666667,30
controlled,MCF7,pca_mean,0.16666666666666666,0.5408730158730158,-0.16666666666666666,30
crossline,A549+MCF7,cmap_cosine,0.4722222222222222,0.33298059964726634,-0.4722222222222222,360
crossline,A549+MCF7,cmap_wtcs,0.39166666666666666,0.2610449735449735,-0.5305555555555556,360
crossline,A549+MCF7,coverage_mean,0.15833333333333333,0.5434413580246914,-0.7583333333333333,360
crossline,A549+MCF7,coverage_worst,0.4083333333333333,0.3638227513227513,-3.0416666666666665,360
crossline,A549+MCF7,mean_cosine,0.4722222222222222,0.33298059964726634,-0.4722222222222222,360
crossline,A549+MCF7,pca_dist,0.10555555555555556,0.659755291005291,-0.5083333333333333,360
crossline,A549+MCF7,pca_mean,0.4527777777777778,0.3967702821869489,-0.6944444444444444,360
crossline,K562+A549,cmap_cosine,0.5638888888888889,0.2995811287477954,0.55,360
crossline,K562+A549,cmap_wtcs,0.5333333333333333,0.3011904761904762,0.44166666666666665,360
crossline,K562+A549,coverage_mean,0.2388888888888889,0.5168209876543209,-0.1,360
crossline,K562+A549,coverage_worst,0.44722222222222224,0.32679673721340385,-1.9166666666666667,360
crossline,K562+A549,mean_cosine,0.5638888888888889,0.2995811287477954,0.55,360
crossline,K562+A549,pca_dist,0.1361111111111111,0.6492724867724868,0.7472222222222222,360
crossline,K562+A549,pca_mean,0.49444444444444446,0.3726300705467372,0.6166666666666667,360
crossline,K562+MCF7,cmap_cosine,0.7027777777777777,0.4539462081128747,-0.19444444444444445,360
crossline,K562+MCF7,cmap_wtcs,0.5555555555555556,0.4541556437389771,-0.06666666666666667,360
crossline,K562+MCF7,coverage_mean,0.125,0.6035383597883598,0.06944444444444445,360
crossline,K562+MCF7,coverage_worst,0.38055555555555554,0.4403880070546737,-1.8944444444444444,360
crossline,K562+MCF7,mean_cosine,0.7027777777777777,0.4539462081128747,-0.19444444444444445,360
crossline,K562+MCF7,pca_dist,0.08055555555555556,0.7457451499118166,0.5083333333333333,360
crossline,K562+MCF7,pca_mean,0.5944444444444444,0.5006944444444444,-0.05555555555555555,360
frangieh,Control+IFNγ,cmap_cosine,0.4777777777777778,0.3236331569664903,-0.022222222222222223,90
frangieh,Control+IFNγ,cmap_wtcs,0.6444444444444445,0.3041005291005291,-2.3,90
frangieh,Control+IFNγ,coverage_mean,0.4888888888888889,0.4949294532627866,-0.6444444444444445,90
frangieh,Control+IFNγ,coverage_worst,0.5666666666666667,0.2697530864197531,-4.055555555555555,90
frangieh,Control+IFNγ,mean_cosine,0.4777777777777778,0.3236331569664903,-0.022222222222222223,90
frangieh,Control+IFNγ,pca_dist,0.28888888888888886,0.6915343915343914,-1.1,90
frangieh,Control+IFNγ,pca_mean,0.5777777777777777,0.333994708994709,-1.9,90
