task,setting,method,hit@1,hit@5,mrr,ndcg@10,median_rank_proxy,n_queries
controlled,K562,mean_cosine,0.13333333333333333,1.0,0.5611111111111111,0.6757747946428813,1.9,30
controlled,K562,global_energy,0.7,1.0,0.85,0.8892789260714372,1.3,30
controlled,K562,coverage_mean,0.8333333333333334,1.0,0.9111111111111111,0.9341239671428611,1.2,30
controlled,K562,coverage_worst,0.5,1.0,0.7222222222222222,0.7936432511904858,1.6666666666666667,30
controlled,K562,cmap_cosine,0.13333333333333333,1.0,0.5611111111111111,0.6757747946428813,1.9,30
controlled,K562,cmap_wtcs,0.3,1.0,0.6444444444444444,0.7372865023809717,1.7333333333333334,30
controlled,K562,pca_mean,0.23333333333333334,1.0,0.611111111111111,0.7126818192857356,1.8,30
controlled,K562,pca_dist,0.6333333333333333,1.0,0.8166666666666667,0.8646742429762011,1.3666666666666667,30
controlled,A549,mean_cosine,0.26666666666666666,1.0,0.6333333333333333,0.7293484859524022,1.7333333333333334,30
controlled,A549,global_energy,0.9333333333333333,1.0,0.9666666666666667,0.9753953169047639,1.0666666666666667,30
controlled,A549,coverage_mean,0.8,1.0,0.9,0.9261859507142916,1.2,30
controlled,A549,coverage_worst,0.6333333333333333,1.0,0.8166666666666667,0.8646742429762011,1.3666666666666667,30
controlled,A549,cmap_cosine,0.26666666666666666,1.0,0.6333333333333333,0.7293484859524022,1.7333333333333334,30
controlled,A549,cmap_wtcs,0.5666666666666667,1.0,0.7833333333333333,0.8400695598809649,1.4333333333333333,30
controlled,A549,pca_mean,0.7666666666666667,1.0,0.8833333333333333,0.9138836091666734,1.2333333333333334,30
controlled,A549,pca_dist,0.9666666666666667,1.0,0.9833333333333333,0.9876976584523819,1.0333333333333334,30
controlled,MCF7,mean_cosine,0.4666666666666667,1.0,0.7333333333333333,0.8031625352381107,1.5333333333333334,30
controlled,MCF7,global_energy,0.9,1.0,0.95,0.9630929753571458,1.1,30
controlled,MCF7,coverage_mean,0.8,1.0,0.9,0.9261859507142916,1.2,30
controlled,MCF7,coverage_worst,0.6666666666666666,1.0,0.8277777777777777,0.8726122594047705,1.3666666666666667,30
controlled,MCF7,cmap_cosine,0.4666666666666667,1.0,0.7333333333333333,0.8031625352381107,1.5333333333333334,30
controlled,MCF7,cmap_wtcs,0.4666666666666667,1.0,0.7222222222222222,0.7944338850000136,1.6,30
controlled,MCF7,pca_mean,0.7333333333333333,1.0,0.8666666666666667,0.9015812676190554,1.2666666666666666,30
controlled,MCF7,pca_dist,0.8333333333333334,1.0,0.9166666666666666,0.9384882922619097,1.1666666666666667,30
crossline,K562+A549,mean_cosine,0.44166666666666665,0.9972222222222222,0.6822949735449736,0.7633536950482047,1.8333333333333333,360
crossline,K562+A549,global_energy,0.8861111111111111,0.9416666666666667,0.9152535452932229,0.9230263905061912,2.3833333333333333,360
crossline,K562+A549,coverage_mean,0.7833333333333333,0.9222222222222223,0.8438258949853154,0.8653979558524268,2.4833333333333334,360
crossline,K562+A549,coverage_worst,0.5888888888888889,0.8,0.6876864549839466,0.7272015780149694,4.3,360
crossline,K562+A549,cmap_cosine,0.44166666666666665,0.9972222222222222,0.6822949735449736,0.7633536950482047,1.8333333333333333,360
crossline,K562+A549,cmap_wtcs,0.49166666666666664,0.9777777777777777,0.6949226699226699,0.7708543901935357,1.9416666666666667,360
crossline,K562+A549,pca_mean,0.5083333333333333,0.9805555555555555,0.7203736772486773,0.7915127277825852,1.7666666666666666,360
crossline,K562+A549,pca_dist,0.8111111111111111,0.9611111111111111,0.8785495307693583,0.9045555751467158,1.636111111111111,360
crossline,A549+MCF7,mean_cosine,0.5305555555555556,0.9944444444444445,0.7535648148148149,0.8174350486514673,1.5555555555555556,360
crossline,A549+MCF7,global_energy,0.9638888888888889,0.9944444444444445,0.9784336419753086,0.9837672660298322,1.0833333333333333,360
crossline,A549+MCF7,coverage_mean,0.825,0.9416666666666667,0.8788456964845854,0.9025061305510649,1.8416666666666666,360
crossline,A549+MCF7,coverage_worst,0.5944444444444444,0.8138888888888889,0.6954142933685272,0.7336312560103628,4.125,360
crossline,A549+MCF7,cmap_cosine,0.5305555555555556,0.9944444444444445,0.7535648148148149,0.8174350486514673,1.5555555555555556,360
crossline,A549+MCF7,cmap_wtcs,0.6166666666666667,0.9833333333333333,0.7860985797827903,0.8399193145237995,1.613888888888889,360
crossline,A549+MCF7,pca_mean,0.5333333333333333,0.9805555555555555,0.7411925111925112,0.8049940349343692,1.7777777777777777,360
crossline,A549+MCF7,pca_dist,0.8722222222222222,0.9555555555555556,0.9101771528074418,0.9263663706302409,1.5916666666666666,360
crossline,K562+MCF7,mean_cosine,0.28055555555555556,0.9861111111111112,0.5881746031746031,0.6928781433670459,2.1277777777777778,360
crossline,K562+MCF7,global_energy,0.8972222222222223,0.9611111111111111,0.9293171820089605,0.9384736045403844,1.9333333333333333,360
crossline,K562+MCF7,coverage_mean,0.8722222222222222,0.9444444444444444,0.9080525001966779,0.9200737551971517,1.863888888888889,360
crossline,K562+MCF7,coverage_worst,0.6194444444444445,0.825,0.712180341308851,0.7506458157765593,3.827777777777778,360
crossline,K562+MCF7,cmap_cosine,0.28055555555555556,0.9861111111111112,0.5881746031746031,0.6928781433670459,2.1277777777777778,360
crossline,K562+MCF7,cmap_wtcs,0.4361111111111111,0.9833333333333333,0.6639417989417989,0.7485998844522802,2.0,360
crossline,K562+MCF7,pca_mean,0.38333333333333336,0.9805555555555555,0.6464351851851852,0.736197610162225,1.988888888888889,360
