divergence_stratum,hit@1_mean,n,predictor,retrieval
high(<0.3),0.7361111111111112,720,average_effect,dart_coverage
high(<0.3),0.8972222222222223,720,average_effect,dart_energy
high(<0.3),0.8847222222222222,720,average_effect,mean_cosine
high(<0.3),0.9013888888888889,720,average_effect,r2
high(<0.3),0.38333333333333336,720,nearest_neighbor,dart_coverage
high(<0.3),0.8902777777777777,720,nearest_neighbor,dart_energy
high(<0.3),0.9875,720,nearest_neighbor,mean_cosine
high(<0.3),0.8722222222222222,720,nearest_neighbor,r2
high(<0.3),0.6013888888888889,720,scgen,dart_coverage
high(<0.3),0.7111111111111111,720,scgen,dart_energy
high(<0.3),0.6,720,scgen,mean_cosine
high(<0.3),0.7402777777777778,720,scgen,r2
