pair,drug,seed,predictor,synth,induced_response_cosine
K562+A549,(+)-JQ1,0,real_blend,real,0.03374053076538062
K562+A549,(+)-JQ1,0,average_effect,cells,0.5811024298070205
K562+A549,(+)-JQ1,0,nearest_neighbor,cells,0.7959710940984853
K562+A549,(+)-JQ1,0,scgen,cells,0.7844578314987726
K562+A549,(+)-JQ1,0,average_effect,gaussian,
K562+A549,(+)-JQ1,0,nearest_neighbor,gaussian,
K562+A549,(+)-JQ1,0,scgen,gaussian,
K562+A549,(+)-JQ1,1,real_blend,real,0.03778816215742893
K562+A549,(+)-JQ1,1,average_effect,cells,0.5488728286199116
K562+A549,(+)-JQ1,1,nearest_neighbor,cells,0.8047148551765005
K562+A549,(+)-JQ1,1,scgen,cells,0.7828369258814663
K562+A549,(+)-JQ1,1,average_effect,gaussian,
K562+A549,(+)-JQ1,1,nearest_neighbor,gaussian,
K562+A549,(+)-JQ1,1,scgen,gaussian,
K562+A549,(+)-JQ1,2,real_blend,real,0.0044224436178818384
K562+A549,(+)-JQ1,2,average_effect,cells,0.6159299263513037
K562+A549,(+)-JQ1,2,nearest_neighbor,cells,0.8149227448254882
K562+A549,(+)-JQ1,2,scgen,cells,0.8493684724770284
K562+A549,(+)-JQ1,2,average_effect,gaussian,
K562+A549,(+)-JQ1,2,nearest_neighbor,gaussian,
K562+A549,(+)-JQ1,2,scgen,gaussian,
K562+A549,(+)-JQ1,3,real_blend,real,0.04672979616383696
K562+A549,(+)-JQ1,3,average_effect,cells,0.5457310261331731
K562+A549,(+)-JQ1,3,nearest_neighbor,cells,0.785508226321196
K562+A549,(+)-JQ1,3,scgen,cells,0.8454336166218274
K562+A549,(+)-JQ1,3,average_effect,gaussian,
K562+A549,(+)-JQ1,3,nearest_neighbor,gaussian,
K562+A549,(+)-JQ1,3,scgen,gaussian,
K562+A549,(+)-JQ1,4,real_blend,real,0.07279516215837688
K562+A549,(+)-JQ1,4,average_effect,cells,0.6170123214860594
K562+A549,(+)-JQ1,4,nearest_neighbor,cells,0.8031402401224763
K562+A549,(+)-JQ1,4,scgen,cells,0.8069234416508417
K562+A549,(+)-JQ1,4,average_effect,gaussian,
K562+A549,(+)-JQ1,4,nearest_neighbor,gaussian,
K562+A549,(+)-JQ1,4,scgen,gaussian,
K562+A549,(+)-JQ1,5,real_blend,real,0.0526369521464748
K562+A549,(+)-JQ1,5,average_effect,cells,0.5572805420383568
K562+A549,(+)-JQ1,5,nearest_neighbor,cells,0.8011834219970091
K562+A549,(+)-JQ1,5,scgen,cells,0.7324031679258741
K562+A549,(+)-JQ1,5,average_effect,gaussian,
K562+A549,(+)-JQ1,5,nearest_neighbor,gaussian,
K562+A549,(+)-JQ1,5,scgen,gaussian,
K562+A549,(+)-JQ1,6,real_blend,real,0.04922958081954864
K562+A549,(+)-JQ1,6,average_effect,cells,0.6091779483827756
K562+A549,(+)-JQ1,6,nearest_neighbor,cells,0.791498039177341
K562+A549,(+)-JQ1,6,scgen,cells,0.787895302202664
K562+A549,(+)-JQ1,6,average_effect,gaussian,
K562+A549,(+)-JQ1,6,nearest_neighbor,gaussian,
K562+A549,(+)-JQ1,6,scgen,gaussian,
K562+A549,(+)-JQ1,7,real_blend,real,-0.004791351930033919
K562+A549,(+)-JQ1,7,average_effect,cells,0.6044472313506845
K562+A549,(+)-JQ1,7,nearest_neighbor,cells,0.803616057034588
K562+A549,(+)-JQ1,7,scgen,cells,0.8136932617696577
K562+A549,(+)-JQ1,7,average_effect,gaussian,
K562+A549,(+)-JQ1,7,nearest_neighbor,gaussian,
K562+A549,(+)-JQ1,7,scgen,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),0,real_blend,real,-0.030859220268222014
K562+A549,2-Methoxyestradiol (2-MeOE2),0,average_effect,cells,0.11625754234113286
K562+A549,2-Methoxyestradiol (2-MeOE2),0,nearest_neighbor,cells,0.2287756273846182
K562+A549,2-Methoxyestradiol (2-MeOE2),0,scgen,cells,0.18642986913113252
K562+A549,2-Methoxyestradiol (2-MeOE2),0,average_effect,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),0,nearest_neighbor,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),0,scgen,gaussian,
K562+A549,2-Methoxyestradiol (2-MeOE2),1,real_blend,real,-0.01912267289437895
K562+A549,2-Methoxyestradiol (2-MeOE2),1,average_effect,cells,0.06180400913284483
