line,lambda,alpha,scorer,hit@1,hit@5,mrr,mean_rank,n_seeds
K562,0.0,0.5,mean_cosine,0.25,1.0,0.5277777777777777,2.3333333333333335,12
K562,0.0,0.5,global_energy,0.08333333333333333,1.0,0.4305555555555555,2.5833333333333335,12
K562,0.0,0.5,coverage_worst,0.16666666666666666,1.0,0.5138888888888888,2.25,12
K562,0.0,0.633,mean_cosine,0.16666666666666666,1.0,0.45138888888888884,2.6666666666666665,12
K562,0.0,0.633,global_energy,0.16666666666666666,1.0,0.47222222222222215,2.5,12
K562,0.0,0.633,coverage_worst,0.16666666666666666,1.0,0.5138888888888888,2.25,12
K562,0.0,0.767,mean_cosine,0.0,1.0,0.4305555555555555,2.4166666666666665,12
K562,0.0,0.767,global_energy,0.08333333333333333,1.0,0.4166666666666667,2.6666666666666665,12
K562,0.0,0.767,coverage_worst,0.3333333333333333,1.0,0.5833333333333333,2.1666666666666665,12
K562,0.0,0.9,mean_cosine,0.3333333333333333,1.0,0.5833333333333333,2.1666666666666665,12
K562,0.0,0.9,global_energy,0.08333333333333333,1.0,0.47222222222222227,2.3333333333333335,12
K562,0.0,0.9,coverage_worst,0.16666666666666666,1.0,0.5277777777777778,2.1666666666666665,12
K562,0.15,0.5,mean_cosine,0.0,1.0,0.4444444444444444,2.3333333333333335,12
K562,0.15,0.5,global_energy,0.16666666666666666,1.0,0.5277777777777778,2.1666666666666665,12
K562,0.15,0.5,coverage_worst,0.16666666666666666,1.0,0.5416666666666666,2.0833333333333335,12
K562,0.15,0.633,mean_cosine,0.16666666666666666,1.0,0.5138888888888888,2.25,12
K562,0.15,0.633,global_energy,0.08333333333333333,1.0,0.45833333333333326,2.4166666666666665,12
K562,0.15,0.633,coverage_worst,0.08333333333333333,1.0,0.486111111111111,2.25,12
K562,0.15,0.767,mean_cosine,0.0,1.0,0.4583333333333333,2.25,12
K562,0.15,0.767,global_energy,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,0.15,0.767,coverage_worst,0.08333333333333333,1.0,0.4583333333333333,2.4166666666666665,12
K562,0.15,0.9,mean_cosine,0.4166666666666667,1.0,0.6805555555555555,1.75,12
K562,0.15,0.9,global_energy,0.3333333333333333,1.0,0.6527777777777778,1.75,12
K562,0.15,0.9,coverage_worst,0.08333333333333333,1.0,0.4791666666666666,2.3333333333333335,12
K562,0.3,0.5,mean_cosine,0.0,1.0,0.4444444444444444,2.3333333333333335,12
K562,0.3,0.5,global_energy,0.3333333333333333,1.0,0.6527777777777778,1.75,12
K562,0.3,0.5,coverage_worst,0.25,1.0,0.5833333333333333,2.0,12
K562,0.3,0.633,mean_cosine,0.0,1.0,0.4861111111111111,2.0833333333333335,12
K562,0.3,0.633,global_energy,0.08333333333333333,1.0,0.5416666666666666,1.9166666666666667,12
K562,0.3,0.633,coverage_worst,0.16666666666666666,1.0,0.5555555555555555,2.0,12
K562,0.3,0.767,mean_cosine,0.0,1.0,0.5,2.0,12
K562,0.3,0.767,global_energy,0.08333333333333333,1.0,0.5416666666666666,1.9166666666666667,12
K562,0.3,0.767,coverage_worst,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,0.3,0.9,mean_cosine,0.25,1.0,0.625,1.75,12
K562,0.3,0.9,global_energy,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,12
K562,0.3,0.9,coverage_worst,0.16666666666666666,0.75,0.43343253968253964,4.25,12
K562,0.45,0.5,mean_cosine,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,0.45,0.5,global_energy,0.6666666666666666,1.0,0.8333333333333334,1.3333333333333333,12
K562,0.45,0.5,coverage_worst,0.3333333333333333,1.0,0.6527777777777778,1.75,12
K562,0.45,0.633,mean_cosine,0.0,1.0,0.4861111111111111,2.0833333333333335,12
K562,0.45,0.633,global_energy,0.16666666666666666,1.0,0.5833333333333334,1.8333333333333333,12
K562,0.45,0.633,coverage_worst,0.08333333333333333,1.0,0.5138888888888888,2.0833333333333335,12
K562,0.45,0.767,mean_cosine,0.0,1.0,0.4861111111111111,2.0833333333333335,12
K562,0.45,0.767,global_energy,0.08333333333333333,1.0,0.5416666666666666,1.9166666666666667,12
K562,0.45,0.767,coverage_worst,0.16666666666666666,1.0,0.5694444444444444,1.9166666666666667,12
K562,0.45,0.9,mean_cosine,0.25,1.0,0.611111111111111,1.8333333333333333,12
K562,0.45,0.9,global_energy,0.4166666666666667,1.0,0.7083333333333334,1.5833333333333333,12
K562,0.45,0.9,coverage_worst,0.25,0.6666666666666666,0.4842261904761904,4.25,12
K562,0.6,0.5,mean_cosine,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,0.6,0.5,global_energy,0.9166666666666666,1.0,0.9583333333333334,1.0833333333333333,12
K562,0.6,0.5,coverage_worst,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,12
K562,0.6,0.633,mean_cosine,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,0.6,0.633,global_energy,0.25,1.0,0.625,1.75,12
K562,0.6,0.633,coverage_worst,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,0.6,0.767,mean_cosine,0.0,1.0,0.4861111111111111,2.0833333333333335,12
K562,0.6,0.767,global_energy,0.16666666666666666,1.0,0.5833333333333334,1.8333333333333333,12
K562,0.6,0.767,coverage_worst,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,12
K562,0.6,0.9,mean_cosine,0.16666666666666666,1.0,0.5694444444444444,1.9166666666666667,12
K562,0.6,0.9,global_energy,0.4166666666666667,1.0,0.7083333333333334,1.5833333333333333,12
K562,0.6,0.9,coverage_worst,0.3333333333333333,0.8333333333333334,0.5666035353535354,3.1666666666666665,12
K562,0.75,0.5,mean_cosine,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,0.75,0.5,global_energy,0.9166666666666666,1.0,0.9583333333333334,1.0833333333333333,12
K562,0.75,0.5,coverage_worst,0.4166666666666667,1.0,0.6944444444444443,1.6666666666666667,12
K562,0.75,0.633,mean_cosine,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,0.75,0.633,global_energy,0.6666666666666666,1.0,0.8333333333333334,1.3333333333333333,12
K562,0.75,0.633,coverage_worst,0.08333333333333333,1.0,0.5416666666666666,1.9166666666666667,12
K562,0.75,0.767,mean_cosine,0.0,1.0,0.4861111111111111,2.0833333333333335,12
K562,0.75,0.767,global_energy,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,12
K562,0.75,0.767,coverage_worst,0.25,1.0,0.625,1.75,12
K562,0.75,0.9,mean_cosine,0.16666666666666666,1.0,0.5694444444444444,1.9166666666666667,12
K562,0.75,0.9,global_energy,0.4166666666666667,1.0,0.7083333333333334,1.5833333333333333,12
K562,0.75,0.9,coverage_worst,0.3333333333333333,0.9166666666666666,0.5910714285714286,2.5,12
K562,0.9,0.5,mean_cosine,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,0.9,0.5,global_energy,0.9166666666666666,1.0,0.9583333333333334,1.0833333333333333,12
K562,0.9,0.5,coverage_worst,0.6666666666666666,1.0,0.8194444444444443,1.4166666666666667,12
K562,0.9,0.633,mean_cosine,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,0.9,0.633,global_energy,0.6666666666666666,1.0,0.8333333333333334,1.3333333333333333,12
K562,0.9,0.633,coverage_worst,0.08333333333333333,1.0,0.5416666666666666,1.9166666666666667,12
K562,0.9,0.767,mean_cosine,0.0,1.0,0.4861111111111111,2.0833333333333335,12
K562,0.9,0.767,global_energy,0.5,1.0,0.75,1.5,12
K562,0.9,0.767,coverage_worst,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,12
K562,0.9,0.9,mean_cosine,0.16666666666666666,1.0,0.5694444444444444,1.9166666666666667,12
K562,0.9,0.9,global_energy,0.4166666666666667,1.0,0.7083333333333334,1.5833333333333333,12
K562,0.9,0.9,coverage_worst,0.4166666666666667,1.0,0.673611111111111,1.8333333333333333,12
K562,1.05,0.5,mean_cosine,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,1.05,0.5,global_energy,1.0,1.0,1.0,1.0,12
K562,1.05,0.5,coverage_worst,0.75,1.0,0.875,1.25,12
K562,1.05,0.633,mean_cosine,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,1.05,0.633,global_energy,0.8333333333333334,1.0,0.9166666666666666,1.1666666666666667,12
K562,1.05,0.633,coverage_worst,0.25,1.0,0.625,1.75,12
K562,1.05,0.767,mean_cosine,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,1.05,0.767,global_energy,0.5,1.0,0.75,1.5,12
K562,1.05,0.767,coverage_worst,0.5833333333333334,1.0,0.7916666666666666,1.4166666666666667,12
K562,1.05,0.9,mean_cosine,0.16666666666666666,1.0,0.5694444444444444,1.9166666666666667,12
K562,1.05,0.9,global_energy,0.4166666666666667,1.0,0.7083333333333334,1.5833333333333333,12
K562,1.05,0.9,coverage_worst,0.5833333333333334,1.0,0.75,1.6666666666666667,12
K562,1.2,0.5,mean_cosine,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,1.2,0.5,global_energy,1.0,1.0,1.0,1.0,12
K562,1.2,0.5,coverage_worst,0.8333333333333334,1.0,0.9166666666666666,1.1666666666666667,12
K562,1.2,0.633,mean_cosine,0.0,1.0,0.45833333333333326,2.25,12
K562,1.2,0.633,global_energy,1.0,1.0,1.0,1.0,12
K562,1.2,0.633,coverage_worst,0.75,1.0,0.875,1.25,12
K562,1.2,0.767,mean_cosine,0.0,1.0,0.47222222222222215,2.1666666666666665,12
K562,1.2,0.767,global_energy,0.5833333333333334,1.0,0.7916666666666666,1.4166666666666667,12
K562,1.2,0.767,coverage_worst,0.5,1.0,0.736111111111111,1.5833333333333333,12
