recommendation_mode,dart_method,n_queries,n_queries_unmatched,mean_regret_reduction,median_regret_reduction,mean_ndcg_gain,n_ndcg_defined,mean_minority_cov_gain,frac_regret_improved
DART_recommended,DART_energy,621,0,0.17587228212955494,0.055713653564453125,-0.012726506013772457,480,0.0035878927380782887,0.6006441223832528
DART_recommended,DART_mmd,621,0,0.17852726689091436,0.0604209899902344,-0.009988772826863309,480,0.003617639593930768,0.605475040257649
DART_recommended,DART_sliced_wasserstein,621,0,0.16334356470768385,0.05907630920410162,-0.013362241394581705,480,0.00300357109404184,0.6183574879227053
DART_recommended,DART_coverage_mean,621,0,0.2194076175658983,0.09037590026855472,-0.021476531701888346,480,0.004850010706476913,0.644122383252818
DART_recommended,DART_coverage_worst,621,0,0.2676906293908947,0.1190042495727539,-0.03690808827198873,480,0.005511064461278632,0.7198067632850241
mean_or_no_call,DART_energy,133,0,0.11442571654355616,0.0486907958984375,-0.01428649013365252,109,0.002181261231557293,0.6165413533834586
mean_or_no_call,DART_mmd,133,0,0.11552188988018752,0.0441474914550781,-0.016693851704906348,109,0.002165255669250995,0.6240601503759399
mean_or_no_call,DART_sliced_wasserstein,133,0,0.11355852542963243,0.031003952026367188,-0.027851164339533347,109,0.001768151843473319,0.5864661654135338
mean_or_no_call,DART_coverage_mean,133,0,0.17169933749320812,0.09691810607910156,-0.03854564556187685,109,0.0023941354991266445,0.6541353383458647
mean_or_no_call,DART_coverage_worst,133,0,0.21214559741486283,0.1219387054443359,-0.034342216076945244,109,0.002759908702725126,0.7518796992481203
mean_sufficient,DART_energy,11,0,-0.10383744673295454,0.0,-0.006717898115665533,11,-0.01495744250230416,0.18181818181818182
mean_sufficient,DART_mmd,11,0,0.13789107582785864,0.0,-0.005376258812176157,11,-0.006069829355616124,0.36363636363636365
mean_sufficient,DART_sliced_wasserstein,11,0,-0.344680439342152,0.0,-0.012183191739151137,11,-0.027306798905920814,0.09090909090909091
mean_sufficient,DART_coverage_mean,11,0,0.0921989787708629,0.0,-0.031067200908899976,11,-0.006589159299174555,0.36363636363636365
mean_sufficient,DART_coverage_worst,11,0,0.2581901550292969,0.0,-0.07132530971575174,11,0.018968082454993433,0.36363636363636365
