group,pair,drug,recorded_delta,mean,sd,min,max,n_dominant,n_seeds
recorded_dominant,A549->MCF7,Abexinostat (PCI-24781),0.08667539060115814,0.08957527577877045,0.013020572718238204,0.060608118772506714,0.10351255536079407,10,10
recorded_dominant,A549->MCF7,Belinostat (PXD101),0.05831870436668396,0.08115492016077042,0.026610230879763892,0.04456907510757446,0.13112960755825043,10,10
recorded_dominant,K562->A549,AG-490 (Tyrphostin B42),0.023947596549987793,0.0076965376734733585,0.010462417213532608,0.0,0.029445931315422058,3,10
recorded_dominant,K562->A549,Alvespimycin (17-DMAG) HCl,0.026029057800769806,0.008845838159322739,0.011545905568566418,0.0,0.029359757900238037,3,10
recorded_dominant,K562->A549,Costunolide,0.030427299439907074,0.01111859604716301,0.011023317655725966,0.0,0.02643413096666336,5,10
recorded_dominant,K562->A549,Droxinostat,0.03441445529460907,0.006842058151960373,0.012996937691122427,-0.0029044896364212036,0.033203236758708954,2,10
recorded_dominant,K562->A549,IOX2,0.03385210782289505,0.00641433298587799,0.010867467980716623,0.0,0.03149735927581787,2,10
recorded_dominant,K562->A549,SRT2104 (GSK2245840),0.015442825853824615,0.009412986785173416,0.013043041041835705,-0.0026728808879852295,0.030077382922172546,3,10
recorded_dominant,K562->A549,Sirtinol,0.032652296125888824,0.012400825321674348,0.013879639120299327,-0.002183273434638977,0.030279405415058136,5,10
recorded_dominant,K562->A549,UNC0379,0.025975242257118225,0.011648818850517273,0.013327237108603868,-0.0031027793884277344,0.029916860163211823,4,10
control,K562->A549,Amisulpride,0.008570760488510132,0.011464124172925949,0.014013105327433726,-0.0008622705936431885,0.03212457895278931,4,10
control,K562->A549,Disulfiram,0.002690345048904419,0.005534447729587555,0.010265886188390553,-0.001796826720237732,0.02754823863506317,2,10
control,K562->A549,GSK J1,0.0026861578226089478,0.00890292227268219,0.012025557329123672,0.0,0.030525758862495422,3,10
control,K562->A549,WP1066,0.0018798261880874634,0.009226963669061661,0.012074833031046003,-0.003950938582420349,0.028918974101543427,4,10
control,K562->MCF7,Abexinostat (PCI-24781),0.0018156170845031738,0.0018706560134887696,0.005352135735622806,0.0,0.01791130006313324,1,10
