context,drug,predictor,cos_within,model_class,cos_vs_real_control,cos_vs_model_baseline,baseline_kind
A549,(+)-JQ1,real_cells,0.5483730484713641,REAL treated cells,,,
A549,(+)-JQ1,average_effect,,ADDITIVE (gene space),0.9999999999999993,0.9999999999999993,identity
A549,(+)-JQ1,linear_latent,,ADDITIVE (latent) + linear decoder,0.610223003525597,0.9999999999999762,reconstruction
A549,(+)-JQ1,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.7929801190760298,0.9709347504502864,reconstruction
A549,(+)-JQ1,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.6385773844973901,0.6385773844973901,identity
A549,2-Methoxyestradiol (2-MeOE2),real_cells,0.33120684708624837,REAL treated cells,,,
A549,2-Methoxyestradiol (2-MeOE2),average_effect,,ADDITIVE (gene space),0.9999999999999886,0.9999999999999886,identity
A549,2-Methoxyestradiol (2-MeOE2),linear_latent,,ADDITIVE (latent) + linear decoder,-0.03370333918412348,0.9999999999999335,reconstruction
A549,2-Methoxyestradiol (2-MeOE2),scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.26352698954598547,0.9857011550952444,reconstruction
A549,2-Methoxyestradiol (2-MeOE2),ot_map,,per-cell OT displacement (NON-ADDITIVE),0.6256678250755853,0.6256678250755853,identity
A549,A-366,real_cells,0.154931656212845,REAL treated cells,,,
A549,A-366,average_effect,,ADDITIVE (gene space),0.9999999999999843,0.9999999999999843,identity
A549,A-366,linear_latent,,ADDITIVE (latent) + linear decoder,-0.13339617634158185,0.9999999999989894,reconstruction
A549,A-366,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.19000435804140764,0.9733688980682917,reconstruction
A549,A-366,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.627849175532845,0.627849175532845,identity
A549,ABT-737,real_cells,0.13193642458783425,REAL treated cells,,,
A549,ABT-737,average_effect,,ADDITIVE (gene space),0.9999999999999851,0.9999999999999851,identity
A549,ABT-737,linear_latent,,ADDITIVE (latent) + linear decoder,-0.09475200444538118,0.9999999999998492,reconstruction
A549,ABT-737,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.10468552022979125,0.9869640486841961,reconstruction
A549,ABT-737,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.6526902117611539,0.6526902117611539,identity
A549,AC480 (BMS-599626),real_cells,0.08900585496785181,REAL treated cells,,,
A549,AC480 (BMS-599626),average_effect,,ADDITIVE (gene space),0.9999999999999857,0.9999999999999857,identity
A549,AC480 (BMS-599626),linear_latent,,ADDITIVE (latent) + linear decoder,-0.0652436661330403,0.9999999999998969,reconstruction
A549,AC480 (BMS-599626),scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.14097981063368284,0.9910566321092716,reconstruction
A549,AC480 (BMS-599626),ot_map,,per-cell OT displacement (NON-ADDITIVE),0.6491966110449757,0.6491966110449757,identity
A549,AG-14361,real_cells,0.08186925502413704,REAL treated cells,,,
A549,AG-14361,average_effect,,ADDITIVE (gene space),0.999999999999976,0.999999999999976,identity
A549,AG-14361,linear_latent,,ADDITIVE (latent) + linear decoder,-0.1404503902913253,0.9999999999988346,reconstruction
A549,AG-14361,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.12757698288397726,0.9903981595147201,reconstruction
A549,AG-14361,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.6287186320072449,0.6287186320072449,identity
A549,AG-490 (Tyrphostin B42),real_cells,-0.05685599456781488,REAL treated cells,,,
A549,AG-490 (Tyrphostin B42),average_effect,,ADDITIVE (gene space),0.9999999999999837,0.9999999999999837,identity
A549,AG-490 (Tyrphostin B42),linear_latent,,ADDITIVE (latent) + linear decoder,-0.08046737464314167,0.9999999999996108,reconstruction
A549,AG-490 (Tyrphostin B42),scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.2330210909567745,0.9816823071100479,reconstruction
A549,AG-490 (Tyrphostin B42),ot_map,,per-cell OT displacement (NON-ADDITIVE),0.6278006686744412,0.6278006686744412,identity
A549,AICAR (Acadesine),real_cells,-0.06422919445427534,REAL treated cells,,,
A549,AICAR (Acadesine),average_effect,,ADDITIVE (gene space),0.9999999999999746,0.9999999999999746,identity
A549,AICAR (Acadesine),linear_latent,,ADDITIVE (latent) + linear decoder,-0.1468024707574492,0.999999999999506,reconstruction
A549,AICAR (Acadesine),scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.07739846972120415,0.9842295280269067,reconstruction
A549,AICAR (Acadesine),ot_map,,per-cell OT displacement (NON-ADDITIVE),0.7004625029329365,0.7004625029329365,identity
A549,AMG-900,real_cells,0.40778202354103527,REAL treated cells,,,
A549,AMG-900,average_effect,,ADDITIVE (gene space),0.9999999999999973,0.9999999999999973,identity
A549,AMG-900,linear_latent,,ADDITIVE (latent) + linear decoder,0.49019098601635264,0.9999999999999895,reconstruction
A549,AMG-900,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.48699798430115915,0.9704337962158457,reconstruction
A549,AMG-900,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.6463213228577389,0.6463213228577389,identity
A549,AR-42,real_cells,0.5018619031244669,REAL treated cells,,,
A549,AR-42,average_effect,,ADDITIVE (gene space),0.9999999999999996,0.9999999999999996,identity
A549,AR-42,linear_latent,,ADDITIVE (latent) + linear decoder,0.8322959926509093,0.9999999999999938,reconstruction
A549,AR-42,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.8733355749935788,0.9794930949470292,reconstruction
A549,AR-42,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.7072719444318384,0.7072719444318384,identity
K562,(+)-JQ1,real_cells,0.6403274342980225,REAL treated cells,,,
K562,(+)-JQ1,average_effect,,ADDITIVE (gene space),0.9999999999999983,0.9999999999999983,identity
K562,(+)-JQ1,linear_latent,,ADDITIVE (latent) + linear decoder,0.5591430329892011,0.9999999999999688,reconstruction
K562,(+)-JQ1,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.7384391779955441,0.9548646892444926,reconstruction
K562,(+)-JQ1,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.7335023205147397,0.7335023205147397,identity
K562,2-Methoxyestradiol (2-MeOE2),real_cells,0.04593063445909702,REAL treated cells,,,
K562,2-Methoxyestradiol (2-MeOE2),average_effect,,ADDITIVE (gene space),0.999999999999985,0.999999999999985,identity
K562,2-Methoxyestradiol (2-MeOE2),linear_latent,,ADDITIVE (latent) + linear decoder,-0.0007122927676283254,0.9999999999999105,reconstruction
K562,2-Methoxyestradiol (2-MeOE2),scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.37694855365455715,0.9650554100929161,reconstruction
K562,2-Methoxyestradiol (2-MeOE2),ot_map,,per-cell OT displacement (NON-ADDITIVE),0.7531751119514855,0.7531751119514855,identity
K562,A-366,real_cells,0.0008469509692672907,REAL treated cells,,,
K562,A-366,average_effect,,ADDITIVE (gene space),0.9999999999999757,0.9999999999999757,identity
K562,A-366,linear_latent,,ADDITIVE (latent) + linear decoder,-0.07324488984220964,0.9999999999980083,reconstruction
K562,A-366,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.27567347248923485,0.9668870890951633,reconstruction
K562,A-366,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.7458412667337913,0.7458412667337913,identity
K562,ABT-737,real_cells,0.001333505604658772,REAL treated cells,,,
K562,ABT-737,average_effect,,ADDITIVE (gene space),0.9999999999999744,0.9999999999999744,identity
K562,ABT-737,linear_latent,,ADDITIVE (latent) + linear decoder,-0.04550959322069243,0.999999999999796,reconstruction
K562,ABT-737,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.18331314572235816,0.9793491388526849,reconstruction
K562,ABT-737,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.7929683075584593,0.7929683075584593,identity
K562,AC480 (BMS-599626),real_cells,0.10728011620046476,REAL treated cells,,,
K562,AC480 (BMS-599626),average_effect,,ADDITIVE (gene space),0.9999999999999768,0.9999999999999768,identity
K562,AC480 (BMS-599626),linear_latent,,ADDITIVE (latent) + linear decoder,-0.02400876872296525,0.9999999999998885,reconstruction
K562,AC480 (BMS-599626),scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.2279099849340758,0.9749608559226625,reconstruction
K562,AC480 (BMS-599626),ot_map,,per-cell OT displacement (NON-ADDITIVE),0.7697242524457898,0.7697242524457898,identity
K562,AG-14361,real_cells,-0.03416090284515741,REAL treated cells,,,
K562,AG-14361,average_effect,,ADDITIVE (gene space),0.9999999999999697,0.9999999999999697,identity
K562,AG-14361,linear_latent,,ADDITIVE (latent) + linear decoder,-0.07825698256187197,0.9999999999981002,reconstruction
K562,AG-14361,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.22319357721748384,0.9696740642283419,reconstruction
K562,AG-14361,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.7755704780544737,0.7755704780544737,identity
K562,AG-490 (Tyrphostin B42),real_cells,0.0910049540208986,REAL treated cells,,,
K562,AG-490 (Tyrphostin B42),average_effect,,ADDITIVE (gene space),0.9999999999999768,0.9999999999999768,identity
K562,AG-490 (Tyrphostin B42),linear_latent,,ADDITIVE (latent) + linear decoder,-0.035136672159360074,0.9999999999993142,reconstruction
K562,AG-490 (Tyrphostin B42),scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.33107325824610695,0.9683604481049368,reconstruction
K562,AG-490 (Tyrphostin B42),ot_map,,per-cell OT displacement (NON-ADDITIVE),0.767856870430393,0.767856870430393,identity
K562,AICAR (Acadesine),real_cells,-0.033222465371059315,REAL treated cells,,,
K562,AICAR (Acadesine),average_effect,,ADDITIVE (gene space),0.9999999999999618,0.9999999999999618,identity
K562,AICAR (Acadesine),linear_latent,,ADDITIVE (latent) + linear decoder,-0.08275678184195946,0.9999999999993396,reconstruction
K562,AICAR (Acadesine),scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.17705488552325066,0.9603937003567742,reconstruction
K562,AICAR (Acadesine),ot_map,,per-cell OT displacement (NON-ADDITIVE),0.7900257468413721,0.7900257468413721,identity
K562,AMG-900,real_cells,0.18101934377061918,REAL treated cells,,,
K562,AMG-900,average_effect,,ADDITIVE (gene space),0.9999999999999973,0.9999999999999973,identity
K562,AMG-900,linear_latent,,ADDITIVE (latent) + linear decoder,0.4409066511685376,0.9999999999999891,reconstruction
K562,AMG-900,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.2713767309079809,0.9713291102974408,reconstruction
K562,AMG-900,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.7718290033538762,0.7718290033538762,identity
K562,AR-42,real_cells,0.38285885938008235,REAL treated cells,,,
K562,AR-42,average_effect,,ADDITIVE (gene space),0.9999999999999994,0.9999999999999994,identity
K562,AR-42,linear_latent,,ADDITIVE (latent) + linear decoder,0.7986482043848394,0.9999999999999872,reconstruction
K562,AR-42,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.8141386740754064,0.9674749638142961,reconstruction
K562,AR-42,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.8624148940759929,0.8624148940759929,identity
MCF7,(+)-JQ1,real_cells,0.4011110811524069,REAL treated cells,,,
MCF7,(+)-JQ1,average_effect,,ADDITIVE (gene space),0.9999999999999991,0.9999999999999991,identity
MCF7,(+)-JQ1,linear_latent,,ADDITIVE (latent) + linear decoder,0.7937993660582371,0.9999999999999977,reconstruction
MCF7,(+)-JQ1,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.8814919110469666,0.9482977971170762,reconstruction
MCF7,(+)-JQ1,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.8631251881327019,0.8631251881327019,identity
MCF7,2-Methoxyestradiol (2-MeOE2),real_cells,0.33779253125117326,REAL treated cells,,,
MCF7,2-Methoxyestradiol (2-MeOE2),average_effect,,ADDITIVE (gene space),0.9999999999999915,0.9999999999999915,identity
MCF7,2-Methoxyestradiol (2-MeOE2),linear_latent,,ADDITIVE (latent) + linear decoder,0.18249077802152125,0.9999999999999649,reconstruction
MCF7,2-Methoxyestradiol (2-MeOE2),scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.5565711569693376,0.9683912560239679,reconstruction
MCF7,2-Methoxyestradiol (2-MeOE2),ot_map,,per-cell OT displacement (NON-ADDITIVE),0.8680031117190503,0.8680031117190503,identity
MCF7,A-366,real_cells,0.24992460997693874,REAL treated cells,,,
MCF7,A-366,average_effect,,ADDITIVE (gene space),0.9999999999999822,0.9999999999999822,identity
MCF7,A-366,linear_latent,,ADDITIVE (latent) + linear decoder,0.02932476477682811,0.9999999999996023,reconstruction
MCF7,A-366,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.4078712015882817,0.9726563167480903,reconstruction
MCF7,A-366,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.8702408127713839,0.8702408127713839,identity
MCF7,ABT-737,real_cells,0.30677547353420365,REAL treated cells,,,
MCF7,ABT-737,average_effect,,ADDITIVE (gene space),0.9999999999999851,0.9999999999999851,identity
MCF7,ABT-737,linear_latent,,ADDITIVE (latent) + linear decoder,0.09161729256731395,0.9999999999999521,reconstruction
MCF7,ABT-737,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.35846879623928163,0.9770051033281879,reconstruction
MCF7,ABT-737,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.8739852146117603,0.8739852146117603,identity
MCF7,AC480 (BMS-599626),real_cells,0.31081142527935846,REAL treated cells,,,
MCF7,AC480 (BMS-599626),average_effect,,ADDITIVE (gene space),0.999999999999987,0.999999999999987,identity
MCF7,AC480 (BMS-599626),linear_latent,,ADDITIVE (latent) + linear decoder,0.1366315578530801,0.999999999999855,reconstruction
MCF7,AC480 (BMS-599626),scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.3801483240937998,0.98279491607534,reconstruction
MCF7,AC480 (BMS-599626),ot_map,,per-cell OT displacement (NON-ADDITIVE),0.8740647243210427,0.8740647243210427,identity
MCF7,AG-14361,real_cells,0.16392640371423545,REAL treated cells,,,
MCF7,AG-14361,average_effect,,ADDITIVE (gene space),0.9999999999999807,0.9999999999999807,identity
MCF7,AG-14361,linear_latent,,ADDITIVE (latent) + linear decoder,0.017519301922027625,0.9999999999998704,reconstruction
MCF7,AG-14361,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.3245268014365339,0.974952838710713,reconstruction
MCF7,AG-14361,ot_map,,per-cell OT displacement (NON-ADDITIVE),0.8713710536228741,0.8713710536228741,identity
MCF7,AG-490 (Tyrphostin B42),real_cells,0.05686358072675186,REAL treated cells,,,
MCF7,AG-490 (Tyrphostin B42),average_effect,,ADDITIVE (gene space),0.9999999999999857,0.9999999999999857,identity
MCF7,AG-490 (Tyrphostin B42),linear_latent,,ADDITIVE (latent) + linear decoder,0.11367181654766878,0.9999999999998106,reconstruction
MCF7,AG-490 (Tyrphostin B42),scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.4980495330711423,0.9777945365181797,reconstruction
MCF7,AG-490 (Tyrphostin B42),ot_map,,per-cell OT displacement (NON-ADDITIVE),0.8619137137023147,0.8619137137023147,identity
MCF7,AICAR (Acadesine),real_cells,0.04194319058096758,REAL treated cells,,,
MCF7,AICAR (Acadesine),average_effect,,ADDITIVE (gene space),0.9999999999999785,0.9999999999999785,identity
MCF7,AICAR (Acadesine),linear_latent,,ADDITIVE (latent) + linear decoder,0.006769103158114962,0.9999999999997773,reconstruction
MCF7,AICAR (Acadesine),scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.2609070913344871,0.9568547599486966,reconstruction
MCF7,AICAR (Acadesine),ot_map,,per-cell OT displacement (NON-ADDITIVE),0.8791736563433193,0.8791736563433193,identity
MCF7,AMG-900,real_cells,0.26796606941604245,REAL treated cells,,,
MCF7,AMG-900,average_effect,,ADDITIVE (gene space),0.9999999999999986,0.9999999999999986,identity
MCF7,AMG-900,linear_latent,,ADDITIVE (latent) + linear decoder,0.7125475716322012,0.9999999999999968,reconstruction
MCF7,AMG-900,scgen_real,,additive latent delta + NONLINEAR decoder [published scGen],0.6420128406058354,0.9636103435354504,reconstruction
