context,drug,n_treated_0,n_treated_1,n_control_0,n_control_1,silhouette,cos_old,S_int_additive_null_sd,cos_old_additive_null_mean,cos_old_additive_null_sd,S_int,S_int_se,S_main,interaction_share,R_int
K562,(+)-JQ1,118,362,212,188,0.0814049456193756,0.6403274342980225,0.0004985982168609402,0.682219018640529,0.027356225931310103,-7.784258592484866e-05,6.750898240914132e-05,0.0030996588812422744,-0.025760197946338666,-0.009190387371995788
K562,2-Methoxyestradiol (2-MeOE2),188,255,212,188,0.0814049456193756,0.04593063445909702,0.0004985982168609402,0.282870918334092,0.06058320955336961,0.0002368802467977396,7.691209244128404e-05,0.00017831933717492047,0.5705213972789954,0.03555360846548574
K562,A-366,232,248,212,188,0.0814049456193756,0.0008469509692672907,0.0004985982168609402,0.20033277337572292,0.04994655526447425,-0.0003674771877875666,6.687808424158054e-05,-4.574325240026076e-05,,-0.05631381289177513
K562,ABT-737,241,239,212,188,0.0814049456193756,0.001333505604658772,0.0004985982168609402,0.19761182470066124,0.049923778476872877,5.537561561980157e-05,6.244131163563968e-05,1.5206467847049516e-05,0.7845562627208187,0.010377441305344693
K562,AC480 (BMS-599626),241,239,212,188,0.0814049456193756,0.10728011620046476,0.0004985982168609402,0.22896194416151197,0.03927712241043343,-0.00024320585862247436,5.3993505829629155e-05,0.0001201498787106334,,-0.0386718821702111
K562,AG-14361,222,258,212,188,0.0814049456193756,-0.03416090284515741,0.0004985982168609402,0.21352619140378262,0.05190400837195614,0.0001673922365479517,6.66927164770916e-05,-1.0458972466395207e-05,1.0666459882014547,0.02791943649163049
K562,AG-490 (Tyrphostin B42),218,262,212,188,0.0814049456193756,0.0910049540208986,0.0004985982168609402,0.2523754569874792,0.06225622821792723,4.66469371264536e-07,5.963675476029818e-05,0.00011107694150547745,0.004181953623239971,0.0018463785361274563
K562,AICAR (Acadesine),242,238,212,188,0.0814049456193756,-0.033222465371059315,0.0004985982168609402,0.19114790670756557,0.042983922711494836,-0.00025500738920711437,6.973055728388314e-05,-9.709563403809563e-05,,-0.03862894560139073
K562,AMG-900,312,168,212,188,0.0814049456193756,0.18101934377061918,0.0004985982168609402,0.3901362881967751,0.07169061871337269,0.00068373093151065,7.475266295067738e-05,0.0006181398009024869,0.5251911072947251,0.09679528415756986
K562,AR-42,141,323,212,188,0.0814049456193756,0.38285885938008235,0.0004985982168609402,0.6974039634539481,0.027204711712923133,0.00465493605142205,9.204677509404569e-05,0.0035145506227128994,0.5697954151954048,0.3958936430835016
K562,AT9283,236,211,212,188,0.0814049456193756,0.4521319195728528,0.0004985982168609402,0.45001523070780614,0.041667606597638025,0.0009920687612303602,8.24905361900117e-05,0.00190750125889299,0.34214340552057326,0.13912681255843512
K562,AZ 960,212,268,212,188,0.0814049456193756,0.047536317660671186,0.0004985982168609402,0.25606068229633894,0.04387639832536649,0.00041001440712169497,6.26777005986206e-05,0.0001763360264267684,0.6992651214400546,0.06343909262657826
A549,(+)-JQ1,145,335,203,197,0.06254632726142396,0.5483730484713641,0.0004596188625014101,0.5769563762564796,0.04617258209616556,0.00026836612907047764,4.397698762172863e-05,0.001446982640575278,0.15644989160186887,0.06626182114656207
A549,2-Methoxyestradiol (2-MeOE2),269,211,203,197,0.06254632726142396,0.33120684708624837,0.0004596188625014101,0.3187359513829306,0.06342132991579019,-0.00022934349445111923,5.7491337860881086e-05,0.00036592605447767474,-1.6791565072914754,-0.0585496904780061
A549,A-366,254,226,203,197,0.06254632726142396,0.154931656212845,0.0004596188625014101,0.2770035051402871,0.059293010141151736,0.00021304751200930074,4.402327931552694e-05,0.0002638853500691381,0.44670336005125566,0.05621244575440183
A549,ABT-737,239,241,203,197,0.06254632726142396,0.13193642458783425,0.0004596188625014101,0.2512880304961317,0.07220544606548439,0.00018942710379142244,3.885934125579838e-05,0.00018700889304421102,0.5032119812764178,0.05154873926862796
A549,AC480 (BMS-599626),262,218,203,197,0.06254632726142396,0.08900585496785181,0.0004596188625014101,0.26398522272256486,0.07181932506841245,0.00029027735407756563,5.724756637350534e-05,0.00020689621183234431,0.5838551644360054,0.07560812582772351
A549,AG-14361,272,208,203,197,0.06254632726142396,0.08186925502413704,0.0004596188625014101,0.26024405904789605,0.06706270513415112,8.291055198834753e-05,3.794216428319926e-05,7.483579927631002e-05,0.525594102961184,0.024432570787822645
A549,AG-490 (Tyrphostin B42),250,230,203,197,0.06254632726142396,-0.05685599456781488,0.0004596188625014101,0.20585730066275829,0.06798554593076163,0.00031715662448921107,2.9580889125011394e-05,5.473413906124617e-05,0.8528219992916819,0.0788656081910013
A549,AICAR (Acadesine),270,210,203,197,0.06254632726142396,-0.06422919445427534,0.0004596188625014101,0.24827149528230857,0.07144318339249982,0.000561977863301047,5.0497008001455456e-05,7.927829253227798e-05,0.8763703212653698,0.1312308732143606
A549,AMG-900,379,101,203,197,0.06254632726142396,0.40778202354103527,0.0004596188625014101,0.7139976549040938,0.03585514979994647,0.0014394759562065813,5.147530689145422e-05,0.0015431724773141762,0.4826167040100683,0.2455350192764309
A549,AR-42,136,344,203,197,0.06254632726142396,0.5018619031244669,0.0004596188625014101,0.8508384058325704,0.016584883100360305,0.0094927144333263,4.956815475070998e-05,0.006938347563154733,0.5777298165729831,0.7025403942400076
A549,AT9283,327,118,203,197,0.06254632726142396,0.2647369296486183,0.0004596188625014101,0.6425500364708641,0.040325932547871986,0.0020429192768146773,6.115072368513311e-05,0.001234918425516019,0.6232521138438508,0.3243798276915574
A549,AZ 960,297,183,203,197,0.06254632726142396,0.31443043922041125,0.0004596188625014101,0.4286053085979555,0.06160538058949773,0.0004445223622841733,3.237053374441645e-05,0.0005924004198501574,0.42869379470012114,0.10808920762709903
