conflict_variant,reliability_variant,metric,n_recommended,n_nonrecommended,recommended_gap_median,nonrecommended_gap_median,gap_of_gaps,mannwhitney_p,effect_size_rank_biserial,cross_cellline_pos_fraction,bh_qvalue
min_pairwise_cos_neg,gate_structure_reliability,minority_state_coverage,139,461,0.0022652517522510074,0.00023257553745037463,0.0020326762148006328,0.0015649970580230337,-0.1767973907208289,1.0,0.004694991174069101
true_divergence,gate_structure_reliability,minority_state_coverage,139,461,0.0022652517522510074,0.00023257553745037463,0.0020326762148006328,0.0015649970580230337,-0.1767973907208289,1.0,0.004694991174069101
true_divergence,structure_x_conflict,minority_state_coverage,162,438,0.00209324493964419,0.00032307570131739904,0.0017701692383267909,0.02130984008997792,-0.12232933085292297,1.0,0.03835771216196025
min_pairwise_cos_neg,structure_x_conflict,minority_state_coverage,162,438,0.00209324493964419,0.00032307570131739904,0.0017701692383267909,0.02130984008997792,-0.12232933085292297,1.0,0.03835771216196025
min_pairwise_cos_neg,minority_frac,minority_state_coverage,167,433,0.0011676259204334016,0.0004772641133777844,0.0006903618070556172,0.6760641718298759,-0.022002185006430475,1.0,0.8224122463808726
true_divergence,minority_frac,minority_state_coverage,167,433,0.0011676259204334016,0.0004772641133777844,0.0006903618070556172,0.6760641718298759,-0.022002185006430475,1.0,0.8224122463808726
gate_preference_conflict,gate_structure_reliability,minority_state_coverage,156,444,0.0011521243153828076,0.0005578422320007825,0.000594282083382025,0.6853435386507272,-0.02180064680064686,0.3333333333333333,0.8224122463808726
gate_preference_conflict,structure_x_conflict,minority_state_coverage,206,394,0.0007061281902976391,0.0006662031422418058,3.99250480558333e-05,0.8216102801314614,0.011211867330343517,0.3333333333333333,0.8372666880236169
gate_preference_conflict,gate_structure_reliability,moa_ndcg,156,444,0.0,0.0,0.0,0.7574325901824359,0.016516516516516533,0.0,0.8372666880236169
gate_preference_conflict,minority_frac,moa_ndcg,148,452,0.0,0.0,0.0,0.8372666880236169,-0.011181535517818642,0.0,0.8372666880236169
min_pairwise_cos_neg,gate_structure_reliability,moa_ndcg,139,461,0.0,0.0,0.0,0.01002305671155749,-0.1430577880428845,0.3333333333333333,0.022551877601004355
true_divergence,minority_frac,moa_ndcg,167,433,0.0,0.0,0.0,0.0007991830289260643,-0.17535368062950307,0.3333333333333333,0.0035963236301672892
gate_preference_conflict,structure_x_conflict,moa_ndcg,206,394,0.0,0.0,0.0,0.31611510907898444,-0.04949238578680193,0.0,0.47417266361847665
true_divergence,gate_structure_reliability,moa_ndcg,139,461,0.0,0.0,0.0,0.01002305671155749,-0.1430577880428845,0.3333333333333333,0.022551877601004355
min_pairwise_cos_neg,minority_frac,moa_ndcg,167,433,0.0,0.0,0.0,0.0007991830289260643,-0.17535368062950307,0.3333333333333333,0.0035963236301672892
true_divergence,structure_x_conflict,moa_ndcg,162,438,0.0,0.0,0.0,5.163483215945855e-05,-0.21370990472969154,0.6666666666666666,0.00046471348943512693
min_pairwise_cos_neg,structure_x_conflict,moa_ndcg,162,438,0.0,0.0,0.0,5.163483215945855e-05,-0.21370990472969154,0.6666666666666666,0.00046471348943512693
gate_preference_conflict,minority_frac,minority_state_coverage,148,452,0.0,0.0008816348953294417,-0.0008816348953294417,0.04036628026663005,0.11217412102367852,0.3333333333333333,0.06605391316357644
