cell_line,drug,G_oracle_vs_cos,corrected_flip_oracle_vs_cos,reverse_flip_oracle_vs_cos,RR_ref_oracle_vs_cos,RR_pop_oracle_vs_cos,G_oracle_vs_l2,corrected_flip_oracle_vs_l2,reverse_flip_oracle_vs_l2,RR_ref_oracle_vs_l2,RR_pop_oracle_vs_l2,A_sup,A_unsup,G_gap,S_int,S_main,interaction_share,R_int,D_old,norm_r_G1,norm_r_G2M,n_treated_G1,n_treated_G2M,G_pred_average_effect,G_pred_linear_latent,G_pred_nearest_context,G_pred_nearest_context_cells,G_pred_ot_map,H,H_l2,log_S_int
A-172,4EGI-1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9333333333333332,0.5933333333333334,0.3399999999999999,0.0005279793766223,0.0018536683378948,0.2216865968061133,0.4470163517319439,0.199544296975984,2.2512552738189697,2.196089744567871,584,205,0.0,0.0,-0.7214285714285714,-0.7766666666666666,0.0,0.0,0.0,-3.277383041091298
A-172,9-ING-41,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7983333333333333,0.525,0.2733333333333333,0.000134607809337,0.0006399908258269,0.1737774935642197,0.2320982627698221,0.2248009110591634,1.2909908294677734,1.406208872795105,2132,950,0.0,0.0,-0.31143356643356646,-0.2750310978114182,0.22666666666666666,0.0,0.0,-3.870929743577248
A-172,APTO-253,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7383333333333333,0.5333333333333333,0.2049999999999999,0.0001488123593541,0.0004073674324899,0.2675616078403844,0.244009416812057,0.3371291700113851,1.0980201959609983,1.178339958190918,775,411,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-3.8273609977123106
A-172,AT7519,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7583333333333333,0.5416666666666666,0.2166666666666666,5.861420488347196e-05,0.0004000808991905,0.1277846751859167,0.1137201111493816,0.2699474400330381,1.0276087522506714,1.1843693256378174,1214,633,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-4.231997121952546
A-172,AZD-7648,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.84,0.5166666666666666,0.3233333333333333,4.307643296973158e-05,0.0005638180921475,0.0709784504340519,0.0755240752642475,0.2184813617630396,1.2342529296875,1.3239790201187134,364,292,-0.5029657477025898,-0.4787593984962406,-0.8654271708683474,-0.5183806381790254,-0.24902894491129784,0.0,0.0,-4.365760266509165
A-172,AZD-8055,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.895,0.5183333333333333,0.3766666666666667,0.000363518569308,0.0014056426783402,0.205475091539134,0.4188803430035525,0.1845514732040406,2.049259901046753,1.805928468704224,1426,542,0.0,0.0,-0.4166666666666667,-0.6933333333333334,0.0,0.0,0.0,-3.4394733995449256
A-172,AZD1390,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7816666666666666,0.5566666666666666,0.2249999999999999,0.0007828997913748,0.0008191918643812,0.4886735341027337,0.6138209029824157,0.4129526108638592,1.2903985977172852,1.8930391073226929,789,373,0.2,0.2,-0.5210042735042736,-0.6604811854811855,0.17294871794871794,0.0,0.0,-3.1062938226649903
A-172,AZD2858,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.725,0.5216666666666666,0.2033333333333333,-6.64505106720349e-05,0.0003555099324633,-0.2298852957645656,-0.0751899282296323,0.3436680831329828,1.115249752998352,1.1661416292190552,195,121,0.0,0.0,-0.5111111111111111,0.0,0.1,0.0,0.0,-8.0
A-172,Abemaciclib,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.945,0.6566666666666667,0.2883333333333332,0.0003570969268265,0.0018677204847335,0.1605061723137791,0.4428882606105561,0.1403167437363245,2.140000104904175,2.2235805988311768,741,424,0.0,0.0,-0.6769979203802733,-0.6192307692307693,0.0,0.0,0.0,-3.447213887326221
A-172,Adagrasib,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.6566666666666666,0.5716666666666667,0.0849999999999999,4.900646155066271e-05,0.0003130880469042,0.1353416315529853,0.0892021774851013,0.3355820131497481,0.9872477054595948,1.0574419498443604,434,309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.309746654037037
A-172,Afatinib,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9333333333333332,0.62,0.3133333333333333,0.0002526134588859,0.001818065614336,0.1219954661988482,0.3678104058586661,0.1182813181706543,2.1117231845855717,2.168010950088501,1873,707,0.1,0.23333333333333334,0.0,-0.5,0.6766666666666666,0.0,0.0,-3.5975435145717953
