outcome,model,term,beta,ci_lo,ci_hi,p,r2,n,n_clusters
G_oracle_vs_cos,headroom only,const,0.0303473331060626,0.02794267865239999,0.032751987559725214,4.470719087816735e-135,0.6837226311438622,3992,44
G_oracle_vs_cos,headroom only,H,0.0782078945195891,0.07290088984195624,0.08351489919722195,1.9264709572008517e-183,0.6837226311438622,3992,44
G_oracle_vs_cos,headroom + interaction share,const,0.029886360387239085,0.0272397731337035,0.03253294764077467,1.530408373862356e-108,0.6851468597895934,3618,44
G_oracle_vs_cos,headroom + interaction share,H,0.0771489266239011,0.0710429273739991,0.0832549258738031,2.1895912304494923e-135,0.6851468597895934,3618,44
G_oracle_vs_cos,headroom + interaction share,interaction_share,0.00048030680861229757,-0.0021268317711204267,0.003087445388345022,0.7180400887844529,0.6851468597895934,3618,44
G_oracle_vs_cos,plus recoverability,const,0.029886360387239054,0.027329819168443282,0.03244290160603483,3.505059246453549e-116,0.6913797739466521,3618,44
G_oracle_vs_cos,plus recoverability,H,0.08106780103054746,0.07547274371318875,0.08666285834790617,2.1238375374230223e-177,0.6913797739466521,3618,44
G_oracle_vs_cos,plus recoverability,interaction_share,0.0010612679801920613,-0.0010885768662549646,0.0032111128266390874,0.3332773771281996,0.6913797739466521,3618,44
G_oracle_vs_cos,plus recoverability,A_sup,0.00836381063842534,0.005171247725263968,0.011556373551586712,2.8263451902230245e-07,0.6913797739466521,3618,44
G_oracle_vs_cos,plus interaction term,const,0.029886360387239054,0.02732253395345281,0.0324501868210253,1.5590369998848888e-115,0.6914620065169877,3618,44
G_oracle_vs_cos,plus interaction term,H,0.08175790141836889,0.07755500079266614,0.08596080204407164,0.0,0.6914620065169877,3618,44
G_oracle_vs_cos,plus interaction term,interaction_share,0.0019078125133185977,-0.0006897875865501759,0.004505412613187371,0.15000907655298779,0.6914620065169877,3618,44
G_oracle_vs_cos,plus interaction term,A_sup,0.008450264356314772,0.005053245373428586,0.011847283339200957,1.0852546831298813e-06,0.6914620065169877,3618,44
G_oracle_vs_cos,plus interaction term,H_x_share,-0.0013681474789440599,-0.007001155029632945,0.004264860071744825,0.6340480476086334,0.6914620065169877,3618,44
G_oracle_vs_l2,"headroom only, magnitude-controlled",const,0.01023004207487366,0.008356543243915548,0.01210354090583177,9.941586780337929e-27,0.4583771839087616,3992,44
G_oracle_vs_l2,"headroom only, magnitude-controlled",H_l2,0.03858292131031386,0.030678755754462123,0.046487086866165594,1.0978588017380191e-21,0.4583771839087616,3992,44
G_oracle_vs_l2,plus interaction share,const,0.007316170999691295,0.006096850307606378,0.008535491691776214,6.260017813880285e-32,0.34165671643988704,3618,44
G_oracle_vs_l2,plus interaction share,H_l2,0.02620142803312998,0.02215822387948828,0.030244632186771682,5.817277217774957e-37,0.34165671643988704,3618,44
G_oracle_vs_l2,plus interaction share,interaction_share,-0.0030650016900736314,-0.004751017476261551,-0.0013789859038857123,0.0003666252003924186,0.34165671643988704,3618,44
G_oracle_vs_l2,plus recoverability,const,0.007316170999691298,0.0061205151246074285,0.008511826874775167,3.8691418602410225e-33,0.34590676841161205,3618,44
G_oracle_vs_l2,plus recoverability,H_l2,0.027657434073596325,0.02312289029158976,0.03219197785560289,6.160539443641411e-33,0.34590676841161205,3618,44
G_oracle_vs_l2,plus recoverability,interaction_share,-0.002746634918373246,-0.004311730611589406,-0.001181539225157086,0.0005825712546369621,0.34590676841161205,3618,44
G_oracle_vs_l2,plus recoverability,A_sup,0.00330446180838518,0.0012566470855620657,0.005352276531208294,0.0015631266531538578,0.34590676841161205,3618,44
G_oracle_vs_l2,plus interaction term,const,0.007316170999691298,0.006133026102050351,0.008499315897332244,8.300230203912891e-34,0.3482879650793177,3618,44
G_oracle_vs_l2,plus interaction term,H_l2,0.028544713735636155,0.024370714164680982,0.03271871330659133,5.760178463992704e-41,0.3482879650793177,3618,44
