H_q,share_q,n,median_H,median_share,G_oracle_vs_cos,G_oracle_vs_l2,corrected_flip
Q1,Q1,162,0.0,0.05807994601168195,-0.0028395061728395065,0.0036419753086419757,0.0
Q1,Q2,182,0.0,0.13151456294921432,-0.0025641025641025645,-0.00045787545787545793,0.0
Q1,Q3,241,0.0,0.2121006878024779,-0.003015214384508991,0.0017963871075904272,0.0
Q1,Q4,320,0.0,0.35104916283071924,-0.006927083333333334,0.0011770833333333334,0.0
Q2,Q1,260,0.0,0.06218874616186865,-0.0013846153846153845,5.769230769230769e-05,0.0
Q2,Q2,263,0.0,0.1344996790116777,-0.0021546261089987325,0.0013307984790874527,0.0
Q2,Q3,242,0.0,0.20565198446752986,-0.0034435261707988986,-0.0010330578512396697,0.0
Q2,Q4,139,0.0,0.3205588078933554,-0.005275779376498801,-0.0007194244604316547,0.0
Q3,Q1,253,0.0,0.0649096233793645,-0.0031620553359683794,0.003623188405797102,0.0
Q3,Q2,274,0.0,0.13000170693858093,-0.0018421967327076816,0.0003232533889468196,0.0
Q3,Q3,213,0.0,0.2061369624069101,-0.003990610328638498,0.00023474178403755895,0.0
Q3,Q4,164,0.0,0.31359703151746865,-0.006565040650406504,0.002758420441347271,0.0
Q4,Q1,230,0.13333333333333341,0.029399702746576148,0.11777780389731864,0.03232730157026832,0.20260869565217393
Q4,Q2,185,0.13333333333333341,0.1331070306157744,0.12244057032568707,0.01968047466504817,0.21405405405405406
Q4,Q3,208,0.15000000000000002,0.20942415949760024,0.12389746208900104,0.015648746675452286,0.21634615384615385
Q4,Q4,282,0.19999999999999996,0.3498805190659245,0.14968986264058612,0.03297843446919058,0.24893617021276596
