cell_name,n_candidates_present,n_eligible,n_full_size,n_oracle_full,median_treated_cells,min_treated_cells,n_control_cells,n_control_samples,context_usable
A-172,92,92,92,87,1248.5,211,3254,2,True
A-427,92,91,85,69,615.0,99,1718,2,True
A498,92,92,91,88,982.5,182,2773,2,True
A549,92,92,92,88,1007.0,222,2138,2,True
AN3 CA,92,80,51,13,213.5,27,342,2,True
AsPC-1,92,91,91,84,832.0,79,1422,2,True
BT-474,92,91,91,77,624.0,31,1387,2,True
C-33 A,92,92,89,69,595.5,104,986,2,True
C32,92,91,89,70,646.5,74,1407,2,True
CFPAC-1,92,92,92,91,1132.0,345,2195,2,True
CHP-212,92,0,0,0,114.0,22,150,2,False
COLO 205,92,90,77,53,441.0,9,644,2,True
H4,92,86,61,27,269.0,33,459,2,True
HCT15,92,87,66,36,313.5,66,586,2,True
HEC-1-A,92,91,91,90,1121.0,93,2448,2,True
HOP62,92,92,91,88,1108.5,129,2489,2,True
HS-578T,92,91,90,81,705.0,97,1694,2,True
HT-29,92,91,91,90,908.0,66,1926,2,True
HepG2/C3A,92,90,85,56,445.5,87,648,2,True
Hs 766T,92,90,71,40,318.0,26,705,2,True
J82,92,92,91,88,1026.5,185,2674,2,True
KATO III,92,91,91,90,940.5,12,2057,2,True
LOX-IMVI,92,92,91,88,908.0,113,2021,2,True
LS 180,92,91,91,75,690.0,10,1530,2,True
LoVo,92,92,92,91,1202.0,397,2592,2,True
MIA PaCa-2,92,92,90,66,546.0,159,1354,2,True
NCI-H1573,92,92,91,75,767.5,126,1647,2,True
NCI-H1792,92,91,89,67,544.0,75,1319,2,True
NCI-H2030,92,92,92,89,1219.5,250,2934,2,True
NCI-H2122,92,0,0,0,19.5,3,37,2,False
NCI-H23,92,92,92,85,798.5,206,1787,2,True
NCI-H2347,92,92,92,91,1409.5,213,3106,2,True
NCI-H460,92,92,92,91,1473.5,236,2222,2,True
NCI-H596,92,0,0,0,13.0,1,27,2,False
NCI-H661,92,0,0,0,60.5,15,161,2,False
PANC-1,92,92,92,89,1330.0,304,3386,2,True
Panc 03.27,92,91,90,85,721.0,30,1575,2,True
RKO,92,91,90,81,883.5,13,1430,2,True
RPMI-7951,92,89,82,47,432.5,16,804,2,True
SHP-77,92,91,82,49,419.0,68,558,2,True
SK-MEL-2,92,90,87,52,448.0,39,957,2,True
SNU-1,92,89,65,22,254.0,50,455,2,True
SNU-423,92,92,91,85,786.0,170,2029,2,True
SW 1088,92,0,0,0,94.0,8,156,2,False
SW 1271,92,0,0,0,64.0,9,102,2,False
SW 900,92,91,90,69,512.5,98,1068,2,True
SW1417,92,92,91,88,881.5,137,1885,2,True
SW48,92,89,73,34,309.5,11,622,2,True
SW480,92,92,91,90,1904.5,134,3059,2,True
hTERT-HPNE,92,90,87,59,587.5,68,808,2,True
