cell_line,drug,n_treated_G1,n_treated_G2M,n_vehicle_G1,n_vehicle_G2M,S_int,S_int_se,S_main,interaction_share,R_int,R_int_se,half_norm_mean,n_repeats,D_old,induced_cosine,norm_r_G1,norm_r_G2M,z_perm,p_perm,null_sd
A-172,4EGI-1,584,205,400,400,0.0005279793766223722,9.414645291011347e-06,0.0018536683378948108,0.22168659680611338,0.44701635173194393,0.011290808791945254,1.6530378401279449,10.0,0.19954429697598408,0.8004557030240159,2.2512552738189697,2.196089744567871,11.870779077844947,0.047619047619047616,4.6257256641632006e-05
A-172,9-ING-41,2132,950,400,400,0.00013460780933706297,7.758016091089086e-06,0.0006399908258269231,0.1737774935642197,0.2320982627698221,0.01616444517972546,1.1614885330200195,10.0,0.22480091105916344,0.7751990889408366,1.2909908294677734,1.406208872795105,,,
A-172,APTO-253,775,411,400,400,0.00014881235935414828,5.560976256059186e-06,0.0004073674324899912,0.2675616078403844,0.244009416812057,0.011299295051769853,1.1881314277648927,10.0,0.3371291700113851,0.6628708299886149,1.0980201959609985,1.178339958190918,,,
A-172,AT7519,1214,633,400,400,5.8614204883471955e-05,1.0688700465601658e-05,0.00040008089919057164,0.12778467518591677,0.11372011114938163,0.019791678487489587,1.108678725361824,10.0,0.26994744003303817,0.7300525599669618,1.0276087522506714,1.1843693256378174,,,
A-172,AZD-7648,364,292,400,400,4.307643296973158e-05,7.722381244130544e-06,0.0005638180921475092,0.07097845043405196,0.07552407526424754,0.01405340743851018,1.159649097919464,10.0,0.21848136176303967,0.7815186382369603,1.2342529296875,1.3239790201187134,,,
A-172,AZD-8055,1426,542,400,400,0.00036351856930802267,9.686007708292494e-06,0.001405642678340276,0.205475091539134,0.41888034300355254,0.014588876873280029,1.4185590267181396,10.0,0.18455147320404064,0.8154485267959594,2.049259901046753,1.8059284687042236,,,
A-172,AZD1390,789,373,400,400,0.0007828997913748026,1.1289859677552362e-05,0.0008191918643812338,0.48867353410273373,0.6138209029824157,0.0127431817057006,1.720040887594223,10.0,0.41295261086385926,0.5870473891361407,1.2903985977172852,1.8930391073226929,,,
A-172,AZD2858,195,121,400,400,-6.64505106720349e-05,1.7417228961332054e-05,0.00035550993246336775,-0.22988529576456568,-0.07518992822963236,0.01923970995924757,1.3949182987213136,10.0,0.3436680831329828,0.6563319168670172,1.115249752998352,1.1661416292190552,,,
A-172,Abemaciclib,741,424,400,400,0.0003570969268265697,7.371089761948223e-06,0.0018677204847335818,0.16050617231377912,0.4428882606105561,0.013001805376715464,1.365034919977188,10.0,0.14031674373632452,0.8596832562636755,2.140000104904175,2.2235805988311768,,,
A-172,Adagrasib,434,309,400,400,4.9006461550662705e-05,7.5660496904019465e-06,0.0003130880469042394,0.13534163155298537,0.08920217748510136,0.013839988036959489,1.1370408713817597,10.0,0.3355820131497481,0.6644179868502519,0.9872477054595947,1.0574419498443604,,,
A-172,Afatinib,1873,707,400,400,0.0002526134588859147,8.169707547770969e-06,0.0018180656143360666,0.12199546619884827,0.36781040585866615,0.0162264153985601,1.2614522099494934,10.0,0.11828131817065435,0.8817186818293457,2.1117231845855713,2.168010950088501,9.783432880344842,0.047619047619047616,2.706066031181921e-05
A-172,Alpelisib,753,438,400,400,6.616967827236901e-05,1.6993527653563158e-05,0.0008484429214149714,0.07234721924341417,0.11469231425064012,0.027957104092635986,1.1889096736907958,10.0,0.17051571767416773,0.8294842823258323,1.5250427722930908,1.5086077451705933,,,
A-172,Anastrozole,677,507,400,400,-2.147789637092501e-05,2.505627988197249e-05,0.0002499704895954993,-0.09399821704424102,-0.025946694641039648,0.037901992774610184,1.083848801255226,10.0,0.32902226376167343,0.6709777362383266,0.9407718181610107,0.912922203540802,,,
A-172,BAY1125976,1863,624,400,400,0.00046241229348298573,8.947484587723771e-06,0.0015045759992467034,0.2350864492646638,0.5059871087566401,0.014090685024461624,1.4565204322338103,10.0,0.2001496741398332,0.7998503258601668,1.9925737380981445,2.00230073928833,,,
A-172,BI-3406,1868,710,400,400,0.00037186126121216347,9.28993859571176e-06,0.002090784928037061,0.15100068488747506,0.4322432593865657,0.014895386560328008,1.4120233237743378,10.0,0.13225725866043236,0.8677427413395676,2.371431827545166,2.2367703914642334,,,
A-172,BI-78D3,1204,687,400,400,4.9310273768949426e-05,6.424822755478235e-06,0.0004213830585488015,0.10476093537620275,0.10193657782594696,0.013924969035376784,1.0662517696619034,10.0,0.2467914981549637,0.7532085018450363,1.162603735923767,1.079618215560913,,,
A-172,Belumosudil (mesylate),612,238,400,400,0.00045518430156840217,1.2845744299859011e-05,0.0012359046066800754,0.26916639293663935,0.45196150319239026,0.017050742452613416,1.5280452728271485,10.0,0.2470156854618818,0.7529843145381182,1.8549566268920898,1.848136305809021,,,
A-172,Belzutifan,545,174,400,400,0.0006418615217424101,5.005483191223951e-06,0.001010487942645947,0.3884538565091042,0.5083224647479176,0.005537417639116275,1.7077701687812805,10.0,0.3580561291314427,0.6419438708685573,1.7978026866912842,1.703879475593567,,,
A-172,Bentamapimod,792,580,400,400,0.00013401745947905713,1.1171708352913921e-05,0.0007588712498545647,0.15009424811640484,0.2321004691414307,0.022407319058308974,1.1635570228099823,10.0,0.1916086272700852,0.8083913727299148,1.5440031290054321,1.3385697603225708,,,
A-172,Bimiralisib,3330,780,400,400,0.000727495261364513,8.981358272731018e-06,0.003440080790056123,0.17456076443200735,0.6083574262544102,0.011697988448548767,1.6629139602184295,10.0,0.11522927846696718,0.8847707215330328,3.1827073097229004,2.662942409515381,,,
A-172,Binimetinib,651,226,400,400,0.0004565785949428876,9.978615544473874e-06,0.0026535793518026674,0.14680238198855716,0.4441851665765399,0.013058966996879189,1.541499388217926,10.0,0.12075644339314784,0.8792435566068522,2.743732452392578,2.4283993244171143,9.250438928840678,0.047619047619047616,4.9395950308459465e-05
A-172,Bortezomib,289,0,400,400,,,,,,,,,,,,,,,
A-172,Brivudine,1536,1081,400,400,0.0009495583466357655,9.315657010476028e-06,0.005054950507150756,0.1581408854176244,0.6654481048017842,0.009707031367529198,1.8156479239463805,10.0,0.10528592728217201,0.894714072717828,3.6997783184051514,3.3503286838531494,,,
A-172,CP21R7,403,263,400,400,3.2906741681573396e-05,6.817365632075875e-06,0.0003972015343606472,0.07650804114809262,0.05864268062479888,0.012641090471908237,1.1511231422424317,10.0,0.2799426859503439,0.7200573140496561,1.1069018840789795,1.1270475387573242,,,
A-172,Capivasertib,433,311,400,400,8.385513501707464e-06,7.17151832561435e-06,0.000379394488926563,0.021624409327963147,0.01797892385773143,0.014377650466603725,1.0927316188812255,10.0,0.25710973863368913,0.7428902613663109,1.0941331386566162,1.0789470672607422,,,
A-172,Capmatinib,500,266,400,400,0.00017130736054645645,4.869858233616494e-06,0.0015930330173836815,0.09709428106351463,0.2441674429380139,0.008542083906189513,1.2743772983551025,10.0,0.12320615998787154,0.8767938400121285,2.038811445236206,2.001307725906372,,,
A-172,Celecoxib,535,450,400,400,1.4956483695035177e-05,1.5513434452052837e-05,0.0003213526784545845,0.044472424121413695,0.03561914983623946,0.028313503040159123,1.1050977528095245,10.0,0.30115799064837967,0.6988420093516203,1.0620876550674438,0.9741392731666565,,,
A-172,DT-061,380,364,400,400,-1.9467273119112682e-05,1.3369650258221867e-05,0.00044966328682170966,-0.04525210020325942,-0.030934555628164218,0.023118044072290213,1.116289633512497,10.0,0.2217376235179367,0.7782623764820633,1.2060669660568237,1.1029521226882935,,,
A-172,DTP3,479,379,400,400,0.00015533879761480624,7.930171925690342e-06,0.0008807796364029248,0.1499237852688836,0.22610149578711308,0.012848747644073774,1.263200318813324,10.0,0.2007555524019078,0.7992444475980922,1.6072266101837158,1.5068384408950806,,,
A-172,Dabrafenib,2579,826,400,400,0.00031597056270887456,9.191422047357756e-06,0.0010152794938120577,0.2373487694224983,0.4283560442006594,0.016461599444159467,1.3079088985919953,10.0,0.2207347899190143,0.7792652100809857,1.6448301076889038,1.679991602897644,,,
A-172,ERK5-IN-2,1917,633,400,400,0.0008029543794691562,6.527808901259072e-06,0.001981941569182608,0.28832473251213786,0.6644925548236107,0.005995078421225602,1.6726447224617005,10.0,0.22021976827287193,0.7797802317271281,2.2269861698150635,2.3600234985351562,29.45426947461545,0.047619047619047616,2.6938743732306157e-05
A-172,ETC-206,751,495,400,400,5.5808541623668534e-05,5.868814001176091e-06,0.0002489829565294915,0.18310399719753445,0.10683616900912862,0.012175549578107249,1.1043313503265382,10.0,0.38683712970479656,0.6131628702952034,0.9557024240493774,0.9144180417060852,,,
A-172,EX229,1016,280,400,400,0.0006587963913463884,8.160783866414208e-06,0.00233674096978373,0.21992594714220023,0.5823034809633717,0.009903725624335637,1.6168461799621583,10.0,0.16587145961632954,0.8341285403836705,2.5944411754608154,2.3175084590911865,,,
A-172,Elimusertib hydrochloride,328,169,400,400,0.0005597915345182021,1.3622689605039743e-05,0.002373777764538924,0.19082267280957838,0.44134528745380086,0.015506185837138042,1.7149641633033752,10.0,0.16084226702100946,0.8391577329789905,2.6686065196990967,2.2945778369903564,,,
A-172,Encorafenib,2210,820,400,400,0.0002691059761370222,5.597462794477618e-06,0.0014720314803222817,0.15455757105143417,0.3866716231527062,0.010279161476635148,1.2688616812229156,10.0,0.14644115329589635,0.8535588467041036,1.9453221559524536,1.9537817239761353,,,
A-172,Erdafitinib ,712,484,400,400,1.5798847097256737e-05,1.0380443230174092e-05,0.00042758181742909876,0.03563269299109822,0.035016619517842,0.020375502661182678,1.077123862504959,10.0,0.23485392477178335,0.7651460752282166,1.1361415386199951,1.1182132959365845,,,
A-172,Everolimus,1769,1257,400,400,8.212484115372516e-06,8.116612559087603e-06,0.00035019920000599493,0.022913550197184857,0.02012793977239191,0.017715607682727456,1.0407266169786453,10.0,0.2518566429453837,0.7481433570546163,1.0102647542953491,1.0750069618225098,,,
A-172,Futibatinib,547,278,400,400,0.00011849277879163208,9.345879105056535e-06,0.0005820108163687917,0.1691537054345821,0.17414549247623137,0.015482687885482994,1.2616616845130921,10.0,0.26253656314309615,0.7374634368569039,1.395347237586975,1.2347205877304077,,,
A-172,GSK1059615,2053,1064,400,400,0.0006871543203790983,8.85685322380582e-06,0.0029514072462916373,0.18885328935297935,0.6013573517364782,0.012113487988923914,1.6242367327213287,10.0,0.14179646669116874,0.8582035333088313,2.7392051219940186,2.7198715209960938,,,
