cell_line,drug_G1,drug_G2M,S_int,S_int_se,S_main,interaction_share,R_int,R_int_se,half_norm_mean,n_repeats,D_old
A-172,NG25,Capmatinib,0.0016061650796069036,9.153784834311461e-06,0.0020503752761416964,0.4392581301835721,0.7504129111646873,0.00629854068209885,2.2224783182144163,10,0.32504541057134306
A-172,Oxaliplatin,GSK1059615,0.003374899820321136,7.740157102305881e-06,0.0008728623286717467,0.7945124284139363,0.8770655918660077,0.002872621882590432,2.9793737530708313,10,0.9774048147160345
A-172,AZD-7648,ML264,0.0009427410653895802,1.2519436302380697e-05,0.0003726954106241465,0.7166754781245267,0.665608858699297,0.013815286994433741,1.808779126405716,10,0.8143458238244017
A-172,EX229,LB-100,0.0022353961649868226,8.661897442372306e-06,0.0010270722003446686,0.6851855450128448,0.8194085559585412,0.0059012613570526475,2.5085398316383363,10,0.6114035257593466
A-427,XRK3F2,MK-3903,0.0008249402874045903,6.459273213598577e-06,0.000610310894747575,0.5747706726620415,0.6443626747718895,0.007480981054431189,1.7218562245368958,10,0.5080316544663592
A-427,Everolimus,Afatinib,0.0017352623244126636,8.467038545371483e-06,0.0005624894156224198,0.7552000915408593,0.7839924621466394,0.006601964665177831,2.259917211532593,10,0.8217099648496985
A-427,RMC-6236,Vemurafenib,0.002358765693174468,1.0978725397341138e-05,0.0012186363753345277,0.6593515763682566,0.8510087882925055,0.00621313681449171,2.5299088597297668,10,0.5233870408534047
A-427,venetoclax,Bentamapimod,0.002020849535862605,1.0208409484897373e-05,0.00045185142921076873,0.8172640219771335,0.7450327233730807,0.006583758243261409,2.5014448523521424,10,1.0642474729507154
A498,Gemcitabine,Sonidegib,0.00047888702247291806,8.73767822670069e-06,0.0003281593141663406,0.593382313668782,0.4795474039075895,0.011665375295917536,1.5189751982688904,10,0.6304380436187152
A498,Belzutifan,Abemaciclib,0.002103124393357171,7.329102505468667e-06,0.0008799216710031032,0.7050257850470687,0.8035624273213507,0.002726349151635236,2.4587491154670715,10,0.7639895969325043
