scorer,reference,n_paired,dMRR,dMRR_lo,dMRR_hi,dHit@1,dHit@1_lo,dHit@1_hi,dHit@5,dHit@5_lo,dHit@5_hi,dHit@10,dHit@10_lo,dHit@10_hi,mean_delta_rank,frac_delta_rank_positive,frac_delta_rank_zero,predictor
mean_l2,mean_cosine,19960,-0.033545147991568006,-0.058805525443159416,-0.010503196350264966,-0.03982965931863727,-0.06825939746167378,-0.013868820407140312,-0.02755511022044088,-0.053127098753304375,-0.007249491346553797,-0.02309619238476954,-0.045049274978669104,-0.006228348673142362,-0.9026052104208416,0.0748496993987976,0.806813627254509,average_effect
energy,mean_cosine,19960,-0.03559416429925222,-0.062017458597852015,-0.011528420358814422,-0.04168336673346693,-0.07106255951675461,-0.014706106467105315,-0.030410821643286574,-0.05683375504204359,-0.008516793844421793,-0.024749498997995993,-0.04752665666418474,-0.0071618395324028385,-0.9793086172344689,0.07580160320641283,0.8024048096192384,average_effect
energy_v_statistic,mean_cosine,19960,-0.03559416429925222,-0.062017458597852015,-0.011528420358814422,-0.04168336673346693,-0.07106255951675461,-0.014706106467105315,-0.030410821643286574,-0.05683375504204359,-0.008516793844421793,-0.024749498997995993,-0.04752665666418474,-0.0071618395324028385,-0.9793086172344689,0.07580160320641283,0.8024048096192384,average_effect
mmd,mean_cosine,19960,-0.03574011659684291,-0.06211492252503643,-0.01162253042126067,-0.041783567134268534,-0.07093607252135213,-0.015066025552914298,-0.031012024048096193,-0.05779957955412307,-0.008682526468260487,-0.025100200400801603,-0.0479395674167829,-0.007144104236846196,-0.987875751503006,0.07560120240480962,0.80250501002004,average_effect
sliced_wasserstein,mean_cosine,19960,-0.1581438512107815,-0.1859198535367681,-0.13140831487566645,-0.2061122244488978,-0.23475245080860302,-0.17833072629800983,-0.0967434869739479,-0.12850130414502298,-0.06913133464752926,-0.062875751503006,-0.09337383608132682,-0.03899298526274356,-2.286523046092184,0.05911823647294589,0.6194889779559118,average_effect
mean_cosine,mean_l2,19960,0.033545147991568006,0.01050319635026496,0.05880552544315939,0.03982965931863727,0.0138688204071403,0.06825939746167378,0.02755511022044088,0.007249491346553785,0.053127098753304354,0.02309619238476954,0.006228348673142355,0.0450492749786691,0.9026052104208416,0.11833667334669339,0.806813627254509,average_effect
energy,mean_l2,19960,-0.0020490163076842143,-0.0035932660155253583,-0.00053067247623065,-0.0018537074148296593,-0.0034518339184618605,-0.00019793604113311472,-0.0028557114228456915,-0.005446568699025089,-0.000796251379311685,-0.001653306613226453,-0.002807017543859649,-0.0006486985495210626,-0.07670340681362725,0.020591182364729458,0.9313627254509018,average_effect
energy_v_statistic,mean_l2,19960,-0.0020490163076842143,-0.0035932660155253583,-0.00053067247623065,-0.0018537074148296593,-0.0034518339184618605,-0.00019793604113311472,-0.0028557114228456915,-0.005446568699025089,-0.000796251379311685,-0.001653306613226453,-0.002807017543859649,-0.0006486985495210626,-0.07670340681362725,0.020591182364729458,0.9313627254509018,average_effect
mmd,mean_l2,19960,-0.002194968605274902,-0.003820487080463729,-0.0006832817456779395,-0.0019539078156312626,-0.0035186206722837244,-0.0003010067772731864,-0.0034569138276553104,-0.006476066325603924,-0.000995391037454565,-0.002004008016032064,-0.0034060885707248786,-0.0007981841504509199,-0.08527054108216432,0.02094188376753507,0.9299599198396794,average_effect
sliced_wasserstein,mean_l2,19960,-0.12459870321921349,-0.13779428158969273,-0.11197652647882421,-0.16628256513026052,-0.18194326178145537,-0.15031364608073394,-0.06918837675350702,-0.08381205673758865,-0.055715745304349244,-0.039779559118236475,-0.05201595607289124,-0.02898463910405791,-1.3839178356713426,0.06808617234468937,0.6255511022044088,average_effect
mean_l2,mean_cosine,19960,-0.03259425710593225,-0.057533607499188816,-0.00975081469481151,-0.037725450901803605,-0.06509666762763269,-0.012233514408029672,-0.027705410821643288,-0.052667907967982985,-0.00710133915636472,-0.022845691382765532,-0.045404370533750765,-0.005490591312426376,-0.9014278557114228,0.08271543086172345,0.7947394789579159,linear_latent
energy,mean_cosine,19960,-0.03414651943170226,-0.06014012683875401,-0.010042008452043253,-0.03882765531062124,-0.0676103131230785,-0.012369731117609362,-0.030410821643286574,-0.05705729717580276,-0.008348867680413768,-0.024749498997995993,-0.04863670436528788,-0.006332522450976469,-0.9798597194388777,0.08491983967935872,0.7888276553106213,linear_latent
energy_v_statistic,mean_cosine,19960,-0.03414651943170226,-0.06014012683875401,-0.010042008452043253,-0.03882765531062124,-0.0676103131230785,-0.012369731117609362,-0.030410821643286574,-0.05705729717580276,-0.008348867680413768,-0.024749498997995993,-0.04863670436528788,-0.006332522450976469,-0.9798597194388777,0.08491983967935872,0.7888276553106213,linear_latent
mmd,mean_cosine,19960,-0.034610322017801225,-0.060740051925640595,-0.010644872113422767,-0.03917835671342686,-0.06802688102406486,-0.012870912771663879,-0.030961923847695392,-0.0578605041533469,-0.008476392212924603,-0.024899799599198396,-0.04863856598870636,-0.006477978335263122,-0.9904308617234469,0.08502004008016031,0.78812625250501,linear_latent
sliced_wasserstein,mean_cosine,19960,-0.15942339401585323,-0.18628596179251156,-0.13366929058695382,-0.206312625250501,-0.23400873992672683,-0.18011419422191083,-0.10050100200400802,-0.1321357954886833,-0.07277599506204051,-0.06497995991983968,-0.09458353560300128,-0.04107859785254321,-2.3679859719438876,0.06533066132264528,0.6032064128256514,linear_latent
mean_cosine,mean_l2,19960,0.03259425710593225,0.009750814694811507,0.057533607499188816,0.037725450901803605,0.012233514408029644,0.06509666762763268,0.027705410821643288,0.00710133915636469,0.052667907967982965,0.022845691382765532,0.00549059131242637,0.04540437053375075,0.9014278557114228,0.12254509018036072,0.7947394789579159,linear_latent
energy,mean_l2,19960,-0.0015522623257700108,-0.003337696596165023,7.724494782181221e-05,-0.0011022044088176352,-0.003185509629706496,0.0009020918926881963,-0.0027054108216432865,-0.004934588868526959,-0.0007494285652801598,-0.001903807615230461,-0.0034079241752097535,-0.0006468217642297077,-0.0784318637274549,0.02414829659318637,0.925250501002004,linear_latent
energy_v_statistic,mean_l2,19960,-0.0015522623257700108,-0.003337696596165023,7.724494782181221e-05,-0.0011022044088176352,-0.003185509629706496,0.0009020918926881963,-0.0027054108216432865,-0.004934588868526959,-0.0007494285652801598,-0.001903807615230461,-0.0034079241752097535,-0.0006468217642297077,-0.0784318637274549,0.02414829659318637,0.925250501002004,linear_latent
mmd,mean_l2,19960,-0.0020160649118689776,-0.0039717764493653615,-0.00025656625212823963,-0.0014529058116232465,-0.00355302146039321,0.0005501478597877697,-0.003256513026052104,-0.005820394793571985,-0.0009977426134005769,-0.002054108216432866,-0.0035131744040150566,-0.0007516677915700718,-0.08900300601202404,0.02469939879759519,0.9227955911823648,linear_latent
sliced_wasserstein,mean_l2,19960,-0.126829136909921,-0.14015199990605773,-0.1140176354741157,-0.16858717434869738,-0.18500066170910007,-0.15226354468276812,-0.07279559118236473,-0.08704541259207234,-0.0594804304871143,-0.04213426853707415,-0.05389476493571969,-0.03135971116462005,-1.466558116232465,0.0722444889779559,0.6100200400801603,linear_latent
mean_l2,mean_cosine,19960,-0.3127462690938404,-0.35148888837261233,-0.27151125544907817,-0.3157815631262525,-0.3556210072853807,-0.2764487776451369,-0.3372745490981964,-0.38383179135910955,-0.2870416745283019,-0.2995991983967936,-0.3478940620950187,-0.24901803665118818,-12.256037074148297,0.10165330661322645,0.2943887775551102,nearest_context
energy,mean_cosine,19960,-0.3159370666307046,-0.3544072241231933,-0.27538164084685957,-0.31923847695390783,-0.35919181723425647,-0.279617949155111,-0.3410821643286573,-0.3879157503115149,-0.2909005683501421,-0.30275551102204407,-0.3514681983400734,-0.2520349939316467,-12.457765531062124,0.10160320641282565,0.29153306613226454,nearest_context
energy_v_statistic,mean_cosine,19960,-0.3159370666307046,-0.3544072241231933,-0.27538164084685957,-0.31923847695390783,-0.35919181723425647,-0.279617949155111,-0.3410821643286573,-0.3879157503115149,-0.2909005683501421,-0.30275551102204407,-0.3514681983400734,-0.2520349939316467,-12.457765531062124,0.10160320641282565,0.29153306613226454,nearest_context
mmd,mean_cosine,19960,-0.3156077747428168,-0.35408427690462085,-0.27502075818390526,-0.3187374749498998,-0.358419867488301,-0.2795087874941556,-0.3405310621242485,-0.38731514036562686,-0.2903916894729224,-0.3026052104208417,-0.35141785242763857,-0.25210621334943,-12.44869739478958,0.10150300601202404,0.29203406813627253,nearest_context
sliced_wasserstein,mean_cosine,19960,-0.36407761453156223,-0.3971470600912384,-0.33136489375516703,-0.3722444889779559,-0.4072964210780846,-0.33771228978463164,-0.3814629258517034,-0.4223106359609874,-0.3393515168875197,-0.3351703406813627,-0.38020738306350066,-0.28867091686106733,-13.457690380761523,0.09258517034068137,0.2380761523046092,nearest_context
mean_cosine,mean_l2,19960,0.3127462690938404,0.27151125544907817,0.35148888837261233,0.3157815631262525,0.2764487776451369,0.3556210072853807,0.3372745490981964,0.28704167452830187,0.38383179135910955,0.2995991983967936,0.24901803665118816,0.3478940620950187,12.256037074148297,0.6039579158316634,0.2943887775551102,nearest_context
energy,mean_l2,19960,-0.003190797536864236,-0.004472222421532199,-0.0020282909644447305,-0.0034569138276553104,-0.005258051592304476,-0.0018633467798376381,-0.003807615230460922,-0.005346057315298955,-0.002354679940752813,-0.003156312625250501,-0.004837183352788592,-0.001546125026501311,-0.20172845691382765,0.052304609218436875,0.7865731462925851,nearest_context
energy_v_statistic,mean_l2,19960,-0.003190797536864236,-0.004472222421532199,-0.0020282909644447305,-0.0034569138276553104,-0.005258051592304476,-0.0018633467798376381,-0.003807615230460922,-0.005346057315298955,-0.002354679940752813,-0.003156312625250501,-0.004837183352788592,-0.001546125026501311,-0.20172845691382765,0.052304609218436875,0.7865731462925851,nearest_context
mmd,mean_l2,19960,-0.002861505648976448,-0.004098203845052792,-0.0017662603349251212,-0.0029559118236472948,-0.0046828293318617814,-0.001451024894545035,-0.003256513026052104,-0.004652355261944207,-0.0018601962261920594,-0.003006012024048096,-0.004658239324833496,-0.0014488681268489754,-0.19266032064128258,0.055410821643286576,0.7859218436873747,nearest_context
sliced_wasserstein,mean_l2,19960,-0.05133134543772186,-0.06413597389639342,-0.039727606999946444,-0.056462925851703406,-0.07201242568506412,-0.042266718433363,-0.044188376753507015,-0.05732261546519926,-0.03182361188476528,-0.03557114228456914,-0.045172910552568155,-0.02616085265409929,-1.2016533066132264,0.28256513026052105,0.2718937875751503,nearest_context
mean_l2,mean_cosine,19960,-0.30774375896250106,-0.34328546696467355,-0.2704344623749743,-0.30430861723446895,-0.3407627046105807,-0.26748140447923724,-0.34193386773547096,-0.38629877505450266,-0.2956613275407342,-0.30135270541082165,-0.34787508787672844,-0.25263096084315223,-12.091132264529058,0.08577154308617234,0.2911322645290581,nearest_context_cells
energy,mean_cosine,19960,-0.33985135249681847,-0.37364994407532637,-0.30270804659899486,-0.3413326653306613,-0.37782794364490024,-0.3047743545772167,-0.3704909819639279,-0.4127602120525719,-0.3245033295286222,-0.3195390781563126,-0.36563093831290183,-0.2725740766083232,-12.500475951903807,0.0905811623246493,0.2435370741482966,nearest_context_cells
energy_v_statistic,mean_cosine,19960,-0.34468904555697993,-0.37742809843512376,-0.30934282862374607,-0.34604208416833665,-0.3812126956530731,-0.3114004250434759,-0.3756513026052104,-0.41643981144106396,-0.3298338797177661,-0.32735470941883765,-0.3727203697980338,-0.2817685113417841,-12.662199398797595,0.08527054108216432,0.24238476953907814,nearest_context_cells
mmd,mean_cosine,19960,-0.33994800893387705,-0.3735272385435739,-0.30286495786331813,-0.3404809619238477,-0.3762111078515068,-0.30477628512119553,-0.3726953907815631,-0.41649806776862464,-0.32540637898210567,-0.319689378757515,-0.3671752982845947,-0.27271367866511015,-12.526628256513026,0.09013026052104209,0.24428857715430863,nearest_context_cells
sliced_wasserstein,mean_cosine,19960,-0.40179136779433416,-0.42977612470449855,-0.37391702005524285,-0.4072645290581162,-0.44081445992813045,-0.3737640775142163,-0.43527054108216434,-0.4701290029983747,-0.3961529738441912,-0.37019038076152305,-0.4091844796164792,-0.3288793948424181,-13.769363727454909,0.0781563126252505,0.1849198396793587,nearest_context_cells
mean_cosine,mean_l2,19960,0.30774375896250106,0.2704344623749743,0.34328546696467355,0.30430861723446895,0.26748140447923724,0.34076270461058067,0.34193386773547096,0.2956613275407341,0.38629877505450266,0.30135270541082165,0.2526309608431522,0.3478750878767284,12.091132264529058,0.6230961923847695,0.2911322645290581,nearest_context_cells
energy,mean_l2,19960,-0.03210759353431748,-0.050052198918054056,-0.015075219263992393,-0.037024048096192384,-0.056928603879725106,-0.0187575608186431,-0.028557114228456915,-0.052244211632050716,-0.007184916952881029,-0.01818637274549098,-0.03699829842931937,-0.000547123483496136,-0.4093436873747495,0.3159318637274549,0.32610220440881765,nearest_context_cells
energy_v_statistic,mean_l2,19960,-0.03694528659447895,-0.053381020317595895,-0.021933885861910012,-0.04173346693386774,-0.06027856729258626,-0.025127051428254544,-0.03371743486973948,-0.05365811342272992,-0.015564519870284758,-0.02600200400801603,-0.04254813611369968,-0.010441544000027794,-0.5710671342685371,0.31337675350701405,0.3301102204408818,nearest_context_cells
