cell_line,drug,n_per_arm,A_sup,A_unsup,G
A-172,4EGI-1,300,0.9333333333333333,0.5933333333333334,0.33999999999999997
A-172,9-ING-41,300,0.7983333333333333,0.525,0.2733333333333333
A-172,APTO-253,300,0.7383333333333333,0.5333333333333333,0.20499999999999996
A-172,AT7519,300,0.7583333333333333,0.5416666666666666,0.21666666666666667
A-172,AZD-7648,300,0.84,0.5166666666666666,0.32333333333333336
A-172,AZD-8055,300,0.895,0.5183333333333333,0.3766666666666667
A-172,AZD1390,300,0.7816666666666666,0.5566666666666666,0.22499999999999998
A-172,AZD2858,300,0.725,0.5216666666666666,0.20333333333333337
A-172,Abemaciclib,300,0.945,0.6566666666666667,0.2883333333333332
A-172,Adagrasib,300,0.6566666666666666,0.5716666666666667,0.08499999999999996
A-172,Afatinib,300,0.9333333333333333,0.62,0.31333333333333335
A-172,Alpelisib,300,0.8333333333333334,0.5583333333333333,0.275
A-172,Anastrozole,300,0.7183333333333334,0.5333333333333333,0.18500000000000005
A-172,BAY1125976,300,0.9366666666666666,0.5016666666666667,0.43499999999999994
A-172,BI-3406,300,0.9316666666666666,0.53,0.4016666666666666
A-172,BI-78D3,300,0.7483333333333333,0.5383333333333333,0.20999999999999996
A-172,Belumosudil (mesylate),300,0.8966666666666666,0.6383333333333333,0.2583333333333333
A-172,Belzutifan,300,0.895,0.5316666666666667,0.3633333333333333
A-172,Bentamapimod,300,0.875,0.57,0.30500000000000005
A-172,Bimiralisib,300,0.97,0.845,0.125
A-172,Binimetinib,300,0.9566666666666667,0.66,0.29666666666666663
A-172,Bortezomib,300,0.985,0.9833333333333333,0.0016666666666667052
A-172,Brivudine,300,0.9883333333333333,0.94,0.04833333333333334
A-172,CP21R7,300,0.7433333333333333,0.5066666666666667,0.23666666666666658
A-172,Capivasertib,300,0.75,0.5349999999999999,0.21500000000000008
A-172,Capmatinib,300,0.8916666666666667,0.6483333333333333,0.2433333333333334
A-172,Celecoxib,300,0.715,0.5416666666666667,0.17333333333333323
A-172,DT-061,300,0.7833333333333333,0.5666666666666667,0.21666666666666667
A-172,DTP3,300,0.845,0.52,0.32499999999999996
A-172,Dabrafenib,300,0.8916666666666667,0.5116666666666667,0.38
A-172,ERK5-IN-2,300,0.9333333333333333,0.5616666666666666,0.3716666666666667
A-172,ETC-206,300,0.7333333333333333,0.5066666666666666,0.22666666666666668
A-172,EX229,300,0.9566666666666667,0.785,0.17166666666666663
A-172,Elimusertib hydrochloride,300,0.9383333333333334,0.5800000000000001,0.3583333333333333
A-172,Encorafenib,300,0.91,0.5449999999999999,0.3650000000000001
A-172,Erdafitinib ,300,0.7783333333333333,0.5283333333333333,0.25
A-172,Everolimus,300,0.755,0.5366666666666666,0.21833333333333338
A-172,Futibatinib,300,0.7933333333333333,0.6166666666666667,0.17666666666666664
A-172,GSK1059615,300,0.9583333333333334,0.805,0.15333333333333332
A-172,Gemcitabine,300,0.7216666666666667,0.5666666666666667,0.15500000000000003
A-172,HI-TOPK-032,300,0.9583333333333334,0.7466666666666667,0.21166666666666667
A-172,Hydroxyfasudil,300,0.795,0.6133333333333333,0.18166666666666675
A-172,IQ 1,300,0.8283333333333334,0.5083333333333333,0.32000000000000006
A-172,Infigratinib,300,0.8566666666666667,0.63,0.22666666666666668
A-172,Ipatasertib,300,0.8766666666666667,0.6,0.2766666666666667
A-172,Irinotecan,300,0.78,0.5733333333333334,0.20666666666666667
A-172,Ixazomib,300,0.9616666666666667,0.9066666666666666,0.05500000000000005
A-172,LB-100,300,0.7,0.5366666666666666,0.16333333333333333
A-172,LJI308,300,0.8333333333333334,0.6616666666666666,0.17166666666666675
A-172,LY-2584702 (tosylate salt),300,0.8366666666666667,0.6383333333333333,0.19833333333333336
A-172,LY2090314,300,0.76,0.5716666666666667,0.18833333333333335
A-172,Lapatinib ditosylate,300,0.7433333333333333,0.5333333333333333,0.20999999999999996
A-172,Lonafarnib,211,0.9928909952606635,0.9597156398104265,0.033175355450236976
A-172,MK-3903,300,0.8966666666666666,0.5133333333333333,0.3833333333333333
A-172,MK-8353,300,0.7233333333333334,0.5116666666666667,0.21166666666666667
