D_quartile,A_quartile,n_queries,median_D,median_A_sup,dMRR_oracle,corrected_flip_oracle,dMRR_average_effect,dMRR_linear_latent,dMRR_nearest_context,dMRR_nearest_context_cells,dMRR_ot_map
Q1,Q1,4,0.1385448018281712,0.7050000000000001,0.14250000000000002,0.2,0.11666666666666667,0.10416666666666669,0.1413095238095238,-0.10149857649857646,0.24500000000000005
Q1,Q2,51,0.1354174691441851,0.7716666666666666,0.04531590413943356,0.09411764705882354,0.005498538147863984,0.012763758801428776,-0.12654621779753417,-0.21505465802526538,0.04937660924169775
Q1,Q3,229,0.1311001696811328,0.8583333333333333,0.011004366812227074,0.020960698689956335,-0.021689416756670212,-0.01578428150945026,-0.3441409030738056,-0.3540385653984466,0.0037870973781010194
Q1,Q4,621,0.1070501554413625,0.945,0.002619431025228126,0.005797101449275362,-0.007953864301804,-0.009304115723727566,-0.3886095600215372,-0.3991334835233948,-0.018367826210203723
Q2,Q1,101,0.2340172532861824,0.7066666666666667,0.04047607701946666,0.09504950495049502,0.026677677383122926,0.028335075265768336,-0.07651352442505686,-0.2770897892020641,0.06355690350996207
Q2,Q2,228,0.22360039463008985,0.77,0.030823586744639378,0.05526315789473684,-0.019478596017302473,-0.016694411881434855,-0.2618888443811977,-0.2940858062984698,0.025063383654828006
Q2,Q3,353,0.210160531577687,0.845,0.004390934844192635,0.01076487252124646,-0.02895793979093555,-0.026462310618690022,-0.3905449597284984,-0.3775738687512724,-0.014488065443905173
Q2,Q4,223,0.200783262060799,0.92,0.0019431988041853515,0.003587443946188341,-0.05383742633750714,-0.055771661817256964,-0.5224458993221233,-0.5302753142612516,-0.05463210909112866
Q3,Q1,263,0.3353755377738739,0.6983333333333334,0.0752362017983098,0.13460076045627375,-0.011093669996564736,-0.011080931625603023,-0.14645522544113232,-0.2568164605361294,0.049366477174880866
Q3,Q2,347,0.3274682913684824,0.7583333333333333,0.029853579017844144,0.058789625360230545,-0.02479100579730829,-0.02073221949822081,-0.3010693981408091,-0.3276625543339141,0.045278021140188404
Q3,Q3,239,0.3168395905474492,0.835,0.013799561665670455,0.025941422594142262,-0.09220235268755764,-0.09331580752654457,-0.42550961174998975,-0.4084230593295086,-0.04077675727112495
Q3,Q4,56,0.2937774825929937,0.9141666666666666,0.0017857142857142859,0.0035714285714285718,-0.11812598593626887,-0.11923273409524963,-0.5583832399443855,-0.5477513242851166,-0.09131257684565704
Q4,Q1,545,0.5584149104854361,0.675,0.08510477872633393,0.14678899082568808,-0.03882589086824665,-0.031882485802231554,-0.14979405960124925,-0.1959374717564202,0.056725533299770474
Q4,Q2,277,0.4705107733530345,0.7566666666666667,0.030792218210990777,0.06642599277978341,-0.06796511712041578,-0.06887866321543766,-0.32013360357987874,-0.3510309051731653,0.003034394042708197
Q4,Q3,78,0.45559140658708863,0.8219005270092227,-0.0008547008547008545,0.005128205128205128,-0.16411812236383078,-0.1660867211624134,-0.5233350387896191,-0.5193756728746857,-0.13788868823102715
Q4,Q4,5,0.4600981133299837,0.9433333333333334,0.0,0.0,-0.08095238095238096,-0.08761904761904762,-0.2913334293944011,-0.291451088104859,-0.20695683060900452
