cell_line,partition,n_drugs,n_pairs,spearman_rho,p_value
A-172,cellcycle_G1_vs_G2M,91,4095,0.8273488020500607,0.0
A-427,cellcycle_G1_vs_G2M,87,3741,0.6983708264766544,0.0
A498,cellcycle_G1_vs_G2M,91,4095,0.8510464985305262,0.0
A549,cellcycle_G1_vs_G2M,92,4186,0.8189256650613198,0.0
AN3 CA,cellcycle_G1_vs_G2M,64,2016,0.6051642598822217,1.040163629493445e-201
AsPC-1,cellcycle_G1_vs_G2M,72,2556,0.902425728639628,0.0
BT-474,cellcycle_G1_vs_G2M,89,3916,0.8262719957306494,0.0
C-33 A,cellcycle_G1_vs_G2M,90,4005,0.7558523249223155,0.0
C32,cellcycle_G1_vs_G2M,88,3828,0.8600572249827556,0.0
CFPAC-1,cellcycle_G1_vs_G2M,92,4186,0.8179669705270048,0.0
COLO 205,cellcycle_G1_vs_G2M,37,666,0.8112975619485524,6.193306502268335e-157
H4,cellcycle_G1_vs_G2M,57,1596,0.76429788517812,5.113045592388898e-306
HCT15,cellcycle_G1_vs_G2M,83,3403,0.6666200797295697,0.0
HEC-1-A,cellcycle_G1_vs_G2M,91,4095,0.7880163023906153,0.0
HOP62,cellcycle_G1_vs_G2M,92,4186,0.88933716522262,0.0
HS-578T,cellcycle_G1_vs_G2M,86,3655,0.8736862338406961,0.0
HT-29,cellcycle_G1_vs_G2M,91,4095,0.788733540417407,0.0
HepG2/C3A,cellcycle_G1_vs_G2M,39,741,0.8498633120281582,9.075645525123254e-208
Hs 766T,cellcycle_G1_vs_G2M,64,2016,0.7594193271876511,0.0
J82,cellcycle_G1_vs_G2M,90,4005,0.8448311599096657,0.0
KATO III,cellcycle_G1_vs_G2M,91,4095,0.8369763121098438,0.0
LOX-IMVI,cellcycle_G1_vs_G2M,91,4095,0.8553642433378784,0.0
LS 180,cellcycle_G1_vs_G2M,89,3916,0.8258486107961719,0.0
LoVo,cellcycle_G1_vs_G2M,92,4186,0.8927166437551048,0.0
MIA PaCa-2,cellcycle_G1_vs_G2M,76,2850,0.8837936084759914,0.0
NCI-H1573,cellcycle_G1_vs_G2M,78,3003,0.8559640879678742,0.0
NCI-H1792,cellcycle_G1_vs_G2M,48,1128,0.7702145535230503,3.5674914848343025e-222
NCI-H2030,cellcycle_G1_vs_G2M,92,4186,0.8755834282376566,0.0
NCI-H23,cellcycle_G1_vs_G2M,91,4095,0.8964337643279003,0.0
NCI-H2347,cellcycle_G1_vs_G2M,92,4186,0.9259358146802119,0.0
NCI-H460,cellcycle_G1_vs_G2M,92,4186,0.8063472378308488,0.0
PANC-1,cellcycle_G1_vs_G2M,92,4186,0.9071233482179539,0.0
Panc 03.27,cellcycle_G1_vs_G2M,90,4005,0.915216987327922,0.0
RKO,cellcycle_G1_vs_G2M,91,4095,0.8070431853153613,0.0
RPMI-7951,cellcycle_G1_vs_G2M,61,1830,0.8051108678786275,0.0
SHP-77,cellcycle_G1_vs_G2M,86,3655,0.8420043005050318,0.0
SK-MEL-2,cellcycle_G1_vs_G2M,87,3741,0.8810191350577483,0.0
SNU-1,cellcycle_G1_vs_G2M,68,2278,0.7157473041695069,0.0
SNU-423,cellcycle_G1_vs_G2M,91,4095,0.8487121263656855,0.0
SW 900,cellcycle_G1_vs_G2M,88,3828,0.7729516379162162,0.0
SW1417,cellcycle_G1_vs_G2M,92,4186,0.8986639093307331,0.0
SW48,cellcycle_G1_vs_G2M,87,3741,0.8407924034359752,0.0
SW480,cellcycle_G1_vs_G2M,91,4095,0.8687855714303047,0.0
hTERT-HPNE,cellcycle_G1_vs_G2M,78,3003,0.8429724661539936,0.0
