cell_line,partition,n_drugs,n_pairs,spearman_rho,p_value
A-172,controlstate_k2,88,3828,0.7386850693732467,0.0
A-427,controlstate_k2,89,3916,0.8131951346391586,0.0
A498,controlstate_k2,90,4005,0.6780965704552234,0.0
A549,controlstate_k2,89,3916,0.7122624040774659,0.0
AN3 CA,controlstate_k2,54,1431,0.4041079237453223,2.4615987673005144e-57
AsPC-1,controlstate_k2,88,3828,0.9002304007526162,0.0
BT-474,controlstate_k2,87,3741,0.7057859084624261,0.0
C-33 A,controlstate_k2,90,4005,0.6209119068425615,0.0
C32,controlstate_k2,86,3655,0.7980405199584288,0.0
CFPAC-1,controlstate_k2,88,3828,0.7707781897904002,0.0
COLO 205,controlstate_k2,81,3240,0.7333686839212437,0.0
H4,controlstate_k2,78,3003,0.7266873251707152,0.0
HCT15,controlstate_k2,69,2346,0.7179002419135571,0.0
HEC-1-A,controlstate_k2,88,3828,0.7081444850355585,0.0
HOP62,controlstate_k2,85,3570,0.8486081172191176,0.0
HS-578T,controlstate_k2,88,3828,0.7783914638235641,0.0
HT-29,controlstate_k2,87,3741,0.7767997704790831,0.0
HepG2/C3A,controlstate_k2,86,3655,0.8774531932556346,0.0
Hs 766T,controlstate_k2,75,2775,0.7943181084714341,0.0
J82,controlstate_k2,88,3828,0.8066162096193475,0.0
KATO III,controlstate_k2,90,4005,0.7628744043217838,0.0
LOX-IMVI,controlstate_k2,89,3916,0.6873146312233247,0.0
LS 180,controlstate_k2,87,3741,0.7446566011550961,0.0
LoVo,controlstate_k2,86,3655,0.9065598777189928,0.0
MIA PaCa-2,controlstate_k2,88,3828,0.9064639433300403,0.0
NCI-H1573,controlstate_k2,86,3655,0.8067968426124642,0.0
NCI-H1792,controlstate_k2,75,2775,0.8632655162013406,0.0
NCI-H2030,controlstate_k2,89,3916,0.742176090101351,0.0
NCI-H23,controlstate_k2,88,3828,0.8956152144412559,0.0
NCI-H2347,controlstate_k2,88,3828,0.7987569116846273,0.0
NCI-H460,controlstate_k2,88,3828,0.8318769796282014,0.0
PANC-1,controlstate_k2,91,4095,0.850699469175106,0.0
Panc 03.27,controlstate_k2,85,3570,0.8873449231358688,0.0
RKO,controlstate_k2,79,3081,0.8564395810040178,0.0
RPMI-7951,controlstate_k2,83,3403,0.8193566556775491,0.0
SHP-77,controlstate_k2,87,3741,0.8129767533220329,0.0
SK-MEL-2,controlstate_k2,83,3403,0.897060408848814,0.0
SNU-1,controlstate_k2,38,703,0.2359064990643938,2.3992660328849206e-10
SNU-423,controlstate_k2,90,4005,0.8134550001822128,0.0
SW 1088,controlstate_k2,30,435,0.6385290485860946,3.380961657697252e-51
SW 900,controlstate_k2,84,3486,0.7965885416255224,0.0
SW1417,controlstate_k2,89,3916,0.7674021506232247,0.0
SW48,controlstate_k2,81,3240,0.7247958054239092,0.0
SW480,controlstate_k2,92,4186,0.693825894483443,0.0
hTERT-HPNE,controlstate_k2,82,3321,0.7254471373696133,0.0
