cell_line,partition,drug_a,drug_b,cos_majority_response,cos_minority_response
A-172,controlstate_k2,Anastrozole,Ipatasertib,0.28987670614751593,0.395506804079955
A-172,controlstate_k2,4EGI-1,olaparib,0.4232198060016704,0.6097620629291371
A-172,controlstate_k2,Belumosudil (mesylate),Erdafitinib ,0.14275740700083428,0.3936734925629709
A-172,controlstate_k2,Hydroxyfasudil,olaparib,0.802886743758839,0.7224162711229779
A-172,controlstate_k2,AT7519,Volasertib,0.4270796285692617,0.33447954207886266
A-172,controlstate_k2,DT-061,palbociclib,0.37617531677243027,0.5458931468036223
A-172,controlstate_k2,9-ING-41,IQ 1,0.5298831124396429,0.5732501618577007
A-172,controlstate_k2,Ipatasertib,ULK-101,0.4069090275081134,0.4820348519816144
A-172,controlstate_k2,LJI308,Vemurafenib,0.15621096558380954,0.37779832283191084
A-172,controlstate_k2,Capmatinib,Celecoxib,0.03402183550529157,0.3732800442915583
A-172,controlstate_k2,Bimiralisib,Encorafenib,0.5981268887235252,0.6469421052870339
A-172,controlstate_k2,Ralimetinib dimesylate,c-Kit-IN-1,0.32079338383346095,0.4199694392443438
A-172,controlstate_k2,OTS514,ULK-101,0.19511036596506212,0.4089365274671275
A-172,controlstate_k2,Encorafenib,RMC-6236,0.5238461944530249,0.4926465177969644
A-172,controlstate_k2,9-ING-41,Brivudine,0.18176780304145268,0.29159682026175543
A-172,controlstate_k2,ETC-206,MK-8353,0.6402172640161066,0.6121478836515378
A-172,controlstate_k2,Erdafitinib ,Volasertib,0.6888905605673401,0.6176303755784763
A-172,controlstate_k2,Hydroxyfasudil,Sonidegib,0.742341969845752,0.7323403674771121
A-172,controlstate_k2,DTP3,RMC-6236,-0.23352542255839542,-0.09866852128879475
A-172,controlstate_k2,AZD-8055,LY2090314,0.2930614300187998,0.5744040938045298
A-172,controlstate_k2,DTP3,Regorafenib,0.09418836046873237,0.6065735868120083
A-172,controlstate_k2,TAK-733,Trametinib,0.5244739798927839,0.6185038841426282
A-172,controlstate_k2,DTP3,MK-8353,0.6818124109385588,0.6188568576448552
A-172,controlstate_k2,GSK1059615,LJI308,0.4017011415206294,0.35285807091177657
A-172,controlstate_k2,ETC-206,Encorafenib,0.279464211137468,0.3920796199108854
A-172,controlstate_k2,LJI308,palbociclib,0.32444254048629484,0.38534650085844535
A-172,controlstate_k2,Alpelisib,Vemurafenib,0.33990146630629964,0.6057888392019961
A-172,controlstate_k2,Alpelisib,Volasertib,0.1447677323949495,0.44430334104284974
A-172,controlstate_k2,Bentamapimod,Elimusertib hydrochloride,-0.053544595293365076,0.20824682561091673
A-172,controlstate_k2,AZD2858,Tomivosertib,0.4832481007503079,0.3086239611708823
A-172,controlstate_k2,Celecoxib,Everolimus,0.59176404217391,0.6214827482012735
A-172,controlstate_k2,Elimusertib hydrochloride,SBI-0640756,0.14639642082738558,0.09714262227055433
A-172,controlstate_k2,Bentamapimod,Infigratinib,0.5308890603716399,0.5449327187148726
A-172,controlstate_k2,Afatinib,Methylprednisolone succinate,0.08571480327756027,0.2802584037268787
A-172,controlstate_k2,AT7519,LY-2584702 (tosylate salt),-0.051626783804725254,0.21227105612242578
A-172,controlstate_k2,RMC-6236,Regorafenib,0.5732355742155031,0.32051092987253105
