cell_line,drug_a,drug_b,n_per_arm,supervised_ceiling,kmeans_full,kmeans_pca,gmm_pca,leiden_pca,best_unsupervised,gap_vs_best,gap_vs_kmeans
A-172,4EGI-1,Alpelisib,300,0.9,0.6166666666666667,0.5933333333333333,0.5866666666666667,0.6583333333333333,0.6583333333333333,0.2416666666666667,0.2833333333333333
A-172,9-ING-41,AZD1390,300,0.7916666666666666,0.5549999999999999,0.5549999999999999,0.5383333333333333,0.515,0.5549999999999999,0.2366666666666667,0.2366666666666667
A-172,APTO-253,Tomivosertib,300,0.7333333333333333,0.6799999999999999,0.68,0.69,0.655,0.69,0.043333333333333335,0.053333333333333344
A-172,AT7519,Ralimetinib dimesylate,300,0.85,0.5033333333333333,0.5116666666666667,0.5233333333333333,0.55,0.55,0.29999999999999993,0.3466666666666667
A-172,AZD2858,DT-061,300,0.6833333333333333,0.5916666666666667,0.5916666666666667,0.585,0.6,0.6,0.08333333333333337,0.09166666666666667
A-172,Belumosudil (mesylate),Temuterkib,300,0.93,0.7366666666666667,0.7433333333333334,0.6783333333333333,0.5066666666666666,0.7433333333333334,0.18666666666666665,0.19333333333333336
A-172,CP21R7,Methylprednisolone succinate,300,0.6916666666666667,0.5566666666666666,0.5566666666666666,0.5549999999999999,0.5366666666666666,0.5566666666666666,0.135,0.135
A-172,Capivasertib,DTP3,300,0.8116666666666666,0.5566666666666666,0.5516666666666667,0.55,0.5533333333333333,0.5566666666666666,0.255,0.255
A-172,Encorafenib,IQ 1,300,0.8783333333333333,0.5516666666666667,0.5533333333333333,0.505,0.5016666666666667,0.5533333333333333,0.32499999999999996,0.32666666666666655
A-172,Erdafitinib ,Tomivosertib,300,0.75,0.6599999999999999,0.6633333333333333,0.6433333333333333,0.6433333333333333,0.6633333333333333,0.08666666666666667,0.09000000000000008
A-172,Futibatinib,GSK1059615,300,0.975,0.885,0.885,0.8866666666666667,0.9016666666666666,0.9016666666666666,0.07333333333333336,0.08999999999999997
A-172,Irinotecan,ML264,300,0.9016666666666666,0.5916666666666667,0.5733333333333333,0.5683333333333334,0.54,0.5916666666666667,0.30999999999999994,0.30999999999999994
A-172,LJI308,Oleic acid,300,0.8283333333333334,0.6433333333333333,0.6533333333333333,0.595,0.5133333333333333,0.6533333333333333,0.17500000000000004,0.18500000000000005
A-172,LY2090314,XRK3F2,300,0.7983333333333333,0.51,0.5166666666666667,0.52,0.5733333333333334,0.5733333333333334,0.22499999999999998,0.28833333333333333
A-172,NG25,Pemigatinib,300,0.9566666666666667,0.8116666666666666,0.815,0.725,0.5,0.815,0.14166666666666672,0.14500000000000002
A-172,NG25,Temuterkib,300,0.96,0.7533333333333333,0.76,0.905,0.5,0.905,0.05499999999999994,0.20666666666666667
A-172,NVP-BHG712,Sonidegib,300,0.875,0.7116666666666667,0.7166666666666667,0.6283333333333333,0.5016666666666667,0.7166666666666667,0.15833333333333333,0.16333333333333333
A-172,Oleic acid,Sonidegib,300,0.8416666666666667,0.6533333333333333,0.655,0.6366666666666667,0.72,0.72,0.1216666666666667,0.18833333333333335
A-172,Oxaliplatin,c-Kit-IN-1,300,0.9483333333333334,0.65,0.6583333333333333,0.64,0.6383333333333333,0.6583333333333333,0.29000000000000004,0.29833333333333334
