cell_line,drug,n_treated_G1,n_treated_G2M,n_control_G1,n_control_G2M,induced_cosine_G1_vs_G2M,norm_delta_G1,norm_delta_G2M,norm_delta_mean
A-172,4EGI-1,584,205,1732,1027,0.8302086207024882,2.190174406402423,2.103889385412848,2.0490865024403995
A-172,9-ING-41,2132,950,1732,1027,0.8312425940341449,1.2116062917455923,1.3441863332941018,1.1914232847151098
A-172,APTO-253,775,411,1732,1027,0.7156503102053035,1.0517092827827668,1.143692134478312,1.0065795305090268
A-172,AT7519,1214,633,1732,1027,0.829994479198037,0.9006798040911455,1.1205214899103588,0.9418859753678525
A-172,AZD-7648,364,292,1732,1027,0.8292559288442571,1.1719808002504037,1.2744990953059214,1.1986025764123243
A-172,AZD-8055,1426,542,1732,1027,0.8372612208772989,1.972155258499686,1.7104944763772172,1.801333490712248
A-172,AZD1390,789,373,1732,1027,0.5924899802486502,1.2052393001311614,1.8121009367908418,1.2401798359054856
A-172,AZD2858,195,121,1732,1027,0.6832821241951367,1.0611741939398793,1.1159987981636967,0.9969221956488291
A-172,Abemaciclib,741,424,1732,1027,0.8801562825038376,2.1537732166490673,2.132395447377019,2.0846126960954114
A-172,Adagrasib,434,309,1732,1027,0.7421441010621039,0.9213350075597938,0.9748011308974397,0.8796043204613887
A-172,Afatinib,1873,707,1732,1027,0.9103387246953543,2.021024244168099,2.0652722873821285,1.9700887230671809
A-172,Alpelisib,753,438,1732,1027,0.87903307954291,1.4912088561265797,1.4445425681647392,1.4304700508236767
A-172,Anastrozole,677,507,1732,1027,0.7337729712667767,0.8363901033621501,0.8713831126469824,0.8046788367575766
A-172,BAY1125976,1863,624,1732,1027,0.838190954351074,1.946721404373116,1.9474234325165103,1.8923486121638806
A-172,BI-3406,1868,710,1732,1027,0.9044918026773999,2.330991927497374,2.1026846417552343,2.2114763936091344
A-172,BI-78D3,1204,687,1732,1027,0.797340799015944,1.0023896708928295,0.9950018730898841,0.9517487464184475
A-172,Belumosudil (mesylate),612,238,1732,1027,0.7941954949490918,1.8135633008901546,1.7638072288664146,1.7053912588724085
A-172,Belzutifan,545,174,1732,1027,0.6765155733347414,1.7492641480658304,1.644399466851043,1.592740616780826
A-172,Bentamapimod,792,580,1732,1027,0.8470023800259364,1.4793978705881587,1.2722586767089066,1.357670612359731
A-172,Bimiralisib,3330,780,1732,1027,0.9176777841229369,3.1747431139754188,2.5996682869720065,2.9684131695943403
A-172,Binimetinib,651,226,1732,1027,0.8977233938409441,2.7104471084956714,2.352886206649103,2.5355400026735513
A-172,Brivudine,1536,1081,1732,1027,0.9080853015529288,3.6221550842147527,3.2513134539522017,3.407158534064417
A-172,CP21R7,403,263,1732,1027,0.7228767335966945,1.0489174358806943,1.0507737802264927,0.9871561852988853
A-172,Capivasertib,433,311,1732,1027,0.7876795514978299,1.0171726528551057,1.0573799417628549,0.9940744285338156
A-172,Capmatinib,500,266,1732,1027,0.9048043669889959,1.9695210228675433,1.912656572820864,1.8964525626508386
A-172,Celecoxib,535,450,1732,1027,0.7432383195370202,0.9551385713342072,0.9155370798948085,0.9049116886130341
A-172,DT-061,380,364,1732,1027,0.8153187369609284,1.131016002845223,1.0860157512291309,1.1418462185050122
A-172,DTP3,479,379,1732,1027,0.8419670580465666,1.5487539712498606,1.4837620483712268,1.4855524315742388
A-172,Dabrafenib,2579,826,1732,1027,0.8368156544406143,1.6209245396234169,1.594980212144275,1.6160174324810377
A-172,ERK5-IN-2,1917,633,1732,1027,0.825596471816743,2.183668826936384,2.2838683272584,2.111456045011083
A-172,ETC-206,751,495,1732,1027,0.7244764766098775,0.8113413341322063,0.8521367581273698,0.7738809923189102
A-172,EX229,1016,280,1732,1027,0.8590893051448508,2.5737530501027837,2.2255789366084606,2.422001071086724
A-172,Elimusertib hydrochloride,328,169,1732,1027,0.8537557979204193,2.623448627316126,2.2035773055638215,2.393765540910759
A-172,Encorafenib,2210,820,1732,1027,0.8933696426940194,1.8506362188078387,1.8401205278977,1.796348915724093
A-172,Erdafitinib ,712,484,1732,1027,0.8165383856152327,1.0199988925199417,1.0594224919881114,0.9871511784441498
A-172,Everolimus,1769,1257,1732,1027,0.8645821801945849,0.9584339607015223,0.9736570761491544,0.94626339527501
A-172,Futibatinib,547,278,1732,1027,0.8315780198613267,1.3364117181735555,1.246773912021934,1.2529976930390638
A-172,GSK1059615,2053,1064,1732,1027,0.8751690222006187,2.6975104744888645,2.6760110876187313,2.603885715550593
A-172,Gemcitabine,973,679,1732,1027,0.6909162673479187,0.924567840607749,1.3788838720203793,1.0274342424052145
A-172,HI-TOPK-032,359,413,1732,1027,0.849134981957379,2.243983462136594,2.316625010101699,2.2803380556940263
A-172,Hydroxyfasudil,356,227,1732,1027,0.7751400308937629,1.5523148599628918,1.4118229150107502,1.4250802085708514
A-172,IQ 1,548,251,1732,1027,0.8158985826351811,1.3068414579144774,1.381960966978045,1.2575751003635538
A-172,Infigratinib,1249,468,1732,1027,0.8061573590650154,1.5377438735452393,1.8112060274050006,1.538749578643276
A-172,Ipatasertib,1604,813,1732,1027,0.8957608494187006,1.7163104821810273,1.7182266018672019,1.668284579448926
A-172,Irinotecan,1156,883,1732,1027,0.7151339667035682,1.196622838914477,1.691028112780681,1.3437778278195065
A-172,Ixazomib,420,183,1732,1027,0.8676001633786932,3.0598381844019826,2.5610520582263807,2.812917179324517
A-172,LB-100,674,371,1732,1027,0.7427120348176155,0.8196526567570014,1.0200845469819213,0.832913305255203
A-172,LJI308,603,310,1732,1027,0.8132369611574484,1.6380274303914113,1.713718158974459,1.5855349238856844
