cell_line,drug_a,drug_b,n_per_arm,supervised_ceiling,unsupervised_kmeans,gap
A-172,4EGI-1,Alpelisib,300,0.9233333333333333,0.6516666666666666,0.2716666666666667
A-172,9-ING-41,AZD1390,300,0.8016666666666666,0.51,0.29166666666666663
A-172,APTO-253,Tomivosertib,300,0.7583333333333333,0.675,0.08333333333333326
A-172,AT7519,Ralimetinib dimesylate,300,0.8533333333333334,0.5449999999999999,0.30833333333333346
A-172,AZD2858,DT-061,300,0.6783333333333333,0.5866666666666667,0.09166666666666667
A-172,Belumosudil (mesylate),Temuterkib,300,0.9266666666666666,0.6966666666666667,0.22999999999999998
A-172,CP21R7,Methylprednisolone succinate,300,0.7183333333333334,0.5316666666666667,0.18666666666666665
A-172,Capivasertib,DTP3,300,0.7916666666666666,0.5416666666666666,0.25
A-172,Encorafenib,IQ 1,300,0.8966666666666666,0.5,0.3966666666666666
A-172,Erdafitinib ,Tomivosertib,300,0.7733333333333333,0.6466666666666666,0.1266666666666667
A-172,Futibatinib,GSK1059615,300,0.9633333333333334,0.905,0.05833333333333335
A-172,Irinotecan,ML264,300,0.87,0.6083333333333334,0.2616666666666666
A-172,LJI308,Oleic acid,300,0.8266666666666667,0.6866666666666666,0.14
A-172,LY2090314,XRK3F2,300,0.8016666666666666,0.5483333333333333,0.2533333333333333
A-172,NG25,Pemigatinib,300,0.9466666666666667,0.8333333333333334,0.11333333333333329
A-172,NG25,Temuterkib,300,0.9616666666666667,0.855,0.10666666666666669
A-172,NVP-BHG712,Sonidegib,300,0.8766666666666667,0.63,0.2466666666666667
A-172,Oleic acid,Sonidegib,300,0.85,0.6716666666666666,0.17833333333333334
A-172,Oxaliplatin,c-Kit-IN-1,300,0.945,0.64,0.30499999999999994
A-172,Sapanisertib,venetoclax,300,0.9916666666666667,0.9666666666666667,0.025000000000000022
A-427,APTO-253,TAK-901,154,0.9935064935064936,0.9935064935064936,0.0
A-427,AZD-8055,Capivasertib,300,0.8133333333333334,0.7,0.1133333333333334
A-427,AZD2858,Brivudine,241,0.9647302904564315,0.8630705394190872,0.10165975103734437
A-427,AZD2858,Volasertib,241,0.6556016597510373,0.5145228215767634,0.1410788381742739
A-427,Abemaciclib,EX229,300,0.8233333333333334,0.6083333333333334,0.21499999999999997
A-427,Anastrozole,SBI-0640756,300,0.7166666666666667,0.5016666666666667,0.21499999999999997
A-427,Belumosudil (mesylate),Temuterkib,300,0.8816666666666667,0.6383333333333333,0.2433333333333334
A-427,Belzutifan,Ipatasertib,300,0.89,0.5133333333333333,0.3766666666666667
A-427,Belzutifan,Ixazomib,251,0.8924302788844621,0.50199203187251,0.3904382470119522
A-427,Bimiralisib,Sapanisertib,300,0.9816666666666667,0.7533333333333333,0.2283333333333334
A-427,Capmatinib,EX229,300,0.945,0.615,0.32999999999999996
A-427,Encorafenib,Everolimus,300,0.9266666666666666,0.765,0.16166666666666663
A-427,Erdafitinib ,Tubulin inhibitor 6,300,0.7033333333333334,0.5766666666666667,0.1266666666666667
A-427,IQ 1,Oxaliplatin,300,0.7266666666666667,0.5916666666666667,0.135
A-427,Infigratinib,Lapatinib ditosylate,300,0.7766666666666666,0.5816666666666667,0.19499999999999995
A-427,LY2090314,MK-8353,300,0.6016666666666667,0.515,0.08666666666666667
A-427,Lapatinib ditosylate,Trametinib,300,0.9683333333333334,0.8316666666666667,0.13666666666666671
A-427,Lonafarnib,Sapanisertib,171,0.97953216374269,0.8304093567251463,0.14912280701754377
A-427,Methylprednisolone succinate,Volasertib,300,0.6966666666666667,0.51,0.18666666666666665
A-427,OTS514,Ralimetinib dimesylate,300,0.8733333333333333,0.6283333333333333,0.245
A498,APTO-253,Tubulin inhibitor 6,300,0.6683333333333333,0.565,0.10333333333333339
A498,AZD1390,LY2090314,300,0.8716666666666667,0.6383333333333333,0.2333333333333334
A498,Abemaciclib,CP21R7,300,0.9216666666666666,0.6683333333333333,0.2533333333333333
A498,Alpelisib,EX229,300,0.97,0.7916666666666666,0.17833333333333334
A498,Anastrozole,Capmatinib,300,0.8583333333333333,0.5933333333333334,0.2649999999999999
A498,Anastrozole,EX229,300,0.9733333333333334,0.945,0.028333333333333433
A498,Belzutifan,Vemurafenib,300,0.9233333333333333,0.51,0.41333333333333333
A498,Bentamapimod,Torkinib,272,0.8584558823529411,0.6066176470588235,0.25183823529411764
A498,Binimetinib,ERK5-IN-2,300,0.95,0.6066666666666667,0.34333333333333327
A498,CP21R7,Trametinib,300,0.8766666666666667,0.5033333333333334,0.3733333333333333
A498,DT-061,Sapanisertib,300,0.9466666666666667,0.54,0.4066666666666666
