cell_line,drug_a,drug_b,cos_mean_signature,cos_G2M_response
A-172,GSK1059615,Oxaliplatin,-0.013160031773500322,0.1171708639286397
A-172,Lonafarnib,palbociclib,0.04394774914689842,0.20362816509912218
A-172,BI-78D3,Futibatinib,-0.15014556443878377,-0.05097590505963226
A-172,Brivudine,PF-06260933,-0.04128420475213938,0.3890832628598464
A-172,AZD-7648,Temuterkib,0.09102159190542317,0.12336740130396892
A-172,4EGI-1,Pralsetinib,0.6106999596083874,0.6392031173494936
A-172,Capmatinib,Ralimetinib dimesylate,0.19407286884191072,0.18658531869919867
A-172,AZD-8055,Erdafitinib ,0.5315734393156585,0.5728674155583882
A-172,Abemaciclib,RMC-6236,0.4169791032998609,0.515069451951811
A-172,Hydroxyfasudil,Lapatinib ditosylate,0.0522032208107089,0.2908541411717139
A-172,Dabrafenib,Oxaliplatin,0.20531588848835952,0.26961413895843506
A-172,AT7519,ETC-206,0.6337716393954339,0.5808569841003967
A-172,DT-061,Vemurafenib,0.11613660185365773,0.17082931670304996
A-172,Ipatasertib,Torkinib,0.2957098390673077,0.3005834359094455
A-172,Hydroxyfasudil,Regorafenib,0.762826009449803,0.6918631445244904
A-172,APTO-253,Belzutifan,0.2924561725189251,0.30721173769114346
A-172,Adagrasib,HI-TOPK-032,0.488304888893216,0.4564167084485066
A-172,Tomivosertib,Torkinib,0.4282569107238963,0.3962538182889562
A-172,Everolimus,MK-8353,0.6561828839894747,0.6531231882789841
A-172,Bentamapimod,Pimitespib,0.3194100995805845,0.23104402695045254
A-172,Hydroxyfasudil,Volasertib,0.37646459553780043,0.4007592450059608
A-172,Ipatasertib,Paclitaxel,0.6792863727727733,0.6898705020906183
A-172,Celecoxib,Irinotecan,0.7049109715738084,0.4672169629915545
A-172,Erdafitinib ,olaparib,0.207233690941084,0.302352669108511
A-172,Minodronic acid,Vemurafenib,0.28026459932064995,0.2667871586956473
A-172,Alpelisib,Anastrozole,0.3579566574823721,0.39198585386896734
A-172,Gemcitabine,LB-100,0.652785016240005,0.647953877296459
A-172,Oxaliplatin,PF-06260933,0.40594546836739626,0.3286810695170816
A-172,4EGI-1,olaparib,0.5353156790635122,0.5522149231651003
A-172,MK-3903,Trametinib,0.4938927879026343,0.5271623183214732
A-172,Binimetinib,Pimitespib,0.31683674872150946,0.27877824068247115
A-172,Encorafenib,TAK-733,0.49410879105071814,0.5348358056345668
A-172,Futibatinib,Methylprednisolone succinate,0.20893790631435613,0.2847750640034824
A-172,OTS514,Torkinib,0.29427596852257437,0.2640309700036626
A-172,GSK1059615,LY-2584702 (tosylate salt),-0.0022623843185514067,0.013364650542417568
A-172,BAY1125976,RMC-6236,0.1827107176545944,0.3100104545646535
A-172,Capivasertib,DT-061,0.5421084196320991,0.5494264773803449
A-172,Capmatinib,NG25,0.7189581922676678,0.6258223069904778
A-172,GSK1059615,Vemurafenib,0.5452832246790804,0.6370068564206488
A-172,Brivudine,DTP3,0.06752463439412283,0.13853390769291815
A-172,Pimitespib,Tomivosertib,0.3395654988176479,0.29338488160745907
A-172,Bimiralisib,Binimetinib,0.7442843367796717,0.743395822470243
A-172,AZD1390,Volasertib,0.6025259076931406,0.5813146800431369
A-172,Erdafitinib ,TAK-901,0.0834357750157531,0.17287787603469787
A-172,AZD-8055,Methylprednisolone succinate,0.3353669296265347,0.310776409273189
A-172,BI-78D3,Trametinib,0.5033799568456793,0.49878393696831824
A-172,Anastrozole,Lonafarnib,0.2757626121699903,0.23954257987235864
A-172,Binimetinib,venetoclax,0.6769530802425008,0.7246151609414584
A-172,LY-2584702 (tosylate salt),LY2090314,-0.0482188512167087,-0.16965019303850754
A-172,EX229,Torkinib,0.17279747549580599,0.1387906177626163
A-172,ETC-206,Methylprednisolone succinate,0.6992291515672794,0.6679754775176291
A-172,Pimitespib,Pralsetinib,0.6330520117412824,0.5463997579010911
A-172,APTO-253,Elimusertib hydrochloride,-0.234459488628069,-0.03392672985408837
A-172,Bimiralisib,ULK-101,0.4085775148960999,0.40151761162438077
A-172,Ixazomib,Regorafenib,0.7308733387246809,0.7313237718655937
A-172,9-ING-41,Capivasertib,0.23901007410745814,0.36287204960382613
A-172,Oleic acid,Sonidegib,0.34263220710458453,0.29560856976861394
A-172,Binimetinib,Paclitaxel,0.3054716819482948,0.3715572945671158
A-172,Anastrozole,XRK3F2,0.4108101802124285,0.42562398123785333
A-172,Belzutifan,LB-100,0.3064057403943574,0.36717175281521086
A-172,CP21R7,MK-8353,0.28493854335626484,0.3152023216314659
A-172,TAK-901,Tubulin inhibitor 6,0.30931633918301654,0.20854310116073885
A-172,Bentamapimod,Hydroxyfasudil,0.4026033957154339,0.3491155494863781
A-172,DT-061,Regorafenib,0.5279732677785911,0.42611482355197294
A-172,Bentamapimod,Lonafarnib,0.19542549377081306,0.16530355029352192
A-172,AT7519,DT-061,0.020409448847709767,0.034672268913932505
A-172,Paclitaxel,Pemigatinib,0.3187233638372979,0.4297282488202668
A-172,ETC-206,OTS514,0.19233145154906583,0.21098753948666388
A-172,Erdafitinib ,LJI308,0.19675905955139283,0.2532119338803906
A-172,Bentamapimod,NVP-BHG712,0.815303643919649,0.8320420165354878
A-172,CP21R7,Trametinib,0.5809857756707958,0.47219776194807234
A-172,Elimusertib hydrochloride,Temuterkib,-0.04321511739994327,0.09689447865122051
A-172,olaparib,venetoclax,0.6716819303150903,0.6641914489845836
A-172,Sonidegib,olaparib,0.8103809766350726,0.7767248553663539
A-172,Pemigatinib,Tomivosertib,0.3699342661026136,0.5083996541804967
A-172,4EGI-1,Alpelisib,0.3745050338505532,0.3427571744767102
A-172,Binimetinib,Futibatinib,-0.031369201121881074,-0.12807343458397874
A-172,Everolimus,LY-2584702 (tosylate salt),0.27913845320888747,0.23387792386826858
A-172,Lonafarnib,Oleic acid,0.1758139247777876,0.1165635946960219
A-172,Capmatinib,Encorafenib,0.4427892059593162,0.4515785344538653
A-172,AT7519,ML264,0.6037580697788811,0.5989713662694591
A-172,MK-3903,vincristine,0.10856798575292374,0.2744989091108749
A-172,BI-3406,Temuterkib,0.24534780121223132,0.3269562382793122
A-172,Anastrozole,Lapatinib ditosylate,0.42675375107049396,0.5666891088448143
A-172,Bimiralisib,MK-3903,0.5809539956742295,0.5536471055074537
A-172,DTP3,PF-06260933,-0.008062000170535998,0.07781054124465023
A-172,Erdafitinib ,Infigratinib,0.5627404514452188,0.530422302658635
A-172,Ralimetinib dimesylate,Tucatinib,0.4599131157524104,0.594882822778456
A-172,Minodronic acid,PH-797804,0.1768344292892891,0.08992915796273701
A-172,EX229,Sapanisertib,0.5911548439261766,0.5692639655407162
A-172,Afatinib,PF-06260933,0.13064329634027438,0.26658047265881446
A-172,Anastrozole,BAY1125976,0.39120352869837766,0.4974482842249034
A-172,GSK1059615,Tubulin inhibitor 6,0.41176563429766433,0.38315641596416405
A-172,Bimiralisib,DT-061,0.20255000802612172,0.15500081502785712
A-172,Gemcitabine,LJI308,0.5696506076220375,0.6279876220927878
A-172,NVP-BHG712,Tubulin inhibitor 6,0.49850212552596684,0.5176979913357714
A-172,RMC-6236,Sonidegib,0.5012029647872415,0.5613400318922596
A-172,MK-3903,XRK3F2,0.7211452412233117,0.6060584212407853
A-172,Lapatinib ditosylate,vincristine,0.2351862438017633,0.3216498359057789
A-172,NG25,vincristine,0.2099799361018688,0.3364231150472954
A-172,BI-78D3,Lonafarnib,0.07891459567616005,0.09440849520230364
A-172,Belumosudil (mesylate),Infigratinib,0.2951329147655179,0.4503560599741841
A-172,4EGI-1,CP21R7,0.43195788310202166,0.31363070128908943
A-172,SBI-0640756,Trametinib,0.32553347939010047,0.35165639664093457
A-172,Pralsetinib,TAK-901,0.3418577877770227,0.3633305977008015
A-172,Sonidegib,Tubulin inhibitor 6,0.5844601508170143,0.4528120820428359
A-172,Irinotecan,c-Kit-IN-1,0.5423721071456002,0.5887024510827037
A-172,Ixazomib,Oleic acid,0.10488229215229836,0.1032697413519516
A-172,Lonafarnib,PH-797804,0.5640565692870662,0.5772355494265168
A-172,BI-3406,LB-100,0.34774655089268136,0.45369478106824956
A-172,Bentamapimod,ML264,0.6410018729062568,0.7325915411261189
A-172,NG25,Sonidegib,0.6406119137871894,0.6101635316468037
A-172,Encorafenib,Pemigatinib,0.2088266745883543,0.3334776981371953
A-172,APTO-253,NVP-BHG712,0.6240531280083237,0.6199283312906406
A-172,AT7519,Sapanisertib,0.37158320919773796,0.488708482240451
A-172,NG25,Torkinib,0.4586349328320993,0.43859979518187814
A-172,DTP3,Elimusertib hydrochloride,-0.19146554601690358,-0.11234671041302062
A-172,4EGI-1,Oxaliplatin,0.21927542986567639,0.31402726338778036
A-172,AZD1390,Belzutifan,0.4806963213680151,0.4749898255367547
A-172,LJI308,TAK-733,0.5111537703062793,0.4919853320975448
A-172,Dabrafenib,Futibatinib,0.07520084160245902,-0.05516452364974253
A-172,PF-06260933,Volasertib,0.26470175250135414,0.43439805599114856
A-172,Afatinib,Tucatinib,0.31269361528971634,0.45866666835799086
A-172,Irinotecan,Oxaliplatin,0.2797847875383514,0.23886356563133335
A-172,DTP3,Oleic acid,0.5707959794895054,0.49873591516047655
